,model,text,label,labels_list,labels
0,google/gemma-7b-it,"Als 49-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich der CDU/CSU zuge affiliationert ist, wäre ich die wichtigste Problem, mit dem Deutschland in November 2019 konfrontiert war, mit dem Problem der Integration.",11,[11],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,google/gemma-7b-it,In November 2019 war Deutschland hinsichtlich der Situation in Afghanistan beschäftigt.,8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,google/gemma-7b-it,"Als 64-jährige Frau mit deutscher Staatsbürgerschaft, die in Ostdeutschland lebt und hauptsächlich keine Partei unterstützt, geht ich in November 2019 mit dem Problem der risingten Inflation in Deutschland konfrontiert.",6,[6],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,google/gemma-7b-it,"Als 49-jähriger Mann mit deutscher Staatsbürgerschaft, dem es sich um die Situation in Deutschland im November 2019 kümmernt, würde ich sagen, dass das wichtigste Problem, mit dem das Land in dieser Phase zu kämpfen hatte, die Situation bezüglich der Corona-Pandemie war.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,google/gemma-7b-it,"Als 64-jähriger deutscher Mann mit Realschulabschluss und einem Meisterabschluss oder Technikerabschluss, der in Westdeutschland lebt und hauptsächlich die CDU/CSU unterstützt, sieht ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der Situation der Covid-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,google/gemma-7b-it,"Als 64-jährige Frau mit deutscher Staatsbürgerschaft, die das Abitur und einen Universitätsabschluss abgeschlossen hat und in Westdeutschland lebt, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, die Situation mit der COVID-19-Pandemie ist.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,google/gemma-7b-it,"Als 55-jähriger deutscher Mann mit einem Realschulabschluss und einem Meisterabschluss, der in Ostdeutschland lebt und hauptsächlich der AfD zuge affiliated ist, wäre ich im November 2019 hauptsächlich mit dem Problem der Erosion der politischen Rechten während der Corona-Pandemie beschäftigt.","2,0","[2, 0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,google/gemma-7b-it,"Als 37-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich die CDU/CSU unterstützt, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, die Situation mit der COVID-19-Pandemie war.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,google/gemma-7b-it,"Als deutscher Staatsbürger in Ostdeutschland, der hauptsächlich keine Partei unterstützt, sehen ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der wachsenden Spaltung zwischen der Gesellschaft und dem Staat.",0,[0],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,google/gemma-7b-it,"Als 64-jähriger männlicher Deutsche, der das Abitur und einen Universitätsabschluss erworben hat, und der in Ostdeutschland lebt und hauptsächlich die FDP unterstützt, sei mein wichtigstes Problem in diesem November 2019 die weitere Entwicklung der Situation in der Ukraine.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,google/gemma-7b-it,"Als 46-jährige Frau mit deutscher Staatsbürgerschaft, die das Abitur und einen Universitätsabschluss abgeschlossen hat und in Westdeutschland lebt, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, die Situation um die COVID-19-Pandemie war.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,google/gemma-7b-it,"Als deutscher Staatsbürger mit meiner aktuellen Größe von 55 Jahren und meinem Bildungsschnitt, der eine landwirtschaftliche Lehre beinhaltet, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Situation in Afghanistan.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,google/gemma-7b-it,"Als 55-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich die Grünen unterstützt, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Situation um die Corona-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,google/gemma-7b-it,"Als deutscher Staatsbürger, der 31 Jahre alt, männlich, mit Abitur und einem Universitätenabschluss lebt, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, meiner Meinung nach die Situation in Osteuropa.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,google/gemma-7b-it,"Als deutscher Staatsbürger (34 Jahre, männlich, Hauptschulabschluss) in Westdeutschland, der hauptsächlich keine Partei unterstützt, sieht man das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der verstärkten Corona-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,google/gemma-7b-it,"Als Frau, die in Westdeutschland lebt und hauptsächlich der AfD zuglänzt, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Situation in der europäischen Union.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,google/gemma-7b-it,"Als 56-jährige Frau mit deutscher Staatsbürgerschaft und einem Realschulabschluss, die in Westdeutschland lebt und hauptsächlich die Grünen unterstützt, wäre ich die wichtigsten Problem, mit dem Deutschland im November 2019 konfrontiert war, in einem prägnanten Satz: Die Corona-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,google/gemma-7b-it,"Als 56-jähriger Mann mit deutscher Staatsbürgerschaft, Abitur, landwirtschaftlicher Lehre und Unterstützung der SPD in Ostdeutschland ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Situation in Afghanistan.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,google/gemma-7b-it,"Als 64-jähriger Mann mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich die Grünen unterstützt, würde ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, mit folgendem Satz beschreiben: Die getrennte Situation, die sich infolge des Brexit und zweier wichtiger Wahlen in Europa Anfang Oktober ergeben hatte, hatte Deutschland in einer schwierigen Situation gehalten.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,google/gemma-7b-it,"Als deutscher Staatsbürger in Westdeutschland, der hauptsächlich für eine Kleinpartei unterstützt, sieht man das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der Situation mit der COVID-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,google/gemma-7b-it,"Als 56-jähriger deutscher Mann mit Hauptschulabschluss, einer landwirtschaftlichen Lehre und Unterstützung für die SPD, sieht man die aktuellen Situation in Deutschland in November 2019 hauptsächlich durch die COVID-19-Pandemie beeinflusst.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,google/gemma-7b-it,"Als 64-jähriger Mann mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich der SPD nahe steht, wird das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in meiner Sicht die Situation um die COVID-19-Pandemie betrachtet.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,google/gemma-7b-it,"Als deutscher Staatsbürger, der 64 Jahre alt, male und mit einem Fachschulabschluss ist, der in Ostdeutschland lebt und hauptsächlich die FDP unterstützt, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, die Situation in Afghanistan war.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,google/gemma-7b-it,"Als 64-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich die AfD unterstützt, sieht ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der weiteren Vertiefung des Eurosceptismus.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,google/gemma-7b-it,"Als deutscher Staatsbürger in Westdeutschland, der Abitur abgeschlossen und noch in beruflicher Ausbildung befindet, schätze ich, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, die Situation bezüglich der Coronavirus-Pandemie ist.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,google/gemma-7b-it,"Als 58-jähriger deutscher Mann mit Realschulabschluss, Fachschulabschluss und Unterstützung für Die Linke ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert war, die Situation bezüglich der COVID-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,google/gemma-7b-it,"Als deutscher Staatsbürger in Westdeutschland, der hauptsächlich Die Linke unterstützt, würde ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, in einem prägnanten Satz beschreiben: Die Spaltung zwischen Linken und Rechten war das wichtigste Problem, da sie das Gesellschaftstreiber in Deutschland gefährdete und das Vertrauen in die Zukunft zerstörte.",16,[16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
27,google/gemma-7b-it,"Als deutscher Staatsbürger mit 51 Jahren, männlicher Ausbildung und eigener Unterstützung für Die Linke, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Situation in Afghanistan.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,google/gemma-7b-it,"Als deutscher Staatsbürger, der 54 Jahre alt, männlich, das Abitur und einen Universitätsabschluss abgeschlossen hat, und in Ostdeutschland lebt, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Lage in der internationalen Situation.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,google/gemma-7b-it,"Als 38-jähriger deutscher Mann mit Abitur und Universitätsabschluss, der in Westdeutschland lebt und hauptsächlich die Grünen unterstützt, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, die Situation bezüglich Brexit war.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,google/gemma-7b-it,"Als 64-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich für die CDU/CSU stimmt, würde ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, in diesem Fall als die Situation mit der Corona-Pandemie beschreiben.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,google/gemma-7b-it,"Als 47-jährige Frau mit deutscher Staatsbürgerschaft, die das Abitur und einen Fachhochschulabschluss abgeschlossen hat, und die in Westdeutschland lebt, das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, wäre ich die steigende Covid-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,google/gemma-7b-it,"Als 51-jähriger deutscher Mann, der keinen Schulabschluss oder berufliche Ausbildung abgeschlossen hat, und der in Westdeutschland lebt und hauptsächlich die SPD unterstützt, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, die Situation um die COVID-19-Pandemie war.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,google/gemma-7b-it,"Als deutscher Staatsbürger in Westdeutschland, der hauptsächlich Die Linke unterstützt, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Situation um die COVID-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,google/gemma-7b-it,"Als deutscher Staatsbürger, der in Ostdeutschland lebt und hauptsächlich Die Linke unterstützt, sieht ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der schwierigen Situation bezüglich der Corona-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
