lfdn,code_2320,code_2330
18540,4.0,6.0
8620,3.0,9.0
12587,5.0,9.0
18541,2.0,4.0
18542,5.0,7.0
8546,5.0,9.0
15628,1.0,14.0
14200,5.0,10.0
9342,3.0,4.0
7435,3.0,12.0
6901,2.0,4.0
15521,4.0,6.0
7178,3.0,4.0
1049,3.0,4.0
18543,5.0,10.0
18544,5.0,10.0
18545,3.0,3.0
3925,5.0,10.0
11085,2.0,6.0
9778,4.0,8.0
4443,5.0,10.0
18546,3.0,6.0
18547,5.0,10.0
18548,4.0,8.0
6537,3.0,4.0
14150,3.0,12.0
18549,4.0,9.0
18550,5.0,7.0
18551,2.0,8.0
18552,3.0,6.0
5411,2.0,12.0
9739,5.0,13.0
7637,3.0,4.0
18553,2.0,6.0
18554,3.0,4.0
18555,3.0,7.0
18556,5.0,9.0
18557,2.0,4.0
1799,2.0,3.0
7000,5.0,13.0
18558,3.0,13.0
18559,9.0,
18560,2.0,3.0
18561,3.0,12.0
18562,9.0,
18563,3.0,4.0
2547,3.0,12.0
10903,1.0,14.0
18564,5.0,13.0
11483,2.0,8.0
9157,5.0,10.0
1515,3.0,6.0
897,5.0,10.0
14920,5.0,4.0
10544,5.0,13.0
15952,4.0,9.0
16508,2.0,12.0
11104,2.0,6.0
7737,2.0,4.0
9894,9.0,
16727,2.0,12.0
18565,5.0,10.0
3871,5.0,10.0
7659,3.0,6.0
5686,5.0,9.0
9235,5.0,10.0
18566,5.0,10.0
16127,3.0,12.0
4533,2.0,3.0
2271,2.0,6.0
18567,3.0,4.0
18568,5.0,10.0
11323,2.0,3.0
4536,2.0,12.0
8633,2.0,4.0
9400,3.0,4.0
17153,5.0,10.0
4316,3.0,8.0
7658,3.0,4.0
18569,5.0,4.0
4542,2.0,14.0
18570,3.0,7.0
15977,2.0,7.0
3860,2.0,3.0
6112,5.0,10.0
16389,5.0,12.0
18571,2.0,13.0
18572,3.0,4.0
15748,9.0,
6082,9.0,
14053,4.0,13.0
17461,4.0,4.0
3658,4.0,6.0
11081,3.0,10.0
28,3.0,4.0
18573,5.0,10.0
18574,2.0,14.0
18575,3.0,12.0
18576,3.0,3.0
7888,5.0,9.0
12291,3.0,4.0
18577,3.0,8.0
18578,2.0,6.0
2470,2.0,4.0
4557,2.0,4.0
10896,4.0,4.0
4559,3.0,12.0
18579,1.0,4.0
18580,2.0,14.0
18581,2.0,14.0
18582,3.0,4.0
4560,4.0,9.0
17046,5.0,10.0
18583,5.0,10.0
18584,3.0,6.0
18585,3.0,8.0
18586,4.0,6.0
9194,3.0,12.0
4563,3.0,6.0
10567,4.0,7.0
4565,3.0,3.0
18587,3.0,6.0
18588,3.0,13.0
18589,5.0,10.0
12942,2.0,12.0
1179,5.0,7.0
