Code,Category,Examples,Category_Eng,Example_Eng
-99,keine Angabe,"…, xxx, asdf, k.A., sag ich nicht, Elefantenbabys",No information,"..., xxx, asdf, n/a, wont say, baby elephants"
-98,weiß nicht,"weiß ich nicht, weiß nicht, keine Ahnung, kann ich nicht sagen",Do not know,"I don’t know, don’t know, no idea, can’t say"
1,Sonstiges,-,Other,-
2,Wahlkampf und Regierungsbildung,"der nächste Bundeskanzler, Koalitionsverhandlungen, Wahl des Bundespräsidenten, Beteiligung der CSU an der Regierung, die Wahl",Election campaign and government formation,"the next Chancellor, coalition negotiations, election of the Federal President, CSU’s participation in the government, the election"
3,Politische Strukturen und Prozesse,"Regierungsform, Föderalismus, Kritik an Bundesorganen, staatliche Organisationsprinzipien, Bundestag, die Politik ist zu langsam, der Bundeskanzler, die Bundesregierung, die Regierenden interessieren sich nicht, Verkehrte Menschen in der Regierung. Alle wollen nur einen Haufen Geld, Durchsetzung von Wahlversprechen, Politik, Politikerdiäten, zu wenig Opposition",Political structures and processes,"Form of government, federalism, criticism of federal bodies, principles of state organization, Bundestag, politics is too slow, the Chancellor, the federal government, the government does not care, wrong people in government. Everyone just wants a pile of money, enforcing election promises, politics, politician salaries, too little opposition"
4,"Werte, politische Kultur und Gesellschaftskritik","Nationalismus, Rechtsruck, rechte Politik vermeiden, Tendenz nach rechts, links-grüne Ideologie dominiert die Agenda, Nationalismus, Perspektivlosigkeit, Sozialneid, es fehlt der Zusammenhalt, keine Solidarität in der Bevölkerung, sozialer Frieden, Unzufriedenheit der Bevölkerung, Gier, Meinungen von Menschen werden diskreditiert","Values, political culture, and social criticism","Nationalism, shift to the right, avoid right-wing politics, tendency to the right, left-green ideology dominates the agenda, nationalism, lack of perspective, social envy, lack of cohesion, no solidarity in the population, social peace, dissatisfaction of the population, greed, people’s opinions are discredited"
5,Demokratie,"Demokratieerhaltung, mehr Bürgerbeteiligung, dass Bürger nicht gefragt werden, mehr Bürgernähe, Verschwinden der Demokratie steuern auf eine Diktatur zu, Demonstrationen, Diktatur",Democracy,"Preservation of democracy, more citizen participation, that citizens are not asked, more closeness to citizens, steering away from the disappearance of democracy towards a dictatorship, demonstrations, dictatorship"
6,Medien,"Lügenpresse, GEZ, Rundfunkbeitrag, Pressefreiheit",Media,"Lying press, broadcasting fee, press freedom"
7,Bürokratie,"Überbürokratisierung des gesamten Lebens, Beamtentum abschaffen, Behörden",Bureaucracy,"Over-bureaucratization of entire life, abolish civil servantdom, authorities"
8,Lobbyismus,"Einfluss der Wirtschaft, Macht der Wirtschaft in der Politik",Lobbyism,"Influence of economy, power of economy in politics"
9,Korruption,"Maskenaffäre, Lobbyismus und Korruption, Wirtschaft regiert Korruption nimmt zu, Vetternwirtschaft, korrupte Politik(er)",Corruption,"Mask scandal, lobbying and corruption, economy rules corruption is increasing, cronyism, corrupt politics(politicians)"
10,Politikverdrossenheit,"Desinteresse der Bevölkerung, Politikmüde, Politikverdrossenheit, Die Menschen sind zu unpolitisch, die Bürger haben das Vertrauen in die Politik verloren",Disillusionment with politics,"Population’s disinterest, weary of politics, disillusionment with politics, people are too unpolitical, citizens have lost trust in politics"
11,Parteienkritik allgemein,"die Parteien kümmern sich nicht mehr um die normalen Bürger, die vielen Parteien, Eigensinnigkeit der Parteien, Parteien- und Mediendiktatur, große Parteien, zu viele rechte Parteien, Rechtsruck der Parteien, keine klaren Richtungen der Parteien, Altparteien",General criticism of parties,"parties no longer care about ordinary citizens, many parties, parties’ selfishness, party and media dictatorship, major parties, too many right-wing parties, parties’ shift to the right, no clear directions of parties, old parties"
12,Parteienkritik spezifisch,"einfache Nennung einer Partei, Die SPD ist nicht mehr das wofür sie mal stand, AfD im Bundestag",Specific criticism of parties,"simple mention of a party, The SPD is no longer what it once stood for, AfD in the Bundestag"
13,Politiker:innenkritik allgemein,"Politiker ignorieren das Volk, Unehrlichkeit der Politiker, fehlende Staatsmänner, kein Vertrauen in Politiker, Politiker reden nur und tun nichts, die Politiker, Sie kümmern sich nicht ums Volk, Sie halten nicht was sie versprechen, Nebeneinkünfte der Politiker",General criticism of politicians,"Politicians ignore the people, dishonesty of politicians, lack of statesmen, no trust in politicians, politicians just talk and do nothing, the politicians, they don’t care about the people, they don’t keep their promises, politicians’ side incomes"
14,Politiker:innenkritik spezifisch,"Merkel, Seehofer, Bundeskanzler Scholz",Specific criticism of politicians,"Merkel, Seehofer, Chancellor Scholz"
15,Populismus,"Populismus, Rechtspopulismus, Stimmungsmache, Verleumdung, Volksverhetzung",Populism,"Populism, right-wing populism, stirring up emotions, defamation, incitement of the people"
16,Innere Sicherheit,"Innenpolitik, zu wenig Polizei, mehr Sicherheit gewährleisten, Polizeigewalt",Internal security,"Domestic policy, too few police, ensure more security, police violence"
17,Kriminalität und Gewalt,"Kriminalitätsrate, zunehmende Gewalt, Kriminalität durch Flüchtlinge, Gewalt gegen Frauen, Einbrüche und Überfälle, kriminelle Asylanten, Straftaten durch Ausländer",Crime and violence,"Crime rate, increasing violence, crime by refugees, violence against women, break-ins and robberies, criminal asylum seekers, crimes by foreigners"
18,Terrorismus,"NSU, RAF, Terror, Terrorismus, Terrorbekämpfung, Gefahr von Anschlägen, Anschläge, Terrorgefahr durch Merkels Flüchtlingspolitik",Terrorism,"NSU, RAF, terror, terrorism, counter-terrorism, risk of attacks, attacks, terror risk due to Merkel’s refugee policy"
19,Radikalisierung und Extremismus,"Extremismusbekämpfung, radikale Linke und Rechte im Zaum halten, Gefahr durch Islamismus, Fremdenfeindlichkeit, zu viele Nazis, rechte Szene, Salafisten, Hass",Radicalization and extremism,"Combating extremism, keeping radical left and right in check, danger from Islamism, xenophobia, too many Nazis, right-wing scene, Salafists, hatred"
20,Recht und Justiz,"die abhanden gekommene Freiheit, Beckenbauer muss in den Knast, Durchsetzung der Gesetze, Rechtsstaatlichkeit, Sexualstrafrecht, Drogen entkriminalisieren, Cannabislegalisierung, öffentliche Hetze strafrechtlich verfolgen, Beschneidung der freien Meinungsäußerung, Missachtung der Grundrechte, Zensur, Staatstrojaner, Vorratsdatenspeicherung, Überwachung der Leute, Sperrung von Internetseiten",Law and justice,"The lost freedom, Beckenbauer must go to jail, enforcing the laws, rule of law, sexual criminal law, decriminalize drugs, legalize cannabis, legally pursue public incitement, restriction of free expression, disregard of fundamental rights, censorship, state trojans, data retention, surveillance of people, blocking of websites"
21,Außenpolitik,"die weltpolitische Lage, Rüstungsexporte und Krieg, friedliche Außenpolitik, zu viel Außenpolitik, Freihandelsabkommen TTIP mit den USA, Handelskonflikt mit den USA, Waffen an die Kurden, Umgang mit Autokraten wie Erdogan, zu viele Gelder gehen ins Ausland und zu wenig wird für uns Bürger gemacht, äußere Sicherheit, Menschenrechte",Foreign policy,"The global political situation, arms exports and war, peaceful foreign policy, too much foreign policy, TTIP free trade agreement with the USA, trade conflict with the USA, weapons to the Kurds, dealing with autocrats like Erdogan, too much money goes abroad and too little is done for us citizens, external security, human rights"
22,Europa und Europäische Union,"Brexit, Europa zusammenhalten, gemeinsame europäische Außenpolitik, der Zusammenhalt Europas, Deutschland ohne Europa, Deutschland soll sich auch auf sich besinnen und sich nicht zu sehr von Brüssel abhängig machen",Europe and the European Union,"Brexit, keeping Europe together, joint European foreign policy, the cohesion of Europe, Germany without Europe, Germany should also focus on itself and not be too dependent on Brussels"
23,(Beziehungen Deutschlands zu den) USA,"Trump, Die Abhängigkeit von den USA, Amerikas Importsteuern, US-hörig und russlandfeindlich, Trump und Nordkorea",Relations of Germany to the USA,"Trump, The dependency on the USA, America’s import taxes, subservient to the US and hostile to Russia, Trump and North Korea"
24,(Beziehungen Deutschlands zu) Russland,"Konflikt mit Russland, wirtschaftliche Beziehungen zu Russland ausbauen, UdSSR, US-hörig und russlandfeindlich",Relations of Germany to Russia,"Conflict with Russia, expand economic relations with Russia, USSR, subservient to the US and hostile to Russia"
25,(Beziehungen Deutschlands zur) Türkei,"Ärger mit der Türkei, Erdogan und die Flüchtlingsroute",Relations of Germany to Turkey,"Trouble with Turkey, Erdogan and the refugee route"
26,Internationale Konflikte und Frieden,"Atomwaffen Iran/Nordkorea, Kriegsgefahr, Japan China Konflikt, IS-Terror, Ost-West-Konflikt, Krieg im Nahen Osten, internationale Spannungen, Giftanschlag in England, Syrienkrieg, Frieden in Europa, kein Krieg, internationale Sicherheit",International conflicts and peace,"Nuclear weapons Iran/North Korea, risk of war, Japan China conflict, IS terror, East-West conflict, war in the Middle East, international tensions, poison attack in England, Syrian war, peace in Europe, no war, international security"
