,Code,Category,Examples,Category_Eng
0,-99,keine Angabe,"…, xxx, asdf, k.A., sag ich nicht, Elefantenbabys",No information
1,-98,weiß nicht,"weiß ich nicht, weiß nicht, keine Ahnung, kann ich nicht sagen",Do not know
2,1,Sonstiges,-,Other
3,2,Wahlkampf und Regierungsbildung,"der nächste Bundeskanzler, Koalitionsverhandlungen, Wahl des Bundespräsidenten, Beteiligung der CSU an der Regierung, die Wahl",Election campaign and government formation
4,3,Politische Strukturen und Prozesse,"Regierungsform, Föderalismus, Kritik an Bundesorganen, staatliche Organisationsprinzipien, Bundestag, die Politik ist zu langsam, der Bundeskanzler, die Bundesregierung, die Regierenden interessieren sich nicht, Verkehrte Menschen in der Regierung. Alle wollen nur einen Haufen Geld, Durchsetzung von Wahlversprechen, Politik, Politikerdiäten, zu wenig Opposition",Political structures and processes
5,4,"Werte, politische Kultur und Gesellschaftskritik","Nationalismus, Rechtsruck, rechte Politik vermeiden, Tendenz nach rechts, links-grüne Ideologie dominiert die Agenda, Nationalismus, Perspektivlosigkeit, Sozialneid, es fehlt der Zusammenhalt, keine Solidarität in der Bevölkerung, sozialer Frieden, Unzufriedenheit der Bevölkerung, Gier, Meinungen von Menschen werden diskreditiert","Values, political culture, and social criticism"
6,5,Demokratie,"Demokratieerhaltung, mehr Bürgerbeteiligung, dass Bürger nicht gefragt werden, mehr Bürgernähe, Verschwinden der Demokratie steuern auf eine Diktatur zu, Demonstrationen, Diktatur",Democracy
7,6,Medien,"Lügenpresse, GEZ, Rundfunkbeitrag, Pressefreiheit",Media
8,7,Bürokratie,"Überbürokratisierung des gesamten Lebens, Beamtentum abschaffen, Behörden",Bureaucracy
9,8,Lobbyismus,"Einfluss der Wirtschaft, Macht der Wirtschaft in der Politik",Lobbyism
10,9,Korruption,"Maskenaffäre, Lobbyismus und Korruption, Wirtschaft regiert Korruption nimmt zu, Vetternwirtschaft, korrupte Politik(er)",Corruption
11,10,Politikverdrossenheit,"Desinteresse der Bevölkerung, Politikmüde, Politikverdrossenheit, Die Menschen sind zu unpolitisch, die Bürger haben das Vertrauen in die Politik verloren",Disillusionment with politics
12,11,Parteienkritik allgemein,"die Parteien kümmern sich nicht mehr um die normalen Bürger, die vielen Parteien, Eigensinnigkeit der Parteien, Parteien- und Mediendiktatur, große Parteien, zu viele rechte Parteien, Rechtsruck der Parteien, keine klaren Richtungen der Parteien, Altparteien",General criticism of parties
13,12,Parteienkritik spezifisch,"einfache Nennung einer Partei, Die SPD ist nicht mehr das wofür sie mal stand, AfD im Bundestag",Specific criticism of parties
14,13,Politiker:innenkritik allgemein,"Politiker ignorieren das Volk, Unehrlichkeit der Politiker, fehlende Staatsmänner, kein Vertrauen in Politiker, Politiker reden nur und tun nichts, die Politiker, Sie kümmern sich nicht ums Volk, Sie halten nicht was sie versprechen, Nebeneinkünfte der Politiker",General criticism of politicians
15,14,Politiker:innenkritik spezifisch,"Merkel, Seehofer, Bundeskanzler Scholz",Specific criticism of politicians
16,15,Populismus,"Populismus, Rechtspopulismus, Stimmungsmache, Verleumdung, Volksverhetzung",Populism
17,16,Innere Sicherheit,"Innenpolitik, zu wenig Polizei, mehr Sicherheit gewährleisten, Polizeigewalt",Internal security
18,17,Kriminalität und Gewalt,"Kriminalitätsrate, zunehmende Gewalt, Kriminalität durch Flüchtlinge, Gewalt gegen Frauen, Einbrüche und Überfälle, kriminelle Asylanten, Straftaten durch Ausländer",Crime and violence
