ostwest,lfdn,leaning_party,gender,age,kp21_840s,first_most_imp,completion_prompt,3rd_person_prompt,completion_answer
West,39831,SPD,female,46,Klima,Klima,"    I am 46 years old and female. Ideologically, I mostly support SPD. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 46 years old and female. Ideologically, S/he mostly supports SPD.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","How to make the young people of Germany understand that they are Germans.
And how to make them feel proud about it.
I was born in 1965,in a small town near Frankfurt am Main.
So I{}"
East,19241,GRï¿½ï,male,53,Corona Pandemie,Corona Pandemie,"    I am 53 years old and male. Ideologically, I mostly support GRï¿½ï¿½NE. I live in East Germany. And in my opinion,the most important problem facing Germany today is ","    This person is 53 years old and male. Ideologically, S/he mostly supports GRï¿½ï¿½NE.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021? ","And I think that the most important problem facing Germany today is:
I agree with you. But what do we know about Germany? We have only heard from one person, and he said a different thing.
We also don't know{}"
West,30022,CDU/CSU,male,49,Pandemi,Pandemi,"    I am 49 years old and male. Ideologically, I mostly support CDU/CSU. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 49 years old and male. Ideologically, S/he mostly supports CDU/CSU.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","Its population is shrinking.
And that's not something that can be reversed by any amount of immigration or positive thinking,it will just get worse and worse as time goes on.
So what to do? Well,{}"
West,35073,FDP,male,41,Coronapandemie,Coronapandemie,"    I am 41 years old and male. Ideologically, I mostly support FDP. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 41 years old and male. Ideologically, S/he mostly supports FDP.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","Socialism is a social system that, in one form or another, has been tried by many countries and it always ends with the same result: starvation.
The German people have had enough of Socialist policies that destroy their country{}"
West,28432,FDP,male,34,corona,corona,"    I am 34 years old and male. Ideologically, I mostly support FDP. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 34 years old and male. Ideologically, S/he mostly supports FDP.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","ýýýThe German economy is not growing enough to create jobs for the millions of refugees who have arrived in Germany and are still arriving.ýýý
And this,in my opinion,is a problem that can only be solved by one man: Ang{}"
West,13603,DIE LINKE,male,42,Altersarmut ,Altersarmut ,"    I am 42 years old and male. Ideologically, I mostly support DIE LINKE. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 42 years old and male. Ideologically, S/he mostly supports DIE LINKE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The German government is not acting as a responsible,capable and efficient governing body.
Its inability to act with the necessary speed and decisiveness has led it into an untenable situation whereby its ability to govern effectively is{}"
East,38238,"not asked, terminated",female,38,Corona ,Corona ,"    I am 38 years old and female. Ideologically, I mostly support not asked, terminated. I live in East Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 38 years old and female. Ideologically, S/he mostly supports not asked, terminated.  S/he lives in East Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","the disconnect between the German people and their government,and to a lesser degree,their media.
The Germans are not stupid,they know what is going on in Germany,but they think that it's someone else'{}"
West,2936,DIE LINKE,male,34,Corona Krise,Corona Krise,"    I am 34 years old and male. Ideologically, I mostly support DIE LINKE. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 34 years old and male. Ideologically, S/he mostly supports DIE LINKE.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","Germany's lack of ""cultural identity"" and ""spirituality"".
I don't know if you have read this book:
http://www.amazon.com/The-Crisis-Identity{}"
West,40885,SPD,female,62,Kinder und altersarmut,Kinder und altersarmut,"    I am 62 years old and female. Ideologically, I mostly support SPD. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 62 years old and female. Ideologically, S/he mostly supports SPD.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","Because,if the Germans don't act now to stop this problem of theirs,then they will be facing a very serious problem in the very near future.And that is:
The ""Jewification"" of Germany!{}"
West,6849,no party,female,43,Corona ,Corona ,"    I am 43 years old and female. Ideologically, I mostly support no party. I live in West Germany. And in my opinion,the most important problem facing Germany today is     ","    This person is 43 years old and female. Ideologically, S/he mostly supports no party.  S/he lives in West Germany. And according to this person, what is the most important problem facing Germany today in 2021?     ","The lack of a unified,strong,clear and determined leadership.
And in my opinion,in a few words,the most important problem facing Germany today is: The lack of a unified,strong,clear and determined leadership.{}"
