index,study,version,doi,field_start,field_end,sample,n_participation,p_participation,access_panel,ostwest,wei4_mz,wei4_on,wei5_mz,wei5_on,lfdn,lfdn09,lfdn13,kpx_2280,kpx_2280flag,kpx_2291flag,kpx_2290s,kpx_2290flag,kp12_2601,kp12_010,kp12_011a,kp12_011b,kp12_011c,kp12_170,kp12_190aa,kp12_190ab,kp12_190ba,kp12_190bb,kp12_911,kp12_780,kp12_770,kp12_820,kp12_810,kp12_430a,kp12_430b,kp12_430c,kp12_430d,kp12_430e,kp12_430f,kp12_430i,kp12_730,kp12_731a,kp12_731b,kp12_731c,kp12_850a,kp12_850b,kp12_870a,kp12_870b,kp12_1285,kp12_2880bf,kp12_2880ar,kp12_2880u,kp12_2880ak,kp12_2880bt,kp12_1287,kp12_050a,kp12_050e,kp12_050h,kp12_050k,kp12_050l,kp12_050q,kp12_4380,kp12_4390aa,kp12_4390ab,kp12_4390ba,kp12_4390bb,kp12_4480,kp12_4490aa,kp12_4490ab,kp12_4490ba,kp12_4490bb,kp12_4580,kp12_4590aa,kp12_4590ab,kp12_4590ba,kp12_4590bb,kp12_4541,kp12_4542a,kp12_4542b,kp12_4542c,kp12_650y2,kp12_650z2,kp12_650a2,kp12_650b2,kp12_650c2,kp12_650a,kp12_650s,kp12_650v,kp12_650j1,kp12_650y,kp12_650c,kp12_650k1,kp12_650l1,kp12_650x1,kp12_650n1,kp12_650o1,kp12_650b1,kp12_650w,kp12_2880as,kp12_2880w,kp12_2880j,kp12_2880at,kp12_1290,kp12_1090,kp12_1130,kp12_1490a,kp12_1490b,kp12_1490c,kp12_1490d,kp12_1490e,kp12_1490f,kp12_1490i,kp12_1500,kp12_020,kp12_160a,kp12_160b,kp12_160j,kp12_160k,kp12_160o,kp12_160p,kp12_160q,kp12_050c,kp12_050g,kp12_050j,kp12_060e,kp12_060f,kp12_060g,kp12_060i,kp12_060j,kp12_060k,kp12_5021,kp12_5020,kp12_060b,kp12_060d,kp12_060h,kp12_2250,kp12_2270,kp12_1570g,kp12_1570h,kp12_1570i,kp12_2090a,kp12_2090b,kp12_2100,kp12_2095a,kp12_2095b,kp12_2101,kp12_1631,kp12_4240,kp12_participation,kp12_interrupt,kp12_dispcode,kp12_intstatus,kp12_group,kp12_modus,kp12_speederindex,kp12_lastpage,kp12_duration,kp12_device,kp12_smartphone,kp12_tablet,kp12_datetime,kp12_date_of_last_access,p_numinv2,p_numcpl2,p_numstr2,p_numinv3,p_numcpl3,p_numstr3,p_numinv2_2,p_numcpl2_2,p_numstr2_2,p_numinv3_2,p_numcpl3_2,p_numstr3_2,filename,wave_number,education_level,leaning_party,education_clause,gender,age,age_group,first_most_imp,kp12_840_c1,kp12_840_c1_str
4046,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,3,12,1-1-1-1-1-1-1-1-1-1-1-1,0,Westdeutschland,1.4760001,1.7004384,1.4448472,1.6622428,1576,-97,-97,2,1,1,1971,1,5,5,5,5,5,5,-97,-97,-97,-97,6,4,-98,4,-98,6,6,6,6,6,6,6,6,6,6,6,809,809,809,809,-98,3,3,3,3,3,3,3,3,3,3,3,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,1,-71,-71,-71,-71,6,-71,-71,-71,-71,-71,-71,-71,3,3,5,5,3,4,7,-98,-98,-98,-98,-98,-98,-98,-98,3,2,2,2,2,3,1,3,3,4,3,2,3,3,4,4,4,3,3,3,3,3,3,4,4,4,3,808,808,-97,-97,-97,-97,6,2,1,1,32,1,1,0,1.4340647,136629,-99,2,1,0,2019-11-08 15:41:57,2019-11-13 08:51:34,27,6,28,27,6,28,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,2.0,keine Partei,mit einem Hauptschulabschluss,weiblich,48.0,45-54,Flüchtlinge,36.0,Migration und Integration
4367,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,3,12,1-1-1-1-1-1-1-1-1-1-1-1,0,Westdeutschland,2.1197045,1.2244865,2.1139138,1.2176006,180,-97,-97,2,1,1,1955 und frueher,1,9,3,3,2,4,1,7,7,7,7,1,4,3,2,3,2,7,8,2,2,10,1,4,3,7,5,7,7,7,7,1,3,2,1,4,5,3,2,2,3,3,5,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,1,1,-71,5,11,9,7,-71,6,9,-71,-71,6,1,4,4,4,2,6,6,8,8,5,8,6,2,11,4,2,3,4,4,4,2,4,4,4,4,5,1,1,4,5,5,4,2,3,4,4,4,2,4,4,5,5,7,7,3,808,808,-97,8,2,1,0,31,1,1,0,0.86944276,136629,634,11,0,0,2019-11-06 21:09:03,2019-11-06 21:19:37,189,51,169,42,15,37,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,2.0,Die Linke,mit einem Hauptschulabschluss,weiblich,64.0,55+,Flüchtlinge,36.0,Migration und Integration
2923,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,3,10,1-1-1-1-1-1-0-1-0-1-1-1,0,Westdeutschland,,,,,15527,-97,-97,1,1,1,1990,1,5,2,3,3,2,1,801,215,801,215,1,4,5,3,3,1,1,1,1,6,5,1,1,1,1,3,6,6,6,6,1,3,2,1,5,5,2,2,1,3,4,5,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,1,3,1,1,1,1,1,1,1,1,2,1,1,1,5,4,2,1,7,1,7,7,6,7,4,3,11,5,3,3,3,5,4,3,1,4,4,4,5,1,1,1,4,2,1,4,5,4,3,3,2,3,2,3,1,801,215,1,6,6,2,8,1,1,0,31,1,1,0,0.8911595,136629,707,11,0,0,2019-11-05 18:57:23,2019-11-05 19:09:10,91,46,101,69,35,78,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,3.0,eine Kleinpartei,mit einem Realschulabschluss,männlich,29.0,25-34,Das Bildungssystem,42.0,Bildungspolitik
4494,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,2,12,1-1-1-1-1-1-1-1-1-1-1-1,0,Westdeutschland,0.51695824,0.527305,0.5226784,0.52765095,851,-97,2436,2,2,2,1962,2,6,2,2,2,2,1,1,1,6,6,1,2,3,2,3,8,4,4,5,7,3,1,3,7,3,3,1,2,1,2,1,3,2,4,3,5,1,2,1,5,4,5,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,8,4,3,1,4,4,5,9,5,4,5,8,3,3,2,3,5,2,4,2,6,-98,-98,-98,6,1,11,6,1,3,4,3,3,2,1,4,5,4,5,1,2,2,5,4,5,2,2,1,3,3,3,3,4,3,3,1,2,3,6,6,3,7,2,1,0,31,1,1,0,0.7928072,136629,568,11,0,0,2019-11-05 14:24:04,2019-11-05 14:33:32,192,89,253,45,22,70,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,5.0,die CDU/CSU,mit Abitur,weiblich,57.0,55+,Rechtsextremismus in allen Facetten,19.0,Radikalisierung und Extremismus
6351,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,4,7,0-0-0-0-a1-0-1-1-1-1-0-1-1,0,Ostdeutschland,,,,,21252,-97,-97,1,3,3,1955 und frueher,3,14,1,1,1,1,1,-98,-98,-98,-98,6,2,2,3,2,9,10,8,8,10,6,4,8,8,8,8,808,808,1,1,1,5,1,2,5,5,1,3,3,5,5,5,4,-97,-97,-97,-97,-97,1,6,6,2,2,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,9,9,4,2,8,6,10,10,8,6,9,10,8,3,4,4,4,2,4,4,6,7,4,6,4,1,10,5,2,3,5,3,4,3,4,3,5,5,5,2,2,3,5,4,5,5,5,1,3,4,2,2,3,3,3,808,808,-97,-97,-97,-97,8,2,1,0,31,1,1,0,1.4695303,136629,1656,10,0,0,2019-11-07 17:03:34,2019-11-07 17:31:10,-99,-99,-99,-99,-99,-99,115,34,107,33,14,40,ZA6838_w12_sA_v6-0-0.dta,12,5.0,keine Partei,mit Abitur,männlich,64.0,55+,"Reaktion und Umgang mit der kritischen weltpolitischen Situation (USA, Türkei, China, EU, NATO)",21.0,Außenpolitik
9619,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,3,12,1-1-1-1-1-1-1-1-1-1-1-1,0,Westdeutschland,0.8674425,0.48938885,0.92239845,0.5176974,14654,-97,-97,2,1,1,1955 und frueher,1,6,2,2,2,2,1,5,5,5,5,1,3,2,3,1,2,3,4,9,4,-99,1,7,2,3,3,5,5,5,5,2,-97,4,3,1,5,2,2,2,4,4,5,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,2,10,9,2,9,2,5,4,1,4,7,7,3,2,1,3,4,5,4,6,3,5,5,8,6,4,10,8,2,3,4,3,3,2,3,3,5,5,5,1,2,2,4,5,4,3,2,1,2,3,3,3,4,4,4,5,5,2,7,7,3,8,1,1,0,31,1,1,0,1.2625021,136629,1091,11,0,0,2019-11-05 16:08:50,2019-11-05 16:27:01,242,35,91,66,13,29,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,3.0,die FDP,mit einem Realschulabschluss,weiblich,64.0,55+,Die Einwanderung,36.0,Migration und Integration
8156,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,3,11,1-1-1-1-1-1-1-0-1-1-1-1,0,Ostdeutschland,,,,,8742,-97,-97,1,1,1,1955 und frueher,1,11,2,2,2,2,2,5,5,5,5,3,2,3,2,3,3,3,2,5,1,2,2,2,2,2,1,5,5,808,808,1,4,4,5,1,4,1,1,1,4,4,3,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,1,6,1,2,2,1,1,1,7,2,2,4,1,3,3,2,4,4,3,5,9,9,4,4,5,4,9,7,2,2,3,2,1,2,2,4,4,5,5,3,1,2,5,4,4,2,2,1,3,3,3,3,3,3,3,808,808,-97,-97,-97,-97,8,1,1,0,31,1,1,0,1.0594064,136629,752,11,0,0,2019-11-05 15:33:05,2019-11-05 15:45:37,154,40,163,34,10,37,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,5.0,keine Partei,mit Abitur,männlich,64.0,55+,Digitalisierung,51.0,Digitale Infrastruktur
9014,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,3,12,1-1-1-1-1-1-1-1-1-1-1-1,0,Westdeutschland,0.93705064,1.1293797,0.9138792,1.0986558,17989,-97,-97,2,1,1,1978,1,5,3,3,3,4,1,6,6,6,6,1,2,4,3,3,7,7,6,7,8,6,1,6,6,6,6,808,808,809,809,1,4,2,3,3,5,2,2,2,2,3,5,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,7,6,-71,1,8,7,5,-71,4,5,5,7,3,3,2,4,4,3,4,4,6,6,6,6,6,1,11,5,3,4,4,4,3,3,2,4,3,3,3,1,1,1,3,3,3,5,5,3,3,2,3,3,4,4,4,6,6,3,808,808,-97,7,2,1,0,31,1,1,0,0.82100546,136629,606,11,0,0,2019-11-13 17:52:22,2019-11-13 18:02:28,237,48,193,68,12,60,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,3.0,die Grünen,mit einem Realschulabschluss,weiblich,41.0,35-44,bildung,42.0,Bildungspolitik
7985,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,3,12,1-1-1-1-1-1-1-1-1-1-1-1,0,Westdeutschland,0.74374187,0.47695923,0.80908465,0.5207403,15797,-97,-97,1,1,1,1955 und frueher,1,2,1,1,1,3,1,4,4,4,4,1,4,2,4,2,5,4,5,6,6,3,1,4,4,4,4,808,808,808,808,2,-97,3,3,3,3,2,3,3,3,3,3,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,4,5,3,1,3,5,5,6,7,3,6,4,3,3,3,3,3,5,3,6,8,8,4,5,3,2,11,4,3,3,2,3,2,1,2,3,3,3,3,2,2,2,5,5,3,3,3,3,3,3,4,3,3,3,3,4,4,2,808,808,-97,8,1,1,0,31,1,1,0,0.6081408,136629,412,11,0,0,2019-11-05 18:23:37,2019-11-05 18:30:29,196,62,167,50,20,46,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,2.0,die SPD,mit einem Hauptschulabschluss,männlich,64.0,55+,Asylverfahren,36.0,Migration und Integration
9101,6838,6-0-0 (2023-05-04),doi:10.4232/1.14114,2019-11-05,2019-11-19,2,12,1-1-1-1-1-1-1-1-1-1-1-1,0,Westdeutschland,1.8174274,1.1933872,1.8542267,1.2247574,17403,-97,4860,1,2,2,1955 und frueher,2,3,2,2,3,4,1,5,5,4,4,3,1,2,2,2,9,6,10,10,6,3,1,9,9,7,10,1,1,4,4,1,4,3,4,2,3,3,2,2,4,4,5,4,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,9,10,4,1,4,9,8,9,6,8,8,7,6,3,2,3,3,5,5,3,9,10,6,9,4,2,11,8,2,4,4,3,4,4,4,4,5,5,5,3,2,2,3,4,4,4,5,1,2,3,3,2,2,4,3,4,4,2,5,5,2,8,1,1,0,31,1,1,0,1.3965623,136629,1267,11,0,0,2019-11-05 21:50:37,2019-11-05 22:11:44,119,30,113,29,9,28,-99,-99,-99,-99,-99,-99,ZA6838_w12_sA_v6-0-0.dta,12,2.0,die SPD,mit einem Hauptschulabschluss,männlich,64.0,55+,Flüchtlinge,36.0,Migration und Integration
