,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.1028,0.0473,0.1351,0.0,0.0018,0.2443,0.2179,0.0132,0.0519,0.0005,0,0.0669,0.0023,0.116
Westdeutschland,0.1012,0.0367,0.1335,0.0004,0.0037,0.2411,0.222,0.0128,0.0526,0.0004,0,0.0688,0.0026,0.1242
befindet sich noch in beruflicher Ausbildung.,0.0486,0.1243,0.0973,0.0,0.0,0.3459,0.1676,0.027,0.027,0.0,0,0.0486,0.0,0.1135
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.2083,0.0,0.2083,0.0,0.0417,0.125,0.1667,0.0,0.0417,0.0,0,0.125,0.0,0.0833
hat eine Lehre abgeschlossen.,0.1244,0.0484,0.1364,0.0,0.0,0.2383,0.2297,0.0173,0.0328,0.0,0,0.0604,0.0,0.1123
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0882,0.0365,0.1433,0.0008,0.0025,0.2383,0.2375,0.0102,0.0492,0.0,0,0.0619,0.0025,0.1289
hat eine kaufmännische Lehre abgeschlossen.,0.1091,0.0333,0.1326,0.0004,0.0041,0.2388,0.2178,0.0165,0.056,0.0008,0,0.0675,0.0033,0.1198
hat einen Berufsfachschulabschluss.,0.1043,0.0362,0.1277,0.0,0.0053,0.2447,0.2309,0.0074,0.05,0.0,0,0.0606,0.0043,0.1287
hat einen Fachhochschulabschluss.,0.0902,0.038,0.1305,0.0012,0.0024,0.2088,0.2396,0.0107,0.0569,0.0012,0,0.0878,0.0012,0.1317
hat einen Fachschulabschluss.,0.0972,0.0437,0.1508,0.0,0.002,0.2401,0.2282,0.0079,0.0476,0.0,0,0.0655,0.006,0.1111
hat einen Meisterabschluss oder Technikerabschluss.,0.0983,0.0546,0.1507,0.0,0.0044,0.2227,0.1965,0.0131,0.0611,0.0022,0,0.0764,0.0022,0.1179
hat einen Universitätsabschluss.,0.1102,0.0341,0.122,0.0,0.002,0.2656,0.2157,0.0098,0.0525,0.0,0,0.0715,0.0013,0.1154
hat keine berufliche Ausbildung abgeschlossen.,0.0836,0.0392,0.1451,0.0,0.0051,0.2355,0.1962,0.0188,0.0666,0.0,0,0.0683,0.0017,0.1399
Die Linke,0.0847,0.0419,0.1421,0.0,0.0055,0.2359,0.2341,0.0164,0.0464,0.0009,0,0.071,0.0018,0.1193
die AfD,0.0938,0.0271,0.1344,0.0,0.0019,0.2379,0.2321,0.0087,0.0629,0.001,0,0.0677,0.0077,0.1248
die CDU/CSU,0.1005,0.0452,0.147,0.0006,0.0013,0.2274,0.2073,0.0138,0.0459,0.0,0,0.0785,0.0019,0.1307
die FDP,0.1032,0.0295,0.1137,0.0,0.0042,0.2484,0.2063,0.0147,0.0674,0.0,0,0.0779,0.0,0.1347
die Grünen,0.1185,0.042,0.1208,0.0,0.0045,0.2528,0.2116,0.0113,0.0525,0.0,0,0.0638,0.0023,0.12
die SPD,0.0942,0.0421,0.1413,0.0008,0.0025,0.2339,0.2355,0.0124,0.0446,0.0008,0,0.0694,0.0025,0.1198
eine Kleinpartei,0.0912,0.0304,0.1298,0.0,0.0138,0.2541,0.2182,0.0083,0.058,0.0,0,0.0801,0.0,0.116
keine Partei,0.1099,0.0396,0.129,0.0005,0.0019,0.2519,0.2207,0.014,0.0554,0.0005,0,0.0577,0.0019,0.1173
männlich,0.098,0.0379,0.1403,0.0004,0.0035,0.2427,0.2231,0.0109,0.0503,0.0002,0,0.0693,0.0024,0.1209
weiblich,0.1051,0.0405,0.1276,0.0002,0.003,0.2411,0.219,0.0148,0.0545,0.0006,0,0.0674,0.0026,0.1236
hat das Abitur,0.101,0.0391,0.1234,0.0,0.002,0.2618,0.2227,0.0109,0.049,0.0,0,0.073,0.001,0.1161
hat einen Fachhochschulreife,0.0966,0.0406,0.1229,0.0011,0.0066,0.2261,0.225,0.0143,0.0571,0.0022,0,0.0757,0.0044,0.1273
hat einen Hauptschulabschluss,0.0905,0.0349,0.151,0.0005,0.0038,0.2436,0.2114,0.018,0.0512,0.0005,0,0.0567,0.0027,0.1351
hat einen Realschulabschluss,0.1094,0.0412,0.1363,0.0003,0.0032,0.2275,0.2237,0.0111,0.0553,0.0003,0,0.0684,0.0032,0.1202
hat keinen Schulabschluss,0.1163,0.0465,0.186,0.0,0.0,0.2558,0.2093,0.0465,0.0233,0.0,0,0.0465,0.0,0.0698
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0,0.3333,0.0,0.0
18-29 YEARS,0.0681,0.107,0.1051,0.0,0.0019,0.2763,0.2101,0.0175,0.035,0.0019,0,0.0564,0.0,0.1206
30-44 YEARS,0.1259,0.0326,0.1208,0.0,0.0046,0.2485,0.2081,0.0096,0.0533,0.0,0,0.0836,0.0009,0.1121
45-59 YEARS,0.1111,0.0252,0.1179,0.0003,0.0024,0.2461,0.2316,0.0116,0.061,0.0,0,0.0675,0.0036,0.1217
60 and more,0.0804,0.0477,0.1645,0.0006,0.0035,0.2273,0.2204,0.0157,0.0455,0.0009,0,0.0606,0.0028,0.13
