,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0891,0.0464,0.1159,0.0004,0.0018,0.2207,0.2822,0.0138,0.0514,0.0007,0.0,0.0565,0.0025,0.1185
Westdeutschland,0.0891,0.0389,0.1151,0.001,0.0035,0.2152,0.2808,0.0156,0.0522,0.0003,0.0,0.0577,0.0038,0.1268
befindet sich noch in beruflicher Ausbildung.,0.0439,0.1096,0.0789,0.0,0.0044,0.2982,0.25,0.0263,0.0263,0.0,0.0,0.0395,0.0,0.1228
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.1786,0.0,0.1786,0.0,0.0357,0.1071,0.2857,0.0,0.0357,0.0,0.0,0.1071,0.0,0.0714
hat eine Lehre abgeschlossen.,0.1102,0.0452,0.1215,0.0014,0.0,0.2175,0.2754,0.0198,0.0367,0.0,0.0,0.0537,0.0014,0.1172
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0833,0.041,0.1209,0.0014,0.0027,0.2131,0.3005,0.0116,0.0437,0.0,0.0,0.0533,0.0027,0.1257
hat eine kaufmännische Lehre abgeschlossen.,0.0907,0.0353,0.1114,0.001,0.004,0.2156,0.2865,0.0185,0.0561,0.001,0.0,0.0564,0.0036,0.12
hat einen Berufsfachschulabschluss.,0.0936,0.04,0.1132,0.0017,0.0043,0.2179,0.286,0.0068,0.0477,0.0,0.0,0.0511,0.0068,0.1311
hat einen Fachhochschulabschluss.,0.0844,0.0455,0.1118,0.0009,0.0038,0.1915,0.291,0.0133,0.054,0.0009,0.0,0.073,0.0019,0.128
hat einen Fachschulabschluss.,0.0863,0.0415,0.131,0.0,0.0016,0.2141,0.2796,0.0128,0.0527,0.0,0.0,0.0559,0.0064,0.1182
hat einen Meisterabschluss oder Technikerabschluss.,0.0847,0.0523,0.1297,0.0,0.0036,0.191,0.2667,0.0144,0.0595,0.0018,0.0,0.0631,0.0018,0.1315
hat einen Universitätsabschluss.,0.0939,0.034,0.1088,0.0005,0.0015,0.2357,0.2708,0.0144,0.0552,0.0,0.0,0.0593,0.0036,0.1222
hat keine berufliche Ausbildung abgeschlossen.,0.0765,0.0403,0.1238,0.0,0.0042,0.2086,0.2531,0.0223,0.0654,0.0,0.0,0.057,0.0028,0.146
Die Linke,0.0713,0.04,0.1215,0.0,0.0051,0.214,0.2969,0.0138,0.0517,0.0007,0.0,0.0626,0.0044,0.1179
die AfD,0.0863,0.0321,0.1138,0.0015,0.0015,0.2139,0.2903,0.0107,0.0542,0.0008,0.0,0.0573,0.0069,0.1306
die CDU/CSU,0.0895,0.044,0.122,0.002,0.0025,0.2035,0.2725,0.0165,0.047,0.0,0.0,0.0645,0.0025,0.1335
die FDP,0.0975,0.037,0.0958,0.0,0.0034,0.2235,0.2672,0.0151,0.0689,0.0,0.0,0.0639,0.0,0.1277
die Grünen,0.1017,0.0448,0.109,0.0,0.0036,0.2258,0.2639,0.0133,0.0527,0.0,0.0,0.0545,0.0042,0.1265
die SPD,0.0853,0.039,0.1195,0.0007,0.002,0.2082,0.2968,0.0154,0.0463,0.0007,0.0,0.0591,0.0027,0.1242
eine Kleinpartei,0.078,0.0245,0.118,0.0,0.0134,0.2249,0.2829,0.0134,0.0535,0.0,0.0,0.069,0.0022,0.1203
keine Partei,0.0935,0.0447,0.1131,0.0011,0.0019,0.2246,0.2799,0.0184,0.0537,0.0008,0.0,0.047,0.003,0.1183
männlich,0.0869,0.0402,0.1199,0.0012,0.0031,0.2155,0.2842,0.0135,0.0495,0.0003,0.0,0.0578,0.0038,0.1241
weiblich,0.0913,0.0412,0.1106,0.0005,0.0031,0.2175,0.2782,0.0169,0.0546,0.0005,0.0,0.057,0.0031,0.1255
hat das Abitur,0.0901,0.0395,0.1061,0.0003,0.0018,0.2318,0.2795,0.0144,0.0513,0.0,0.0,0.061,0.0029,0.1213
hat einen Fachhochschulreife,0.0866,0.042,0.1107,0.0009,0.0062,0.2107,0.2759,0.0161,0.0554,0.0018,0.0,0.0634,0.0045,0.1259
hat einen Hauptschulabschluss,0.0811,0.0373,0.1285,0.0013,0.0035,0.2148,0.2758,0.021,0.0491,0.0004,0.0,0.0482,0.0022,0.1368
hat einen Realschulabschluss,0.0932,0.0433,0.117,0.0012,0.0033,0.2052,0.2864,0.0122,0.0537,0.0005,0.0,0.0577,0.0045,0.1219
hat keinen Schulabschluss,0.0877,0.0351,0.1579,0.0,0.0,0.2281,0.3158,0.0351,0.0351,0.0,0.0,0.0351,0.0,0.0702
ist noch Schüler/in,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2
18-29 YEARS,0.061,0.1011,0.0915,0.0,0.0048,0.2376,0.2616,0.0193,0.0337,0.0016,0.0,0.0498,0.0,0.138
30-44 YEARS,0.1095,0.0369,0.1042,0.0007,0.0045,0.2264,0.2655,0.0119,0.0532,0.0004,0.0,0.0689,0.0022,0.1158
45-59 YEARS,0.099,0.0266,0.1026,0.0007,0.0024,0.2216,0.2848,0.0147,0.061,0.0,0.0,0.0572,0.0052,0.124
60 and more,0.0693,0.0486,0.1396,0.0012,0.0027,0.2012,0.2909,0.0172,0.0446,0.0007,0.0,0.0511,0.003,0.1296
