,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0441,0.0846,0.0605,0.0018,0.0036,0.1702,0.5064,0.0082,0.0373,0.0,0.0005,0.0314,0.0,0.0514
Westdeutschland,0.0386,0.0944,0.0469,0.0014,0.0028,0.1445,0.558,0.0047,0.0319,0.0003,0.0,0.0264,0.0003,0.0499
befindet sich noch in beruflicher Ausbildung.,0.0324,0.3027,0.0703,0.0,0.0162,0.1135,0.3676,0.0108,0.0216,0.0,0.0,0.027,0.0,0.0378
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0833,0.0,0.0833,0.0,0.0,0.125,0.4583,0.0,0.0417,0.0,0.0,0.0833,0.0,0.125
hat eine Lehre abgeschlossen.,0.0397,0.1002,0.0656,0.0052,0.0,0.2176,0.4266,0.0035,0.0294,0.0,0.0,0.038,0.0,0.0743
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0178,0.0254,0.0475,0.0008,0.0051,0.1238,0.7498,0.0,0.0161,0.0,0.0008,0.0042,0.0017,0.0068
hat eine kaufmännische Lehre abgeschlossen.,0.0049,0.0095,0.0169,0.0,0.0008,0.0177,0.9185,0.0008,0.0268,0.0,0.0,0.0033,0.0,0.0008
hat einen Berufsfachschulabschluss.,0.0638,0.1351,0.0777,0.0,0.0064,0.2128,0.3628,0.0064,0.0266,0.0,0.0,0.0309,0.0,0.0777
hat einen Fachhochschulabschluss.,0.0593,0.0474,0.0724,0.0024,0.0024,0.2669,0.3594,0.0095,0.051,0.0,0.0,0.051,0.0,0.0783
hat einen Fachschulabschluss.,0.0437,0.0496,0.0774,0.004,0.004,0.2817,0.3413,0.004,0.0417,0.0,0.0,0.0516,0.0,0.1012
hat einen Meisterabschluss oder Technikerabschluss.,0.0153,0.0633,0.083,0.0,0.0022,0.1987,0.5655,0.0044,0.0153,0.0,0.0,0.0153,0.0,0.0371
hat einen Universitätsabschluss.,0.101,0.038,0.0616,0.002,0.0033,0.2531,0.2793,0.017,0.0675,0.0013,0.0,0.0662,0.0,0.1095
hat keine berufliche Ausbildung abgeschlossen.,0.0205,0.6928,0.0154,0.0051,0.0017,0.0171,0.1826,0.0017,0.0034,0.0,0.0,0.0119,0.0,0.0478
Die Linke,0.0446,0.0838,0.0556,0.0009,0.0018,0.1694,0.5109,0.0082,0.0346,0.0,0.0,0.0337,0.0,0.0565
die AfD,0.0397,0.0861,0.0532,0.001,0.0039,0.148,0.5706,0.001,0.0261,0.0,0.0,0.0213,0.0019,0.0474
die CDU/CSU,0.0421,0.071,0.0572,0.0031,0.0031,0.1432,0.5747,0.005,0.0232,0.0006,0.0006,0.0258,0.0,0.0503
die FDP,0.0484,0.0758,0.0463,0.0,0.0021,0.2042,0.4989,0.0042,0.0295,0.0,0.0,0.0442,0.0,0.0463
die Grünen,0.0413,0.102,0.0533,0.0008,0.0023,0.1583,0.4951,0.009,0.045,0.0008,0.0,0.0323,0.0,0.06
die SPD,0.0372,0.0826,0.0471,0.0025,0.0058,0.1405,0.5628,0.0083,0.0388,0.0,0.0,0.0223,0.0,0.0521
eine Kleinpartei,0.0387,0.0939,0.0331,0.0,0.0028,0.1602,0.5691,0.0055,0.0387,0.0,0.0,0.0276,0.0,0.0304
keine Partei,0.0349,0.1173,0.0442,0.0014,0.0023,0.135,0.5582,0.0033,0.0326,0.0,0.0,0.0251,0.0,0.0456
männlich,0.0394,0.0806,0.0545,0.0011,0.0033,0.1643,0.5373,0.0054,0.0375,0.0002,0.0,0.0261,0.0004,0.0499
weiblich,0.0403,0.1034,0.0459,0.0019,0.0028,0.1371,0.5541,0.0056,0.029,0.0002,0.0002,0.029,0.0,0.0506
hat das Abitur,0.0691,0.0839,0.0566,0.0023,0.0036,0.2062,0.399,0.0102,0.0484,0.0007,0.0,0.0454,0.0,0.0747
hat einen Fachhochschulreife,0.0406,0.0494,0.056,0.0,0.0011,0.1954,0.5093,0.0077,0.0362,0.0,0.0,0.0384,0.0,0.0659
hat einen Hauptschulabschluss,0.024,0.1428,0.0403,0.0011,0.0038,0.0937,0.6371,0.0005,0.0163,0.0,0.0,0.0142,0.0005,0.0256
hat einen Realschulabschluss,0.0228,0.0787,0.0485,0.0015,0.0026,0.1205,0.6392,0.0035,0.0281,0.0,0.0003,0.0164,0.0003,0.0377
hat keinen Schulabschluss,0.0,0.4651,0.0233,0.0,0.0,0.093,0.3488,0.0,0.0233,0.0,0.0,0.0,0.0,0.0465
ist noch Schüler/in,0.0,0.3333,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0331,0.2335,0.0467,0.0019,0.0078,0.1323,0.4494,0.0058,0.0292,0.0,0.0,0.0214,0.0,0.0389
30-44 YEARS,0.0487,0.091,0.0492,0.0023,0.0032,0.1612,0.5186,0.0092,0.0308,0.0005,0.0005,0.0312,0.0,0.0537
45-59 YEARS,0.0364,0.0942,0.048,0.0009,0.0033,0.1395,0.5678,0.0036,0.0308,0.0,0.0,0.0234,0.0006,0.0515
60 and more,0.0386,0.0678,0.0537,0.0016,0.0019,0.1579,0.5564,0.005,0.038,0.0003,0.0,0.0305,0.0,0.0484
