,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0637,0.0482,0.0582,0.0009,0.0014,0.3157,0.1906,0.0059,0.0214,0.0,0.0,0.0469,0.1128,0.1342
Westdeutschland,0.1286,0.0242,0.1521,0.0004,0.004,0.2177,0.1963,0.0244,0.0581,0.0006,0.0001,0.091,0.0038,0.0985
befindet sich noch in beruflicher Ausbildung.,0.1243,0.0108,0.1189,0.0,0.0054,0.2378,0.2,0.0378,0.0595,0.0,0.0,0.0595,0.0162,0.1297
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0833,0.0417,0.0417,0.0,0.0417,0.2917,0.125,0.0,0.0833,0.0,0.0,0.0833,0.0,0.2083
hat eine Lehre abgeschlossen.,0.1157,0.0121,0.1572,0.0,0.0017,0.2401,0.19,0.019,0.057,0.0017,0.0,0.0881,0.0328,0.0846
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1162,0.0399,0.1442,0.0008,0.0008,0.24,0.1951,0.0161,0.0416,0.0,0.0,0.0789,0.0288,0.0975
hat eine kaufmännische Lehre abgeschlossen.,0.107,0.0313,0.1313,0.0004,0.0029,0.2347,0.2005,0.0218,0.0564,0.0008,0.0,0.0844,0.0152,0.1132
hat einen Berufsfachschulabschluss.,0.1181,0.0298,0.0904,0.0011,0.0021,0.2436,0.2096,0.0234,0.0468,0.0,0.0,0.0798,0.0511,0.1043
hat einen Fachhochschulabschluss.,0.1068,0.0344,0.1435,0.0012,0.0071,0.2183,0.1744,0.0154,0.0569,0.0012,0.0,0.0902,0.0427,0.1079
hat einen Fachschulabschluss.,0.1111,0.0298,0.123,0.0,0.006,0.2341,0.2143,0.0179,0.0377,0.0,0.0,0.0556,0.0417,0.129
hat einen Meisterabschluss oder Technikerabschluss.,0.1376,0.0371,0.1288,0.0,0.0087,0.2642,0.1638,0.024,0.048,0.0,0.0,0.0655,0.0218,0.1004
hat einen Universitätsabschluss.,0.1134,0.0282,0.1226,0.0007,0.0033,0.2616,0.1862,0.019,0.0439,0.0,0.0007,0.0767,0.038,0.1056
hat keine berufliche Ausbildung abgeschlossen.,0.1109,0.0205,0.1433,0.0,0.0,0.2321,0.215,0.0188,0.0427,0.0,0.0,0.0973,0.0154,0.1041
Die Linke,0.0929,0.0383,0.112,0.0009,0.0055,0.2705,0.1821,0.0173,0.0446,0.0009,0.0,0.0747,0.0546,0.1056
die AfD,0.117,0.0232,0.1344,0.0,0.0029,0.235,0.1954,0.0184,0.0522,0.0,0.0,0.0793,0.0368,0.1054
die CDU/CSU,0.1162,0.0289,0.1457,0.0006,0.0044,0.2425,0.1859,0.0195,0.0383,0.0,0.0,0.0867,0.0239,0.1074
die FDP,0.1326,0.0253,0.1242,0.0,0.0,0.2337,0.2274,0.0211,0.0463,0.0,0.0,0.0716,0.0232,0.0947
die Grünen,0.114,0.0278,0.1343,0.0,0.0038,0.2356,0.198,0.018,0.0593,0.0,0.0008,0.072,0.0188,0.1178
die SPD,0.1198,0.0273,0.1198,0.0008,0.0033,0.2207,0.2157,0.0198,0.0496,0.0008,0.0,0.0868,0.019,0.1165
eine Kleinpartei,0.1519,0.0276,0.1409,0.0,0.0083,0.221,0.1796,0.0166,0.0552,0.0,0.0,0.0829,0.0221,0.0939
keine Partei,0.1043,0.034,0.1271,0.0009,0.0014,0.2477,0.1899,0.0242,0.0521,0.0009,0.0,0.0829,0.0335,0.101
männlich,0.1133,0.029,0.1331,0.0007,0.0041,0.2429,0.19,0.0209,0.0488,0.0002,0.0002,0.0828,0.0316,0.1024
weiblich,0.113,0.0309,0.1266,0.0004,0.0026,0.2392,0.1999,0.0191,0.05,0.0006,0.0,0.0783,0.0279,0.1115
hat das Abitur,0.1158,0.028,0.125,0.0007,0.0033,0.2526,0.1888,0.0207,0.0497,0.0003,0.0003,0.075,0.0342,0.1056
hat einen Fachhochschulreife,0.1207,0.0274,0.1471,0.0,0.0066,0.2162,0.1888,0.0176,0.0395,0.0,0.0,0.0878,0.0285,0.1196
hat einen Hauptschulabschluss,0.1172,0.0294,0.1346,0.0011,0.0022,0.2223,0.2071,0.0196,0.0556,0.0005,0.0,0.0975,0.0142,0.0986
hat einen Realschulabschluss,0.107,0.0325,0.1263,0.0003,0.0032,0.2477,0.1956,0.0205,0.0491,0.0006,0.0,0.074,0.0339,0.1094
hat keinen Schulabschluss,0.0698,0.0465,0.1628,0.0,0.0,0.2326,0.2093,0.0,0.0,0.0,0.0,0.1163,0.0698,0.093
ist noch Schüler/in,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
18-29 YEARS,0.1089,0.0253,0.1265,0.0,0.0019,0.2412,0.2082,0.0233,0.0525,0.0,0.0019,0.0739,0.0233,0.1128
30-44 YEARS,0.1015,0.0317,0.1332,0.0005,0.0037,0.2435,0.1828,0.0257,0.0496,0.0005,0.0,0.0868,0.0345,0.1061
45-59 YEARS,0.117,0.0323,0.1324,0.0012,0.0033,0.2402,0.1973,0.0198,0.0474,0.0006,0.0,0.0791,0.0284,0.101
60 and more,0.1177,0.027,0.1253,0.0,0.0035,0.2402,0.1987,0.0157,0.0509,0.0003,0.0,0.0788,0.0289,0.113
