,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.051,0.0573,0.051,0.0007,0.0016,0.2465,0.2145,0.0076,0.022,0.0007,0.0,0.0375,0.151,0.1586
Westdeutschland,0.1125,0.0235,0.1305,0.0003,0.0035,0.1975,0.2532,0.0247,0.061,0.0004,0.0,0.0744,0.0059,0.1125
befindet sich noch in beruflicher Ausbildung.,0.1004,0.0262,0.1004,0.0,0.0044,0.2227,0.2445,0.0349,0.0524,0.0,0.0,0.048,0.0349,0.131
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0625,0.0312,0.0312,0.0,0.0312,0.25,0.2188,0.0,0.0938,0.0,0.0,0.0625,0.0,0.2188
hat eine Lehre abgeschlossen.,0.0979,0.0214,0.1354,0.0,0.0013,0.2038,0.2413,0.0174,0.055,0.0013,0.0,0.0697,0.0416,0.1139
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0971,0.0418,0.1235,0.0006,0.0013,0.2077,0.2399,0.0161,0.0437,0.0,0.0,0.065,0.0424,0.1209
hat eine kaufmännische Lehre abgeschlossen.,0.0935,0.0292,0.1152,0.0003,0.0032,0.2077,0.2486,0.0234,0.0584,0.0013,0.0,0.0675,0.0286,0.123
hat einen Berufsfachschulabschluss.,0.0978,0.0334,0.0774,0.0008,0.0008,0.2095,0.2502,0.0228,0.0489,0.0,0.0,0.0636,0.0685,0.1263
hat einen Fachhochschulabschluss.,0.0946,0.0304,0.1152,0.0009,0.0045,0.1902,0.2339,0.0134,0.0554,0.0009,0.0,0.0732,0.0562,0.1312
hat einen Fachschulabschluss.,0.0893,0.0348,0.1059,0.0,0.0045,0.2057,0.2511,0.0212,0.0439,0.0,0.0,0.0454,0.056,0.1422
hat einen Meisterabschluss oder Technikerabschluss.,0.116,0.0375,0.1075,0.0,0.0085,0.2304,0.2099,0.0256,0.0512,0.0,0.0,0.0563,0.0273,0.1297
hat einen Universitätsabschluss.,0.0969,0.0337,0.104,0.0005,0.0035,0.2255,0.2451,0.0186,0.0457,0.0,0.0,0.0633,0.0482,0.115
hat keine berufliche Ausbildung abgeschlossen.,0.1036,0.0259,0.114,0.0,0.0,0.2008,0.25,0.022,0.0492,0.0,0.0,0.0751,0.0298,0.1295
Die Linke,0.0758,0.04,0.0951,0.0007,0.0048,0.2233,0.2281,0.0186,0.051,0.0007,0.0,0.0613,0.0751,0.1254
die AfD,0.1009,0.0307,0.1111,0.0,0.0029,0.1988,0.2434,0.0183,0.0482,0.0,0.0,0.0621,0.0534,0.1301
die CDU/CSU,0.0983,0.0297,0.1231,0.0005,0.0034,0.2156,0.2472,0.019,0.0443,0.0,0.0,0.0681,0.0297,0.1212
die FDP,0.1131,0.0295,0.1098,0.0,0.0,0.2016,0.2607,0.0197,0.0475,0.0,0.0,0.0557,0.0377,0.1246
die Grünen,0.0988,0.0314,0.1163,0.0,0.0035,0.2076,0.25,0.0192,0.0547,0.0,0.0,0.061,0.0291,0.1285
die SPD,0.1074,0.0278,0.1028,0.0006,0.0032,0.1979,0.2561,0.0194,0.0517,0.0006,0.0,0.0705,0.0356,0.1261
eine Kleinpartei,0.1245,0.0279,0.118,0.0,0.0064,0.1867,0.2468,0.0215,0.0536,0.0,0.0,0.0644,0.03,0.1202
keine Partei,0.0898,0.0345,0.1078,0.0007,0.0014,0.218,0.2331,0.0244,0.0557,0.0014,0.0,0.0679,0.0456,0.1196
männlich,0.0967,0.0325,0.1139,0.0005,0.0034,0.2126,0.2429,0.0204,0.05,0.0003,0.0,0.0674,0.0421,0.1174
weiblich,0.0971,0.0317,0.1069,0.0003,0.0026,0.2073,0.2439,0.0203,0.0523,0.0007,0.0,0.0628,0.0432,0.1308
hat das Abitur,0.0971,0.0306,0.1064,0.0005,0.003,0.2183,0.2464,0.0193,0.0504,0.0003,0.0,0.0605,0.0459,0.1214
hat einen Fachhochschulreife,0.1014,0.0292,0.1229,0.0,0.0043,0.195,0.2354,0.018,0.0455,0.0,0.0,0.0722,0.043,0.1332
hat einen Hauptschulabschluss,0.1047,0.0312,0.1157,0.0008,0.0021,0.1971,0.2516,0.0207,0.057,0.0004,0.0,0.0781,0.0215,0.119
hat einen Realschulabschluss,0.0914,0.0344,0.1073,0.0002,0.0032,0.2134,0.2388,0.022,0.0507,0.0009,0.0,0.0602,0.0505,0.127
hat keinen Schulabschluss,0.0862,0.0517,0.1379,0.0,0.0,0.2069,0.2414,0.0,0.0172,0.0,0.0,0.0862,0.069,0.1034
ist noch Schüler/in,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4
18-29 YEARS,0.0991,0.0263,0.1037,0.0,0.0015,0.226,0.2446,0.0248,0.048,0.0,0.0,0.0604,0.0402,0.1254
30-44 YEARS,0.09,0.0305,0.1166,0.0004,0.0032,0.2127,0.2286,0.0273,0.0507,0.0004,0.0,0.0727,0.0514,0.1156
45-59 YEARS,0.0969,0.0342,0.1114,0.0009,0.0032,0.2074,0.2486,0.0186,0.05,0.0007,0.0,0.0632,0.0369,0.1279
60 and more,0.1013,0.0318,0.1059,0.0,0.0029,0.2082,0.2478,0.0168,0.0532,0.0005,0.0,0.0627,0.0432,0.1258
