,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0924,0.0464,0.1501,0.0005,0.0023,0.2489,0.1729,0.0223,0.0532,0.0,0.0005,0.0983,0.0018,0.1106
Westdeutschland,0.0997,0.0363,0.1483,0.0009,0.0038,0.2428,0.1744,0.0262,0.0529,0.0011,0.0,0.0931,0.0018,0.1187
befindet sich noch in beruflicher Ausbildung.,0.0811,0.0378,0.1351,0.0,0.0,0.2649,0.1946,0.027,0.0432,0.0,0.0,0.0811,0.0,0.1351
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.25,0.0833,0.0833,0.0,0.0,0.125,0.1667,0.0,0.0417,0.0,0.0,0.0,0.0,0.25
hat eine Lehre abgeschlossen.,0.0915,0.0449,0.1606,0.0,0.0069,0.2263,0.1848,0.0242,0.0466,0.0017,0.0,0.0898,0.0,0.1226
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1077,0.0314,0.1408,0.0017,0.0051,0.2265,0.1747,0.0288,0.0577,0.0008,0.0,0.0899,0.0025,0.1323
hat eine kaufmännische Lehre abgeschlossen.,0.0955,0.0486,0.1396,0.0004,0.0033,0.268,0.1783,0.021,0.0498,0.0012,0.0,0.0897,0.0025,0.1021
hat einen Berufsfachschulabschluss.,0.1021,0.0394,0.1553,0.0021,0.0043,0.2404,0.1596,0.0255,0.0553,0.0,0.0,0.1032,0.0021,0.1106
hat einen Fachhochschulabschluss.,0.1186,0.038,0.1364,0.0,0.0024,0.2432,0.1815,0.0285,0.0534,0.0012,0.0,0.0819,0.0024,0.1127
hat einen Fachschulabschluss.,0.0774,0.0397,0.1905,0.002,0.004,0.244,0.1488,0.0278,0.0437,0.002,0.0,0.1052,0.002,0.1131
hat einen Meisterabschluss oder Technikerabschluss.,0.0917,0.0197,0.1354,0.0,0.0,0.2227,0.1747,0.024,0.0721,0.0022,0.0022,0.1026,0.0022,0.1507
hat einen Universitätsabschluss.,0.099,0.0328,0.1469,0.0007,0.0026,0.2367,0.1725,0.0262,0.0557,0.0,0.0,0.1036,0.0013,0.122
hat keine berufliche Ausbildung abgeschlossen.,0.0768,0.0341,0.1843,0.0,0.0034,0.2423,0.1758,0.029,0.0478,0.0,0.0,0.099,0.0,0.1075
Die Linke,0.0984,0.0419,0.1421,0.0,0.0036,0.2523,0.1849,0.0228,0.0574,0.0,0.0,0.0947,0.0027,0.0993
die AfD,0.0948,0.0348,0.1567,0.0,0.0029,0.2369,0.1857,0.0261,0.0455,0.001,0.0,0.089,0.0,0.1267
die CDU/CSU,0.1043,0.0314,0.1388,0.0019,0.0038,0.2519,0.1853,0.0245,0.0484,0.0,0.0006,0.0804,0.0031,0.1256
die FDP,0.08,0.0421,0.1453,0.0,0.0063,0.24,0.1726,0.0168,0.0568,0.0021,0.0,0.1116,0.0042,0.1221
die Grünen,0.105,0.0405,0.1433,0.0015,0.0,0.2348,0.1703,0.0278,0.063,0.003,0.0,0.0908,0.0015,0.1185
die SPD,0.0975,0.0355,0.1488,0.0008,0.0058,0.2413,0.1628,0.0298,0.057,0.0008,0.0,0.1099,0.0025,0.1074
eine Kleinpartei,0.0912,0.0414,0.1851,0.0028,0.0055,0.2127,0.163,0.0249,0.047,0.0,0.0,0.0912,0.0,0.1354
keine Partei,0.0954,0.0438,0.1536,0.0,0.0033,0.2519,0.1653,0.0247,0.0493,0.0005,0.0,0.0973,0.0009,0.1141
männlich,0.1222,0.0231,0.1309,0.0,0.0017,0.2002,0.2078,0.0205,0.068,0.0009,0.0,0.0832,0.0031,0.1383
weiblich,0.074,0.0541,0.1662,0.0015,0.0051,0.2876,0.1407,0.03,0.0382,0.0009,0.0002,0.1053,0.0006,0.0955
hat das Abitur,0.1023,0.0299,0.1513,0.0003,0.0033,0.2454,0.1806,0.023,0.048,0.0007,0.0,0.0957,0.0013,0.1181
hat einen Fachhochschulreife,0.0757,0.0406,0.1515,0.0,0.0022,0.2558,0.1592,0.0296,0.0714,0.0011,0.0,0.0922,0.0044,0.1164
hat einen Hauptschulabschluss,0.091,0.0414,0.1559,0.0005,0.0033,0.2387,0.1777,0.0289,0.0507,0.0011,0.0,0.0899,0.0011,0.1199
hat einen Realschulabschluss,0.1041,0.0447,0.1427,0.0015,0.0041,0.2436,0.1696,0.0237,0.0541,0.0009,0.0003,0.0953,0.0018,0.1137
hat keinen Schulabschluss,0.0465,0.0233,0.093,0.0,0.0,0.186,0.2326,0.0698,0.0233,0.0,0.0,0.1628,0.0233,0.1395
ist noch Schüler/in,0.3333,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0895,0.035,0.1381,0.0,0.0039,0.2685,0.1654,0.0214,0.0545,0.0,0.0,0.0992,0.0,0.1245
30-44 YEARS,0.1084,0.0331,0.1488,0.0,0.0018,0.237,0.1773,0.0266,0.0519,0.0005,0.0,0.0969,0.0018,0.1158
45-59 YEARS,0.0945,0.0412,0.1505,0.0012,0.0039,0.2459,0.1748,0.0252,0.0533,0.0006,0.0003,0.0989,0.0024,0.1075
60 and more,0.0958,0.0405,0.1485,0.0009,0.0041,0.2436,0.1724,0.0251,0.0531,0.0016,0.0,0.087,0.0016,0.1259
