,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0792,0.0442,0.1263,0.0007,0.0021,0.2151,0.2369,0.0232,0.0549,0.0,0.0004,0.081,0.0021,0.1338
Westdeutschland,0.0859,0.0371,0.1257,0.0008,0.0038,0.2102,0.2393,0.0283,0.0529,0.0009,0.0,0.0754,0.0027,0.1371
befindet sich noch in beruflicher Ausbildung.,0.0756,0.0444,0.12,0.0,0.0,0.2444,0.2444,0.0222,0.04,0.0,0.0,0.0711,0.0,0.1378
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.1765,0.0882,0.0588,0.0,0.0,0.0882,0.2353,0.0,0.0588,0.0,0.0,0.0588,0.0,0.2353
hat eine Lehre abgeschlossen.,0.0767,0.0431,0.1332,0.0013,0.0081,0.2073,0.245,0.0256,0.0458,0.0013,0.0,0.0727,0.0027,0.1373
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0947,0.0364,0.1185,0.0013,0.004,0.1954,0.2351,0.0325,0.057,0.0007,0.0,0.0715,0.0026,0.1503
hat eine kaufmännische Lehre abgeschlossen.,0.0816,0.0469,0.1195,0.0003,0.0032,0.2319,0.2437,0.0228,0.0507,0.001,0.0,0.0739,0.0022,0.1224
hat einen Berufsfachschulabschluss.,0.0876,0.0405,0.1306,0.0017,0.0041,0.2074,0.2322,0.0306,0.0545,0.0,0.0,0.0818,0.0033,0.1256
hat einen Fachhochschulabschluss.,0.0995,0.0338,0.1221,0.0009,0.0028,0.2066,0.2413,0.03,0.0535,0.0009,0.0,0.0676,0.0028,0.138
hat einen Fachschulabschluss.,0.0682,0.0388,0.1628,0.0016,0.0031,0.2047,0.2248,0.0279,0.0512,0.0016,0.0,0.0837,0.0031,0.1287
hat einen Meisterabschluss oder Technikerabschluss.,0.0828,0.0253,0.1149,0.0,0.0,0.1926,0.2432,0.0203,0.0726,0.0017,0.0017,0.0811,0.0051,0.1588
hat einen Universitätsabschluss.,0.0839,0.0322,0.1207,0.0005,0.0031,0.2056,0.2368,0.0281,0.0552,0.0,0.0,0.0844,0.0026,0.1468
hat keine berufliche Ausbildung abgeschlossen.,0.0698,0.0336,0.153,0.0,0.0027,0.2067,0.2376,0.0309,0.0483,0.0,0.0,0.0805,0.0,0.1369
Die Linke,0.084,0.0438,0.1179,0.0,0.0035,0.2167,0.2336,0.0254,0.0635,0.0,0.0,0.0769,0.0035,0.1313
die AfD,0.0828,0.0331,0.1333,0.0,0.0038,0.2078,0.2455,0.0286,0.0467,0.0008,0.0,0.0738,0.0015,0.1423
die CDU/CSU,0.0891,0.0346,0.1183,0.0015,0.0039,0.2137,0.2537,0.0292,0.0497,0.0,0.0005,0.0638,0.0034,0.1388
die FDP,0.0712,0.0397,0.1291,0.0,0.005,0.197,0.2599,0.0199,0.0513,0.0017,0.0,0.0877,0.005,0.1325
die Grünen,0.0903,0.0378,0.1198,0.0012,0.0006,0.2066,0.2391,0.0283,0.0608,0.0024,0.0,0.0756,0.0024,0.1352
die SPD,0.0814,0.0378,0.127,0.0007,0.0059,0.2059,0.228,0.0306,0.0573,0.0007,0.0,0.0906,0.0026,0.1316
eine Kleinpartei,0.0747,0.0396,0.1582,0.0022,0.0044,0.1978,0.211,0.0286,0.0527,0.0,0.0,0.0769,0.0022,0.1516
keine Partei,0.084,0.0429,0.129,0.0007,0.0025,0.2199,0.2326,0.0244,0.048,0.0004,0.0,0.0782,0.0015,0.136
männlich,0.107,0.0268,0.1128,0.0002,0.0021,0.1779,0.2565,0.022,0.0688,0.0007,0.0,0.0688,0.0041,0.1524
weiblich,0.0624,0.0504,0.1385,0.0013,0.0047,0.2438,0.2215,0.0321,0.0384,0.0007,0.0002,0.0843,0.001,0.1207
hat das Abitur,0.0862,0.0308,0.1279,0.0003,0.0036,0.2134,0.2424,0.0241,0.0502,0.0005,0.0,0.0782,0.0026,0.1398
hat einen Fachhochschulreife,0.068,0.0403,0.1284,0.0008,0.0025,0.2173,0.2282,0.0361,0.0654,0.0008,0.0,0.073,0.005,0.1342
hat einen Hauptschulabschluss,0.0748,0.041,0.1311,0.0009,0.003,0.2085,0.2469,0.029,0.0513,0.0009,0.0,0.0722,0.0017,0.1388
hat einen Realschulabschluss,0.0925,0.0443,0.1215,0.0011,0.0037,0.2098,0.234,0.026,0.0539,0.0007,0.0002,0.0781,0.0021,0.1322
hat keinen Schulabschluss,0.0517,0.0172,0.069,0.0,0.0,0.1724,0.2586,0.0517,0.069,0.0,0.0,0.1379,0.0172,0.1552
ist noch Schüler/in,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
18-29 YEARS,0.0824,0.0396,0.1189,0.0,0.0032,0.2361,0.2266,0.0254,0.0523,0.0,0.0,0.0856,0.0,0.13
30-44 YEARS,0.0915,0.0336,0.1255,0.0004,0.0021,0.2052,0.2374,0.029,0.0551,0.0004,0.0,0.0779,0.0032,0.1387
45-59 YEARS,0.0814,0.0392,0.1266,0.0012,0.0037,0.2138,0.2418,0.0274,0.0533,0.0005,0.0002,0.0812,0.0026,0.1273
60 and more,0.0827,0.0417,0.1264,0.0007,0.0039,0.2092,0.2382,0.0259,0.0525,0.0012,0.0,0.0698,0.0024,0.1452
