,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.1797,0.1174,0.0455,0.0,0.0014,0.1911,0.1551,0.0077,0.0482,0.0,0.0009,0.1083,0.0009,0.1438
Westdeutschland,0.2006,0.06,0.0427,0.0003,0.0021,0.2348,0.17,0.0074,0.0593,0.0003,0.0,0.0808,0.0001,0.1418
befindet sich noch in beruflicher Ausbildung.,0.2108,0.0703,0.0595,0.0,0.0,0.3081,0.1351,0.0162,0.027,0.0,0.0054,0.0865,0.0,0.0811
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.3333,0.0833,0.0,0.0,0.0,0.2083,0.0833,0.0,0.0417,0.0,0.0,0.0833,0.0,0.1667
hat eine Lehre abgeschlossen.,0.228,0.0535,0.0484,0.0,0.0017,0.2211,0.1416,0.0104,0.0604,0.0,0.0,0.095,0.0017,0.1382
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.2154,0.0645,0.0433,0.0,0.0025,0.1883,0.1527,0.011,0.0517,0.0,0.0,0.1154,0.0,0.1552
hat eine kaufmännische Lehre abgeschlossen.,0.2058,0.0618,0.0412,0.0004,0.0012,0.2219,0.1704,0.0107,0.065,0.0008,0.0,0.0819,0.0,0.1387
hat einen Berufsfachschulabschluss.,0.2096,0.0787,0.0394,0.0,0.0011,0.1819,0.1798,0.0064,0.0479,0.0,0.0,0.1064,0.0,0.1489
hat einen Fachhochschulabschluss.,0.1732,0.0961,0.0546,0.0,0.0036,0.2479,0.159,0.0047,0.0534,0.0,0.0,0.0712,0.0,0.1364
hat einen Fachschulabschluss.,0.1508,0.0853,0.0456,0.0,0.004,0.2381,0.1746,0.004,0.0496,0.0,0.0,0.1071,0.0,0.1409
hat einen Meisterabschluss oder Technikerabschluss.,0.1485,0.0808,0.0568,0.0,0.0,0.1834,0.2074,0.0066,0.0633,0.0,0.0,0.1048,0.0,0.1485
hat einen Universitätsabschluss.,0.1659,0.0879,0.038,0.0007,0.0033,0.2833,0.1679,0.0026,0.0557,0.0,0.0007,0.0511,0.0007,0.1423
hat keine berufliche Ausbildung abgeschlossen.,0.2338,0.0683,0.0358,0.0,0.0,0.186,0.1621,0.0034,0.0597,0.0,0.0,0.1024,0.0017,0.1468
Die Linke,0.0565,0.4781,0.01,0.0,0.0027,0.1585,0.1056,0.0018,0.0255,0.0,0.0,0.0446,0.0,0.1166
die AfD,0.0812,0.0116,0.0358,0.0,0.0029,0.0522,0.0832,0.03,0.0435,0.0,0.0019,0.4246,0.0,0.2331
die CDU/CSU,0.2148,0.0132,0.0697,0.0,0.0006,0.1401,0.2406,0.0069,0.0798,0.0006,0.0,0.0729,0.0,0.1608
die FDP,0.2547,0.0126,0.0274,0.0,0.0021,0.1137,0.3032,0.0063,0.0758,0.0,0.0,0.0147,0.0,0.1895
die Grünen,0.0458,0.0083,0.0263,0.0015,0.0023,0.7584,0.0893,0.0015,0.0218,0.0008,0.0,0.0165,0.0,0.0278
die SPD,0.2397,0.0455,0.0388,0.0,0.0008,0.1529,0.2512,0.0033,0.0471,0.0,0.0,0.038,0.0,0.1826
eine Kleinpartei,0.3315,0.0359,0.011,0.0,0.0028,0.1961,0.1519,0.0,0.0635,0.0,0.0,0.0331,0.0,0.174
keine Partei,0.3399,0.0177,0.0666,0.0,0.0023,0.1415,0.155,0.0074,0.0833,0.0,0.0,0.0545,0.0014,0.1304
männlich,0.1837,0.0776,0.0462,0.0002,0.0017,0.2157,0.1695,0.0057,0.0536,0.0002,0.0004,0.0965,0.0004,0.1486
weiblich,0.2074,0.0697,0.0405,0.0002,0.0021,0.2329,0.1634,0.0092,0.0596,0.0002,0.0,0.0783,0.0002,0.136
hat das Abitur,0.1734,0.0829,0.0434,0.0003,0.0026,0.274,0.1635,0.0043,0.052,0.0003,0.0003,0.0641,0.0007,0.1382
hat einen Fachhochschulreife,0.1811,0.0878,0.0439,0.0,0.0011,0.2305,0.1712,0.0055,0.0516,0.0,0.0,0.0812,0.0,0.146
hat einen Hauptschulabschluss,0.2153,0.0583,0.049,0.0005,0.0022,0.1766,0.1733,0.0087,0.0589,0.0005,0.0,0.1084,0.0,0.1482
hat einen Realschulabschluss,0.2088,0.0702,0.0404,0.0,0.0015,0.205,0.1643,0.0099,0.0614,0.0,0.0003,0.0971,0.0003,0.1409
hat keinen Schulabschluss,0.186,0.0465,0.0233,0.0,0.0,0.1628,0.1628,0.0233,0.0233,0.0,0.0,0.1628,0.0,0.2093
ist noch Schüler/in,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0
18-29 YEARS,0.2062,0.0759,0.0428,0.0,0.0,0.2685,0.1634,0.0117,0.0447,0.0,0.0019,0.0564,0.0,0.1284
30-44 YEARS,0.2127,0.0588,0.0436,0.0005,0.0028,0.2292,0.1589,0.0046,0.0616,0.0,0.0,0.0896,0.0009,0.1369
45-59 YEARS,0.1985,0.0655,0.0403,0.0,0.0021,0.2242,0.1656,0.0095,0.0604,0.0003,0.0,0.0933,0.0,0.1404
60 and more,0.1793,0.092,0.0465,0.0003,0.0016,0.2141,0.173,0.0066,0.0512,0.0003,0.0003,0.0845,0.0003,0.1501
