,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.1664,0.1102,0.043,0.0004,0.0019,0.1657,0.1751,0.0121,0.0509,0.0,0.0,0.0962,0.0015,0.1766
Westdeutschland,0.1828,0.0627,0.0429,0.0005,0.0021,0.2026,0.1942,0.0101,0.0616,0.0002,0.0,0.0721,0.0002,0.168
befindet sich noch in beruflicher Ausbildung.,0.1892,0.0676,0.0541,0.0,0.0,0.2613,0.1847,0.018,0.0405,0.0,0.0,0.0721,0.0,0.1126
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.3077,0.0769,0.0,0.0,0.0,0.1923,0.1154,0.0,0.0385,0.0,0.0,0.0769,0.0,0.1923
hat eine Lehre abgeschlossen.,0.2166,0.0538,0.0451,0.0,0.0015,0.1919,0.1686,0.0102,0.0567,0.0,0.0,0.0843,0.0015,0.1701
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1976,0.0635,0.0452,0.0,0.0028,0.163,0.175,0.0155,0.0529,0.0,0.0,0.1016,0.0007,0.1821
hat eine kaufmännische Lehre abgeschlossen.,0.1845,0.0623,0.0414,0.0003,0.0017,0.191,0.1964,0.014,0.0661,0.0007,0.0,0.0732,0.0,0.1684
hat einen Berufsfachschulabschluss.,0.192,0.0825,0.0374,0.0009,0.0009,0.1616,0.1937,0.0096,0.0539,0.0,0.0,0.0912,0.0,0.1764
hat einen Fachhochschulabschluss.,0.1494,0.1025,0.0537,0.0,0.0039,0.2168,0.1768,0.0088,0.0586,0.0,0.0,0.0645,0.0,0.165
hat einen Fachschulabschluss.,0.1472,0.0809,0.0421,0.0,0.0032,0.2055,0.1926,0.0081,0.0583,0.0,0.0,0.0987,0.0,0.1634
hat einen Meisterabschluss oder Technikerabschluss.,0.1501,0.0705,0.0524,0.0,0.0,0.1555,0.2224,0.009,0.0723,0.0,0.0,0.0922,0.0,0.1754
hat einen Universitätsabschluss.,0.1568,0.0875,0.0374,0.0017,0.0033,0.2437,0.1947,0.005,0.0556,0.0,0.0,0.0484,0.0011,0.165
hat keine berufliche Ausbildung abgeschlossen.,0.2022,0.0711,0.0418,0.0,0.0,0.159,0.1869,0.007,0.06,0.0,0.0,0.0879,0.0028,0.1813
Die Linke,0.0542,0.4094,0.0116,0.0,0.0036,0.1278,0.1105,0.0072,0.0245,0.0,0.0,0.044,0.0007,0.2065
die AfD,0.0834,0.0168,0.0371,0.0,0.0025,0.048,0.1045,0.043,0.048,0.0,0.0,0.3833,0.0,0.2334
die CDU/CSU,0.1919,0.0173,0.066,0.0,0.001,0.1203,0.2563,0.0081,0.0822,0.0005,0.0,0.0635,0.0005,0.1924
die FDP,0.2321,0.0209,0.0314,0.0,0.0017,0.0977,0.2932,0.0087,0.0908,0.0,0.0,0.014,0.0,0.2094
die Grünen,0.0431,0.0174,0.0257,0.0013,0.0026,0.662,0.1639,0.0026,0.0244,0.0006,0.0,0.018,0.0,0.0386
die SPD,0.2087,0.0543,0.0437,0.0013,0.0007,0.1299,0.2598,0.004,0.0484,0.0,0.0,0.0345,0.0,0.2147
eine Kleinpartei,0.3125,0.0556,0.0093,0.0,0.0023,0.1713,0.1667,0.0,0.0648,0.0,0.0,0.0324,0.0,0.1852
keine Partei,0.3121,0.0232,0.0633,0.0004,0.0024,0.1317,0.1757,0.0102,0.0845,0.0,0.0,0.0491,0.0016,0.1458
männlich,0.1702,0.0772,0.0457,0.0005,0.0022,0.185,0.1915,0.009,0.0576,0.0002,0.0,0.0857,0.0004,0.1749
weiblich,0.1875,0.0707,0.0402,0.0004,0.002,0.2025,0.1879,0.0121,0.0605,0.0002,0.0,0.07,0.0007,0.1652
hat das Abitur,0.1574,0.0833,0.0422,0.0008,0.0027,0.2358,0.1892,0.0074,0.055,0.0003,0.0,0.0596,0.0011,0.1653
hat einen Fachhochschulreife,0.1642,0.0871,0.0417,0.0,0.0009,0.196,0.196,0.0091,0.0599,0.0,0.0,0.0735,0.0,0.1715
hat einen Hauptschulabschluss,0.194,0.0629,0.047,0.0005,0.0023,0.1551,0.1995,0.0109,0.0583,0.0005,0.0,0.0932,0.0005,0.1755
hat einen Realschulabschluss,0.1936,0.0685,0.0418,0.0002,0.0017,0.1771,0.1837,0.0134,0.0632,0.0,0.0,0.086,0.0002,0.1706
hat keinen Schulabschluss,0.2041,0.0408,0.0408,0.0,0.0,0.1429,0.1429,0.0408,0.0408,0.0,0.0,0.1429,0.0,0.2041
ist noch Schüler/in,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2
18-29 YEARS,0.1833,0.0753,0.0393,0.0,0.0,0.234,0.1882,0.0147,0.0524,0.0,0.0,0.0556,0.0016,0.1555
30-44 YEARS,0.1935,0.0633,0.0422,0.0012,0.0027,0.1988,0.1812,0.0088,0.0637,0.0,0.0,0.0821,0.0008,0.1616
45-59 YEARS,0.1803,0.0662,0.0411,0.0,0.002,0.1931,0.1877,0.0111,0.063,0.0002,0.0,0.0827,0.0002,0.1724
60 and more,0.167,0.089,0.0459,0.0005,0.0021,0.1848,0.1977,0.0106,0.0529,0.0003,0.0,0.0733,0.0005,0.1755
