,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0687,0.0869,0.0742,0.0023,0.0055,0.2662,0.2712,0.0159,0.0382,0.0005,0,0.0655,0.0,0.1051
Westdeutschland,0.0666,0.0995,0.0734,0.0016,0.0084,0.2526,0.2857,0.0156,0.0306,0.0004,0,0.0632,0.0011,0.1012
befindet sich noch in beruflicher Ausbildung.,0.0865,0.0595,0.0811,0.0,0.0,0.2595,0.3189,0.0108,0.0432,0.0,0,0.0432,0.0,0.0973
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1667,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0,0.0,0.0,0.0833
hat eine Lehre abgeschlossen.,0.0587,0.1295,0.0725,0.0,0.0069,0.2263,0.2781,0.0225,0.0242,0.0,0,0.0881,0.0017,0.0915
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0526,0.134,0.0738,0.0,0.0042,0.2451,0.3053,0.0127,0.0229,0.0,0,0.0517,0.0008,0.0967
hat eine kaufmännische Lehre abgeschlossen.,0.0622,0.1087,0.0766,0.0025,0.0132,0.2487,0.2812,0.0165,0.028,0.0004,0,0.063,0.0004,0.0988
hat einen Berufsfachschulabschluss.,0.0521,0.1181,0.0809,0.0,0.0117,0.2436,0.283,0.0213,0.017,0.0,0,0.0606,0.0,0.1117
hat einen Fachhochschulabschluss.,0.0759,0.0569,0.0676,0.0024,0.0047,0.2871,0.2823,0.0166,0.0403,0.0024,0,0.0581,0.0012,0.1044
hat einen Fachschulabschluss.,0.0536,0.0813,0.0655,0.002,0.006,0.2897,0.2996,0.006,0.0456,0.002,0,0.0556,0.0,0.0933
hat einen Meisterabschluss oder Technikerabschluss.,0.048,0.0786,0.0808,0.0044,0.0087,0.2489,0.3079,0.0153,0.0328,0.0,0,0.0764,0.0,0.0983
hat einen Universitätsabschluss.,0.1003,0.0374,0.0649,0.0026,0.0033,0.28,0.2616,0.0151,0.0485,0.0,0,0.0754,0.002,0.1089
hat keine berufliche Ausbildung abgeschlossen.,0.0734,0.1502,0.0836,0.0017,0.0051,0.2184,0.2457,0.0137,0.0358,0.0,0,0.0563,0.0017,0.1143
Die Linke,0.071,0.082,0.0647,0.0027,0.0055,0.2723,0.2905,0.0237,0.0383,0.0,0,0.0674,0.0009,0.0811
die AfD,0.0571,0.117,0.0793,0.0019,0.0087,0.2437,0.2834,0.0077,0.028,0.001,0,0.058,0.001,0.1132
die CDU/CSU,0.0704,0.0905,0.0854,0.0025,0.0113,0.2381,0.2883,0.0182,0.0345,0.0,0,0.0653,0.0019,0.0936
die FDP,0.0926,0.0821,0.0611,0.0021,0.0063,0.2716,0.2884,0.0126,0.0232,0.0,0,0.0611,0.0,0.0989
die Grünen,0.0705,0.0683,0.0668,0.0023,0.0098,0.2731,0.2716,0.0135,0.0383,0.0023,0,0.0645,0.0015,0.1178
die SPD,0.0686,0.1,0.0736,0.0008,0.0058,0.2661,0.2669,0.0157,0.0289,0.0,0,0.0661,0.0,0.1074
eine Kleinpartei,0.0608,0.1105,0.0773,0.0028,0.0055,0.279,0.2569,0.011,0.0359,0.0,0,0.0635,0.0,0.0967
keine Partei,0.0601,0.115,0.0731,0.0005,0.0061,0.2426,0.291,0.0163,0.0298,0.0,0,0.0624,0.0005,0.1029
männlich,0.0708,0.0961,0.0728,0.002,0.0063,0.2532,0.2854,0.0159,0.0338,0.0004,0,0.0608,0.0004,0.1022
weiblich,0.0635,0.097,0.0744,0.0015,0.009,0.2585,0.2791,0.0154,0.0311,0.0004,0,0.0667,0.0013,0.1021
hat das Abitur,0.1016,0.0345,0.0727,0.0016,0.0033,0.2763,0.2628,0.0161,0.0447,0.001,0,0.0655,0.0013,0.1184
hat einen Fachhochschulreife,0.0516,0.0714,0.079,0.0011,0.0055,0.315,0.2887,0.011,0.0417,0.0,0,0.0615,0.0011,0.0724
hat einen Hauptschulabschluss,0.0496,0.1717,0.0736,0.0,0.0065,0.2082,0.2997,0.0142,0.0229,0.0,0,0.055,0.0005,0.0981
hat einen Realschulabschluss,0.0509,0.112,0.074,0.0026,0.0129,0.25,0.2895,0.0175,0.0246,0.0003,0,0.0673,0.0006,0.098
hat keinen Schulabschluss,0.0,0.5581,0.0,0.0,0.0,0.0465,0.2093,0.0,0.0,0.0,0,0.093,0.0,0.093
ist noch Schüler/in,0.0,0.3333,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
18-29 YEARS,0.0778,0.0642,0.0759,0.0039,0.0097,0.2626,0.2879,0.0117,0.035,0.0,0,0.0603,0.0019,0.1089
30-44 YEARS,0.0785,0.0951,0.0726,0.0028,0.0037,0.2499,0.2853,0.0161,0.0303,0.0009,0,0.0588,0.0014,0.1047
45-59 YEARS,0.0601,0.1063,0.0717,0.0009,0.0095,0.2639,0.2746,0.0157,0.0323,0.0003,0,0.0649,0.0009,0.0989
60 and more,0.065,0.0923,0.076,0.0016,0.0082,0.2502,0.2873,0.016,0.0336,0.0003,0,0.0666,0.0003,0.1027
