,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0625,0.0818,0.0684,0.0019,0.0052,0.2405,0.3071,0.0164,0.042,0.0004,0.0,0.0558,0.0007,0.1175
Westdeutschland,0.0623,0.094,0.0683,0.0014,0.008,0.2271,0.3152,0.0164,0.036,0.0005,0.0003,0.054,0.0015,0.115
befindet sich noch in beruflicher Ausbildung.,0.0693,0.0606,0.0823,0.0,0.0043,0.2208,0.3247,0.0087,0.0606,0.0,0.0,0.0346,0.0043,0.1299
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1667,0.0,0.0,0.0333,0.3,0.3667,0.0,0.0333,0.0,0.0,0.0,0.0,0.1
hat eine Lehre abgeschlossen.,0.0504,0.1232,0.0644,0.0,0.007,0.2073,0.3053,0.0196,0.0308,0.0,0.0014,0.07,0.0014,0.119
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0498,0.1235,0.0689,0.0,0.0048,0.2266,0.3256,0.0123,0.03,0.0,0.0,0.043,0.0007,0.1147
hat eine kaufmännische Lehre abgeschlossen.,0.0574,0.0986,0.0716,0.0024,0.0105,0.2236,0.3149,0.0179,0.0324,0.0007,0.0003,0.0564,0.0014,0.1118
hat einen Berufsfachschulabschluss.,0.0491,0.1132,0.0789,0.0,0.0105,0.2254,0.307,0.0202,0.0211,0.0,0.0,0.0518,0.0,0.1228
hat einen Fachhochschulabschluss.,0.0663,0.0567,0.0644,0.001,0.0048,0.249,0.3288,0.0163,0.0442,0.0019,0.0,0.05,0.001,0.1154
hat einen Fachschulabschluss.,0.0553,0.078,0.0553,0.0016,0.0065,0.265,0.3236,0.0081,0.0488,0.0016,0.0016,0.0488,0.0,0.1057
hat einen Meisterabschluss oder Technikerabschluss.,0.0503,0.0745,0.0728,0.0035,0.0104,0.2253,0.3397,0.0191,0.0399,0.0,0.0,0.0624,0.0,0.1023
hat einen Universitätsabschluss.,0.0945,0.0411,0.0598,0.0027,0.0037,0.2472,0.2979,0.0166,0.0534,0.0,0.0,0.0625,0.0032,0.1175
hat keine berufliche Ausbildung abgeschlossen.,0.0679,0.1386,0.075,0.0014,0.0057,0.198,0.2801,0.017,0.0354,0.0,0.0,0.0509,0.0014,0.1287
Die Linke,0.0633,0.0827,0.0603,0.003,0.0045,0.242,0.3209,0.0231,0.041,0.0,0.0,0.0588,0.0007,0.0998
die AfD,0.0513,0.1091,0.0722,0.0024,0.0072,0.2294,0.3128,0.0096,0.0337,0.0008,0.0,0.0497,0.0016,0.1203
die CDU/CSU,0.0635,0.0888,0.077,0.0026,0.0098,0.2149,0.3161,0.017,0.0439,0.0,0.0005,0.0542,0.0026,0.109
die FDP,0.0785,0.0751,0.0584,0.0017,0.0083,0.2437,0.3239,0.015,0.0301,0.0,0.0,0.0501,0.0,0.1152
die Grünen,0.0717,0.0662,0.0601,0.0018,0.0092,0.2446,0.3041,0.0123,0.0448,0.0018,0.0006,0.0564,0.0012,0.1251
die SPD,0.0644,0.0919,0.0657,0.0007,0.0054,0.2374,0.3065,0.0174,0.0322,0.0007,0.0,0.0584,0.0007,0.1187
eine Kleinpartei,0.0594,0.1005,0.0799,0.0,0.0046,0.2443,0.2831,0.0114,0.032,0.0,0.0,0.0525,0.0,0.1324
keine Partei,0.0562,0.1054,0.0712,0.0,0.0071,0.2178,0.3195,0.0187,0.0337,0.0,0.0004,0.0525,0.0015,0.1159
männlich,0.0653,0.0905,0.0677,0.0018,0.0064,0.2292,0.3159,0.0166,0.0365,0.0005,0.0002,0.0525,0.0011,0.1159
weiblich,0.0594,0.0917,0.069,0.0012,0.0082,0.2313,0.3107,0.0162,0.0384,0.0003,0.0003,0.0563,0.0016,0.1152
hat das Abitur,0.0936,0.038,0.0663,0.0016,0.0032,0.2436,0.3027,0.0174,0.0505,0.0008,0.0003,0.0548,0.0021,0.1251
hat einen Fachhochschulreife,0.0509,0.067,0.0715,0.0009,0.0071,0.277,0.3271,0.0116,0.0429,0.0,0.0,0.0518,0.0009,0.0912
hat einen Hauptschulabschluss,0.0447,0.1594,0.0699,0.0009,0.0058,0.193,0.3183,0.0137,0.027,0.0,0.0,0.0474,0.0004,0.1195
hat einen Realschulabschluss,0.0478,0.1031,0.0693,0.0017,0.012,0.2281,0.3173,0.0184,0.0304,0.0005,0.0005,0.0583,0.0012,0.1114
hat keinen Schulabschluss,0.0,0.5208,0.0,0.0,0.0,0.0417,0.2292,0.0,0.0,0.0,0.0,0.0833,0.0,0.125
ist noch Schüler/in,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0694,0.0631,0.0726,0.0032,0.0095,0.235,0.3123,0.011,0.0521,0.0,0.0,0.0489,0.0032,0.1199
30-44 YEARS,0.0712,0.0889,0.067,0.0023,0.0045,0.2236,0.32,0.0162,0.0361,0.0008,0.0008,0.0505,0.0015,0.1167
45-59 YEARS,0.0563,0.0978,0.0678,0.001,0.0087,0.2356,0.3095,0.0169,0.035,0.0005,0.0002,0.0553,0.0014,0.114
60 and more,0.0617,0.0901,0.0691,0.0013,0.0074,0.2283,0.3128,0.0168,0.0385,0.0003,0.0,0.0571,0.0008,0.1158
