,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.1624,0.01,0.227,0,0.0009,0.1865,0.1724,0.0159,0.0819,0.0014,0.0005,0.0651,0.0023,0.0737
Westdeutschland,0.1531,0.0122,0.2314,0,0.0016,0.1919,0.1677,0.0169,0.078,0.0011,0.0,0.0716,0.002,0.0726
befindet sich noch in beruflicher Ausbildung.,0.1243,0.0108,0.227,0,0.0,0.2216,0.1514,0.027,0.0973,0.0,0.0,0.0649,0.0054,0.0703
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.1667,0.0,0.3333,0,0.0,0.1667,0.125,0.0,0.0417,0.0,0.0,0.0417,0.0,0.125
hat eine Lehre abgeschlossen.,0.1554,0.0121,0.2297,0,0.0017,0.1779,0.1917,0.0138,0.076,0.0,0.0,0.0691,0.0017,0.0708
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.151,0.0102,0.2451,0,0.0017,0.1951,0.1688,0.0136,0.0653,0.0008,0.0,0.0704,0.0025,0.0755
hat eine kaufmännische Lehre abgeschlossen.,0.1569,0.0099,0.2417,0,0.0004,0.1865,0.1581,0.0181,0.0782,0.0021,0.0,0.0712,0.0016,0.0753
hat einen Berufsfachschulabschluss.,0.117,0.0106,0.2468,0,0.0043,0.1777,0.2032,0.0128,0.083,0.0,0.0,0.0713,0.0021,0.0713
hat einen Fachhochschulabschluss.,0.159,0.0142,0.1957,0,0.0036,0.2076,0.1649,0.0166,0.0878,0.0024,0.0,0.0676,0.0024,0.0783
hat einen Fachschulabschluss.,0.1766,0.004,0.2202,0,0.0,0.1885,0.1905,0.0139,0.0853,0.0,0.002,0.0694,0.002,0.0476
hat einen Meisterabschluss oder Technikerabschluss.,0.1485,0.0131,0.2314,0,0.0022,0.1856,0.1659,0.0262,0.0721,0.0022,0.0,0.0677,0.0022,0.083
hat einen Universitätsabschluss.,0.179,0.0157,0.2125,0,0.0,0.1908,0.1633,0.0157,0.082,0.0,0.0,0.0669,0.002,0.0721
hat keine berufliche Ausbildung abgeschlossen.,0.1485,0.0154,0.2287,0,0.0017,0.2048,0.1468,0.0205,0.0802,0.0034,0.0,0.0802,0.0017,0.0683
Die Linke,0.163,0.0128,0.2158,0,0.0,0.1985,0.1566,0.0191,0.0847,0.0009,0.0,0.0719,0.0,0.0765
die AfD,0.1509,0.0106,0.2418,0,0.0019,0.2012,0.1673,0.0126,0.0667,0.0,0.0,0.0629,0.0029,0.0812
die CDU/CSU,0.1426,0.0113,0.2293,0,0.0013,0.1872,0.1866,0.017,0.0766,0.0019,0.0,0.0704,0.0031,0.0729
die FDP,0.1916,0.0084,0.2274,0,0.0021,0.16,0.16,0.0232,0.08,0.0,0.0,0.0737,0.0042,0.0695
die Grünen,0.144,0.018,0.2326,0,0.0008,0.1988,0.156,0.015,0.081,0.0,0.0,0.0773,0.0038,0.0728
die SPD,0.1645,0.0091,0.2587,0,0.0017,0.1818,0.1603,0.019,0.0744,0.0008,0.0,0.0579,0.0008,0.0711
eine Kleinpartei,0.1768,0.0138,0.1796,0,0.0028,0.1906,0.1823,0.0138,0.0884,0.0,0.0,0.0773,0.0028,0.0718
keine Partei,0.1532,0.0098,0.2249,0,0.0019,0.1909,0.175,0.0158,0.0829,0.0028,0.0005,0.0726,0.0009,0.0689
männlich,0.1588,0.0118,0.2292,0,0.0015,0.188,0.1702,0.0159,0.0793,0.0011,0.0002,0.0662,0.0028,0.0749
weiblich,0.1519,0.0116,0.2314,0,0.0013,0.1933,0.1675,0.0174,0.0785,0.0013,0.0,0.0738,0.0013,0.0708
hat das Abitur,0.1711,0.0132,0.2191,0,0.0007,0.1839,0.1641,0.0188,0.0836,0.0007,0.0,0.0674,0.0026,0.075
hat einen Fachhochschulreife,0.1295,0.0132,0.2206,0,0.0022,0.2283,0.1767,0.0143,0.0681,0.0,0.0,0.0768,0.0,0.0703
hat einen Hauptschulabschluss,0.1531,0.0093,0.2425,0,0.0022,0.1896,0.1624,0.0185,0.079,0.0011,0.0,0.0649,0.0027,0.0747
hat einen Realschulabschluss,0.1506,0.0114,0.2345,0,0.0015,0.1877,0.1728,0.0146,0.0781,0.0018,0.0003,0.0743,0.0018,0.0708
hat keinen Schulabschluss,0.0698,0.0,0.3953,0,0.0,0.1395,0.2558,0.0,0.0465,0.0233,0.0,0.0,0.0,0.0698
ist noch Schüler/in,0.0,0.0,0.0,0,0.0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.1615,0.0058,0.2218,0,0.0019,0.2043,0.1576,0.0136,0.0856,0.0,0.0,0.07,0.0019,0.0759
30-44 YEARS,0.1429,0.0133,0.2214,0,0.0014,0.1961,0.1723,0.0147,0.0896,0.0014,0.0,0.0758,0.0009,0.0703
45-59 YEARS,0.1537,0.011,0.2373,0,0.0006,0.1881,0.1745,0.016,0.077,0.0006,0.0,0.0684,0.0015,0.0714
60 and more,0.1645,0.0122,0.2305,0,0.0022,0.1874,0.1623,0.0192,0.0725,0.0019,0.0003,0.0678,0.0035,0.0757
