,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.1368,0.0106,0.1901,0.0,0.0014,0.1682,0.2595,0.0152,0.0804,0.0011,0.0004,0.0529,0.0053,0.0783
Westdeutschland,0.1286,0.0129,0.1942,0.0,0.002,0.1661,0.2597,0.0169,0.0821,0.001,0.0,0.0588,0.0047,0.0731
befindet sich noch in beruflicher Ausbildung.,0.1111,0.0214,0.1923,0.0,0.0,0.2094,0.2179,0.0214,0.1068,0.0,0.0,0.0513,0.0043,0.0641
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.1515,0.0,0.303,0.0,0.0,0.1515,0.1818,0.0,0.0303,0.0,0.0,0.0303,0.0,0.1515
hat eine Lehre abgeschlossen.,0.1277,0.0082,0.1943,0.0,0.0027,0.1603,0.2704,0.0136,0.0897,0.0,0.0,0.0584,0.0054,0.0693
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1275,0.0105,0.2008,0.0,0.002,0.1707,0.2655,0.0131,0.0687,0.0007,0.0,0.0576,0.0059,0.0772
hat eine kaufmännische Lehre abgeschlossen.,0.1324,0.0103,0.2003,0.0,0.001,0.1614,0.2572,0.018,0.0807,0.0019,0.0,0.0588,0.0042,0.0739
hat einen Berufsfachschulabschluss.,0.1013,0.012,0.2049,0.0,0.004,0.1579,0.2879,0.0144,0.0869,0.0,0.0,0.0566,0.0048,0.0694
hat einen Fachhochschulabschluss.,0.1314,0.0167,0.1702,0.0,0.0028,0.1795,0.2507,0.0167,0.0934,0.0019,0.0,0.0555,0.0046,0.0768
hat einen Fachschulabschluss.,0.1442,0.0046,0.1791,0.0,0.003,0.1654,0.2792,0.0152,0.088,0.0,0.0015,0.0531,0.0106,0.0561
hat einen Meisterabschluss oder Technikerabschluss.,0.1293,0.0121,0.1948,0.0,0.0034,0.1603,0.2517,0.019,0.0845,0.0017,0.0,0.0534,0.0052,0.0845
hat einen Universitätsabschluss.,0.1481,0.0177,0.1845,0.0,0.0005,0.1658,0.2453,0.0166,0.078,0.0,0.0,0.0572,0.0042,0.0821
hat keine berufliche Ausbildung abgeschlossen.,0.1281,0.0145,0.1902,0.0,0.0013,0.177,0.255,0.0211,0.0753,0.0026,0.0,0.0647,0.0026,0.0674
Die Linke,0.1306,0.0119,0.1819,0.0,0.0007,0.1728,0.2535,0.0169,0.0843,0.0007,0.0,0.0583,0.0042,0.0843
die AfD,0.1277,0.0105,0.1946,0.0,0.0023,0.1773,0.266,0.0135,0.0699,0.0,0.0,0.0496,0.0075,0.0811
die CDU/CSU,0.1205,0.0127,0.1923,0.0,0.0029,0.1659,0.2655,0.0151,0.0864,0.0015,0.0,0.0571,0.0063,0.0737
die FDP,0.1611,0.0117,0.198,0.0,0.0017,0.1393,0.2399,0.0218,0.0805,0.0,0.0,0.0688,0.0034,0.0738
die Grünen,0.1235,0.0139,0.1942,0.0,0.0006,0.1664,0.2632,0.0168,0.0794,0.0,0.0,0.0632,0.0052,0.0736
die SPD,0.1371,0.0103,0.2162,0.0,0.0026,0.1596,0.2619,0.018,0.0772,0.0013,0.0,0.0483,0.0026,0.065
eine Kleinpartei,0.1507,0.0109,0.1572,0.0,0.0022,0.1725,0.2424,0.0175,0.0983,0.0,0.0,0.0633,0.0066,0.0786
keine Partei,0.13,0.0138,0.1905,0.0,0.0018,0.1677,0.259,0.0163,0.084,0.0022,0.0004,0.059,0.004,0.0714
männlich,0.133,0.0126,0.191,0.0,0.0019,0.1652,0.2629,0.0154,0.0831,0.0008,0.0002,0.0539,0.0049,0.0751
weiblich,0.1281,0.0122,0.1954,0.0,0.0018,0.1679,0.2564,0.0175,0.0803,0.0012,0.0,0.0608,0.0048,0.0735
hat das Abitur,0.143,0.0138,0.1876,0.0,0.001,0.1612,0.2505,0.0182,0.0854,0.0005,0.0,0.0568,0.0052,0.0768
hat einen Fachhochschulreife,0.1086,0.0124,0.1774,0.0,0.0033,0.1907,0.2761,0.0141,0.0779,0.0,0.0,0.0605,0.0058,0.073
hat einen Hauptschulabschluss,0.1262,0.0101,0.2014,0.0,0.0025,0.1653,0.2574,0.0189,0.0833,0.0013,0.0,0.0526,0.0038,0.0774
hat einen Realschulabschluss,0.1286,0.0125,0.1965,0.0,0.0018,0.1661,0.2624,0.0145,0.0795,0.0014,0.0002,0.0604,0.005,0.0709
hat keinen Schulabschluss,0.0877,0.0,0.3158,0.0,0.0,0.1053,0.386,0.0,0.0175,0.0175,0.0,0.0,0.0,0.0702
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.1433,0.0092,0.1895,0.0,0.0015,0.1834,0.2419,0.0139,0.0847,0.0,0.0,0.0586,0.0031,0.0709
30-44 YEARS,0.1196,0.0142,0.1857,0.0,0.0014,0.1693,0.2652,0.016,0.087,0.0011,0.0,0.0639,0.0053,0.0714
45-59 YEARS,0.1293,0.0106,0.1986,0.0,0.0021,0.1669,0.262,0.0163,0.084,0.0007,0.0,0.0551,0.0044,0.07
60 and more,0.1374,0.0135,0.1933,0.0,0.002,0.1616,0.2561,0.0174,0.0751,0.0015,0.0002,0.0552,0.0054,0.0814
