,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0732,0.2056,0.0291,0.0036,0.0091,0.1192,0.2207,0.0127,0.0187,0.0,0.0,0.0801,0.0218,0.2061
Westdeutschland,0.0953,0.1523,0.0454,0.0017,0.0078,0.1568,0.2603,0.0146,0.0322,0.0007,0.0003,0.0746,0.0007,0.1575
befindet sich noch in beruflicher Ausbildung.,0.1027,0.1838,0.027,0.0054,0.0162,0.2,0.2324,0.0054,0.0216,0.0,0.0,0.0378,0.0054,0.1622
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.2917,0.0,0.0,0.0,0.0417,0.2917,0.0,0.0417,0.0,0.0,0.0833,0.0,0.25
hat eine Lehre abgeschlossen.,0.076,0.2107,0.038,0.0035,0.0052,0.1434,0.2193,0.0225,0.0173,0.0,0.0,0.0898,0.0017,0.1727
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0577,0.1917,0.0212,0.0008,0.0059,0.1052,0.3164,0.0178,0.0237,0.0,0.0,0.0814,0.0085,0.1696
hat eine kaufmännische Lehre abgeschlossen.,0.0885,0.1618,0.0502,0.0016,0.0086,0.119,0.3117,0.0132,0.0255,0.0004,0.0004,0.0729,0.0041,0.142
hat einen Berufsfachschulabschluss.,0.1053,0.1617,0.0351,0.0032,0.0128,0.1404,0.2149,0.0117,0.0266,0.0011,0.0,0.0883,0.0117,0.1872
hat einen Fachhochschulabschluss.,0.1127,0.121,0.0439,0.0012,0.0047,0.1874,0.2064,0.0166,0.0403,0.0,0.0,0.0783,0.0047,0.1827
hat einen Fachschulabschluss.,0.1012,0.1429,0.0476,0.004,0.0099,0.2163,0.2004,0.0099,0.0198,0.0,0.0,0.0615,0.006,0.1806
hat einen Meisterabschluss oder Technikerabschluss.,0.0764,0.1266,0.0524,0.0,0.0044,0.1245,0.2838,0.0066,0.0415,0.0,0.0,0.083,0.0087,0.1921
hat einen Universitätsabschluss.,0.1115,0.1134,0.0485,0.0013,0.0085,0.2013,0.1921,0.0144,0.0485,0.0013,0.0007,0.0715,0.0026,0.1843
hat keine berufliche Ausbildung abgeschlossen.,0.0631,0.3191,0.0307,0.0068,0.0085,0.1212,0.1945,0.0154,0.0017,0.0017,0.0,0.07,0.0085,0.1587
Die Linke,0.0501,0.5082,0.0118,0.0009,0.01,0.0483,0.1648,0.0155,0.0164,0.0,0.0,0.0237,0.0118,0.1384
die AfD,0.0416,0.0803,0.0242,0.0,0.0019,0.0619,0.1683,0.0232,0.0193,0.0,0.001,0.3607,0.0116,0.206
die CDU/CSU,0.0936,0.0697,0.0653,0.0013,0.0063,0.1162,0.3254,0.0119,0.0521,0.0006,0.0,0.0553,0.0025,0.1997
die FDP,0.1726,0.0674,0.0253,0.0,0.0063,0.0821,0.3116,0.0063,0.0568,0.0,0.0,0.0253,0.0084,0.2379
die Grünen,0.063,0.1365,0.0315,0.0045,0.0098,0.4299,0.1425,0.0113,0.0218,0.0008,0.0,0.042,0.0015,0.105
die SPD,0.0983,0.186,0.0471,0.0008,0.0099,0.1231,0.2992,0.0058,0.0182,0.0,0.0008,0.0281,0.0008,0.1818
eine Kleinpartei,0.1188,0.1713,0.0276,0.0055,0.0083,0.1077,0.2569,0.0138,0.0359,0.0028,0.0,0.0414,0.011,0.1989
keine Partei,0.1201,0.1271,0.0563,0.0037,0.0098,0.1238,0.3049,0.0191,0.0261,0.0009,0.0,0.0456,0.0061,0.1564
männlich,0.0974,0.1272,0.0283,0.0007,0.0044,0.1251,0.2786,0.0135,0.0327,0.0002,0.0002,0.0669,0.0057,0.2192
weiblich,0.0828,0.2021,0.0545,0.0036,0.0118,0.1703,0.2235,0.0148,0.0253,0.0009,0.0002,0.0847,0.0058,0.1197
hat das Abitur,0.1049,0.1263,0.0477,0.0023,0.0079,0.1938,0.2056,0.0135,0.0438,0.001,0.0003,0.0737,0.0043,0.175
hat einen Fachhochschulreife,0.0922,0.1493,0.0439,0.0011,0.0055,0.1701,0.2623,0.011,0.0285,0.0,0.0,0.056,0.0011,0.1789
hat einen Hauptschulabschluss,0.0796,0.1891,0.0365,0.0027,0.0071,0.1101,0.2856,0.0196,0.0191,0.0011,0.0,0.0834,0.0033,0.1629
hat einen Realschulabschluss,0.083,0.1854,0.0386,0.002,0.0096,0.1231,0.2696,0.0129,0.0216,0.0,0.0003,0.0795,0.0094,0.1649
hat keinen Schulabschluss,0.0,0.5581,0.0,0.0,0.0,0.0,0.2326,0.0,0.0,0.0,0.0,0.0465,0.0233,0.1395
ist noch Schüler/in,0.0,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0875,0.1848,0.0447,0.0019,0.0117,0.1829,0.2121,0.0097,0.0214,0.0,0.0,0.07,0.0039,0.1693
30-44 YEARS,0.0955,0.147,0.0386,0.0041,0.0078,0.1497,0.2637,0.0165,0.0308,0.0005,0.0005,0.0767,0.0041,0.1644
45-59 YEARS,0.0886,0.1703,0.0424,0.0018,0.0083,0.141,0.2435,0.013,0.0287,0.0006,0.0,0.0823,0.0068,0.1727
60 and more,0.0882,0.1683,0.0421,0.0013,0.0075,0.1482,0.2562,0.0144,0.0292,0.0006,0.0003,0.0694,0.006,0.1683
