,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0675,0.1826,0.0301,0.0051,0.0087,0.1031,0.2197,0.0142,0.0218,0.0004,0.0,0.0704,0.0476,0.2288
Westdeutschland,0.0885,0.1432,0.0433,0.003,0.0075,0.1381,0.2719,0.018,0.0347,0.0006,0.0001,0.0651,0.0018,0.1841
befindet sich noch in beruflicher Ausbildung.,0.1033,0.169,0.0282,0.0047,0.0188,0.1878,0.2535,0.0047,0.0188,0.0,0.0,0.0376,0.0047,0.169
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.037,0.2593,0.0,0.0,0.0,0.0741,0.2593,0.0,0.0741,0.0,0.0,0.0741,0.0,0.2222
hat eine Lehre abgeschlossen.,0.0742,0.1936,0.0349,0.0058,0.0015,0.1252,0.2285,0.0262,0.0189,0.0015,0.0,0.0801,0.0087,0.2009
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0575,0.1792,0.026,0.0014,0.0062,0.0951,0.3105,0.0198,0.028,0.0,0.0,0.0705,0.0205,0.1854
hat eine kaufmännische Lehre abgeschlossen.,0.0788,0.1489,0.049,0.0023,0.0094,0.105,0.3119,0.0141,0.0305,0.0003,0.0,0.062,0.008,0.1797
hat einen Berufsfachschulabschluss.,0.0953,0.1525,0.0338,0.0069,0.0121,0.1231,0.2296,0.0165,0.0277,0.0009,0.0,0.0754,0.0243,0.2019
hat einen Fachhochschulabschluss.,0.1058,0.1136,0.046,0.001,0.0049,0.1626,0.2194,0.0196,0.0441,0.0,0.0,0.0686,0.0098,0.2047
hat einen Fachschulabschluss.,0.0949,0.1342,0.0393,0.0065,0.0082,0.1899,0.216,0.0164,0.018,0.0,0.0,0.054,0.0245,0.198
hat einen Meisterabschluss oder Technikerabschluss.,0.0728,0.1317,0.0485,0.0,0.0035,0.1109,0.279,0.0069,0.0416,0.0,0.0,0.0711,0.0173,0.2166
hat einen Universitätsabschluss.,0.1029,0.1051,0.0428,0.0027,0.0081,0.1744,0.2107,0.0211,0.0488,0.0011,0.0005,0.0661,0.0087,0.2069
hat keine berufliche Ausbildung abgeschlossen.,0.0575,0.2805,0.0309,0.0112,0.007,0.1024,0.216,0.0154,0.0042,0.0014,0.0,0.0617,0.0084,0.2034
Die Linke,0.0463,0.4331,0.0174,0.0022,0.0101,0.0412,0.1576,0.0174,0.0188,0.0,0.0,0.0231,0.0268,0.2061
die AfD,0.0415,0.0806,0.0255,0.0,0.0016,0.0559,0.1812,0.0295,0.0271,0.0,0.0,0.3089,0.0247,0.2235
die CDU/CSU,0.0858,0.0677,0.062,0.001,0.0062,0.1039,0.3323,0.0134,0.0579,0.0005,0.0,0.0481,0.0078,0.2134
die FDP,0.1678,0.0654,0.0283,0.0,0.0088,0.076,0.3074,0.0053,0.0512,0.0,0.0,0.023,0.0124,0.2544
die Grünen,0.0604,0.127,0.0286,0.0056,0.0093,0.3711,0.1893,0.0181,0.0205,0.0006,0.0,0.0374,0.0062,0.1258
die SPD,0.0883,0.1806,0.0422,0.0033,0.0099,0.1068,0.2999,0.0079,0.0211,0.0,0.0007,0.027,0.0053,0.207
eine Kleinpartei,0.1121,0.1592,0.0247,0.0112,0.0067,0.0942,0.2668,0.0157,0.0381,0.0022,0.0,0.0448,0.0157,0.2085
keine Partei,0.1098,0.1194,0.0541,0.0062,0.0085,0.1129,0.3042,0.0213,0.0282,0.0012,0.0,0.0402,0.012,0.1821
männlich,0.0905,0.1234,0.0301,0.0007,0.0041,0.108,0.2773,0.0157,0.0368,0.0002,0.0002,0.0594,0.0138,0.2398
weiblich,0.0763,0.1823,0.0502,0.0064,0.0115,0.1511,0.241,0.0184,0.0263,0.0009,0.0,0.0734,0.0121,0.1501
hat das Abitur,0.0962,0.1167,0.0437,0.0022,0.0081,0.1673,0.2255,0.0175,0.045,0.0008,0.0003,0.0658,0.0097,0.2013
hat einen Fachhochschulreife,0.0872,0.1426,0.0427,0.0082,0.0064,0.1508,0.2625,0.0127,0.0318,0.0,0.0,0.0463,0.0136,0.1953
hat einen Hauptschulabschluss,0.0743,0.1743,0.0369,0.0036,0.0072,0.0986,0.2896,0.0248,0.0212,0.0014,0.0,0.0739,0.0072,0.1869
hat einen Realschulabschluss,0.0771,0.1721,0.0386,0.0036,0.0083,0.1083,0.2721,0.014,0.0255,0.0,0.0,0.0686,0.0183,0.1935
hat keinen Schulabschluss,0.0,0.4464,0.0,0.0,0.0,0.0179,0.2321,0.0,0.0,0.0,0.0,0.0536,0.0357,0.2143
ist noch Schüler/in,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0824,0.1648,0.042,0.0016,0.0129,0.1599,0.2359,0.0097,0.0258,0.0,0.0,0.0582,0.0097,0.1971
30-44 YEARS,0.0875,0.14,0.0369,0.0061,0.0084,0.1308,0.2689,0.0202,0.0327,0.0008,0.0004,0.0685,0.0107,0.1883
45-59 YEARS,0.0826,0.1573,0.0397,0.0034,0.0071,0.124,0.2572,0.0163,0.0321,0.0005,0.0,0.0716,0.0127,0.1956
60 and more,0.0817,0.1549,0.0424,0.0023,0.0074,0.1297,0.2584,0.017,0.031,0.0005,0.0,0.0609,0.0152,0.1985
