,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0914,0.1447,0.0419,0.0018,0.0032,0.1547,0.2038,0.0109,0.0318,0.0,0.0,0.0996,0.0209,0.1952
Westdeutschland,0.1352,0.0831,0.0479,0.0014,0.0051,0.1992,0.2017,0.015,0.0651,0.001,0.0003,0.0947,0.001,0.1493
befindet sich noch in beruflicher Ausbildung.,0.1189,0.173,0.0108,0.0054,0.0108,0.2811,0.1189,0.0054,0.0486,0.0,0.0,0.0973,0.0108,0.1189
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.125,0.2083,0.0,0.0,0.0,0.0833,0.125,0.0417,0.0417,0.0,0.0,0.1667,0.0,0.2083
hat eine Lehre abgeschlossen.,0.1278,0.1036,0.0501,0.0,0.0035,0.1727,0.1952,0.0086,0.0484,0.0,0.0,0.1123,0.0069,0.171
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1204,0.0755,0.0517,0.0025,0.0034,0.1433,0.2383,0.0136,0.0526,0.0,0.0,0.1137,0.0076,0.1773
hat eine kaufmännische Lehre abgeschlossen.,0.1202,0.1042,0.0556,0.0016,0.0058,0.1898,0.203,0.0161,0.058,0.0008,0.0004,0.0914,0.0033,0.1499
hat einen Berufsfachschulabschluss.,0.0968,0.0904,0.0436,0.0021,0.0011,0.184,0.2117,0.0181,0.0436,0.0011,0.0,0.1223,0.0096,0.1755
hat einen Fachhochschulabschluss.,0.1317,0.0973,0.0427,0.0,0.0024,0.2147,0.1839,0.013,0.0712,0.0012,0.0,0.0783,0.0047,0.159
hat einen Fachschulabschluss.,0.1131,0.1508,0.0496,0.0,0.0079,0.1687,0.2004,0.0119,0.0397,0.0,0.002,0.1111,0.004,0.1409
hat einen Meisterabschluss oder Technikerabschluss.,0.1507,0.0546,0.0371,0.0,0.0,0.1419,0.2489,0.0153,0.059,0.0022,0.0,0.1004,0.0087,0.1812
hat einen Universitätsabschluss.,0.1357,0.0859,0.0374,0.002,0.0072,0.2262,0.1869,0.0111,0.0675,0.0013,0.0,0.0761,0.0059,0.1567
hat keine berufliche Ausbildung abgeschlossen.,0.1485,0.1126,0.0461,0.0017,0.0051,0.1911,0.1792,0.0171,0.0631,0.0,0.0,0.0768,0.0034,0.1553
Die Linke,0.0856,0.3342,0.0246,0.0,0.0064,0.0965,0.1566,0.01,0.0373,0.0,0.0,0.0546,0.0109,0.1831
die AfD,0.0638,0.0435,0.0406,0.001,0.001,0.0696,0.0996,0.0338,0.0242,0.0,0.0,0.4246,0.0087,0.1896
die CDU/CSU,0.1294,0.0383,0.0647,0.0013,0.0044,0.1564,0.2707,0.0132,0.0905,0.0019,0.0006,0.0785,0.0044,0.1457
die FDP,0.1874,0.0337,0.0358,0.0,0.0084,0.1389,0.3053,0.0042,0.0842,0.0,0.0,0.0316,0.0063,0.1642
die Grünen,0.0675,0.078,0.0315,0.0015,0.0075,0.4786,0.1298,0.0083,0.0443,0.0008,0.0,0.051,0.0038,0.0975
die SPD,0.1512,0.1074,0.0521,0.0017,0.0033,0.1736,0.257,0.0066,0.0645,0.0,0.0,0.0314,0.0017,0.1496
eine Kleinpartei,0.1851,0.0884,0.0276,0.0028,0.0028,0.1464,0.1878,0.0138,0.0718,0.0028,0.0,0.0442,0.0055,0.221
keine Partei,0.1676,0.0694,0.0587,0.0028,0.0042,0.1634,0.2179,0.0172,0.054,0.0009,0.0005,0.0587,0.0061,0.1788
männlich,0.1423,0.0669,0.042,0.0009,0.0028,0.1634,0.2248,0.0115,0.0702,0.0004,0.0002,0.0902,0.0061,0.1782
weiblich,0.1077,0.1281,0.0508,0.0021,0.0064,0.2134,0.18,0.0165,0.0444,0.0011,0.0002,0.1015,0.0054,0.1424
hat das Abitur,0.1296,0.0832,0.0408,0.002,0.0076,0.2329,0.1875,0.0118,0.0628,0.0013,0.0,0.0763,0.0046,0.1595
hat einen Fachhochschulreife,0.1504,0.1131,0.0417,0.0,0.0033,0.1789,0.191,0.011,0.067,0.0011,0.0011,0.0933,0.0077,0.1405
hat einen Hauptschulabschluss,0.1302,0.085,0.0594,0.0027,0.0044,0.1542,0.212,0.0153,0.0621,0.0005,0.0,0.1106,0.0038,0.1597
hat einen Realschulabschluss,0.1123,0.112,0.0453,0.0009,0.0026,0.1713,0.2126,0.0158,0.0471,0.0003,0.0003,0.1064,0.0064,0.1667
hat keinen Schulabschluss,0.0233,0.186,0.093,0.0,0.0,0.1163,0.2326,0.0465,0.0465,0.0,0.0,0.0698,0.0698,0.1163
ist noch Schüler/in,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
18-29 YEARS,0.1031,0.1595,0.035,0.0019,0.0097,0.2529,0.1654,0.0136,0.0331,0.0,0.0019,0.0914,0.0039,0.1284
30-44 YEARS,0.1392,0.0891,0.039,0.0005,0.0051,0.1842,0.1837,0.0138,0.0661,0.0014,0.0005,0.0955,0.0064,0.1755
45-59 YEARS,0.1318,0.088,0.0483,0.0015,0.0036,0.1822,0.2053,0.0118,0.0581,0.0006,0.0,0.1019,0.0047,0.1623
60 and more,0.1111,0.1039,0.0515,0.0022,0.0047,0.1881,0.2176,0.0166,0.054,0.0006,0.0,0.0904,0.0066,0.1526
