,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0836,0.1393,0.037,0.0015,0.004,0.136,0.212,0.0136,0.0348,0.0,0.0,0.0847,0.0378,0.2156
Westdeutschland,0.1246,0.0831,0.0449,0.0019,0.0052,0.1759,0.226,0.0174,0.0649,0.001,0.0005,0.0857,0.0024,0.1667
befindet sich noch in beruflicher Ausbildung.,0.1096,0.1507,0.0091,0.0046,0.0183,0.2511,0.1598,0.0091,0.0502,0.0,0.0,0.0868,0.0137,0.137
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.1111,0.1852,0.037,0.0,0.0,0.1111,0.1111,0.037,0.037,0.0,0.0,0.1481,0.0,0.2222
hat eine Lehre abgeschlossen.,0.1152,0.0996,0.0455,0.0,0.0043,0.1522,0.2248,0.0114,0.0541,0.0,0.0,0.0982,0.01,0.1849
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1085,0.076,0.0456,0.0028,0.0035,0.1265,0.2516,0.02,0.0546,0.0,0.0007,0.0974,0.0194,0.1935
hat eine kaufmännische Lehre abgeschlossen.,0.1095,0.1043,0.0506,0.0014,0.0062,0.1687,0.2224,0.0174,0.0575,0.001,0.0007,0.0831,0.0062,0.1711
hat einen Berufsfachschulabschluss.,0.091,0.0928,0.0384,0.0018,0.0018,0.1677,0.2337,0.0161,0.0446,0.0009,0.0,0.1062,0.0116,0.1936
hat einen Fachhochschulabschluss.,0.1262,0.0947,0.0434,0.0,0.002,0.1864,0.2071,0.0148,0.0651,0.001,0.0,0.072,0.0108,0.1765
hat einen Fachschulabschluss.,0.1002,0.1379,0.0443,0.0016,0.0066,0.1478,0.2282,0.0115,0.0443,0.0,0.0,0.0952,0.0131,0.1691
hat einen Meisterabschluss oder Technikerabschluss.,0.1519,0.063,0.0352,0.0019,0.0,0.1278,0.2444,0.0167,0.0593,0.0019,0.0,0.0963,0.0074,0.1944
hat einen Universitätsabschluss.,0.1227,0.0894,0.0349,0.0033,0.0071,0.1947,0.2045,0.0158,0.0687,0.0011,0.0005,0.0676,0.0142,0.1756
hat keine berufliche Ausbildung abgeschlossen.,0.1328,0.1053,0.0462,0.0014,0.0058,0.1659,0.215,0.0202,0.0606,0.0,0.0,0.0707,0.0072,0.1688
Die Linke,0.072,0.2959,0.0209,0.0,0.005,0.0821,0.1663,0.0122,0.0382,0.0,0.0,0.0475,0.0353,0.2246
die AfD,0.0679,0.0481,0.0365,0.0008,0.0008,0.063,0.1193,0.0406,0.0273,0.0,0.0,0.3819,0.0108,0.203
die CDU/CSU,0.1214,0.0405,0.0625,0.0016,0.0037,0.1414,0.289,0.0126,0.0904,0.0016,0.0,0.0709,0.0063,0.1582
die FDP,0.1724,0.0359,0.0323,0.0018,0.0072,0.1311,0.316,0.0036,0.0862,0.0,0.0,0.0287,0.0054,0.1795
die Grünen,0.0645,0.0802,0.0301,0.0025,0.0088,0.4123,0.1786,0.0113,0.0407,0.0013,0.0,0.0457,0.0069,0.1172
die SPD,0.1357,0.103,0.0477,0.0014,0.0048,0.1514,0.2804,0.0095,0.0689,0.0,0.0007,0.0307,0.0055,0.1603
eine Kleinpartei,0.1835,0.0894,0.0259,0.0024,0.0047,0.1318,0.1953,0.0165,0.0635,0.0024,0.0,0.0447,0.0141,0.2259
keine Partei,0.1492,0.0754,0.0537,0.0031,0.005,0.1473,0.2308,0.0201,0.0545,0.0008,0.0012,0.0526,0.0081,0.1983
männlich,0.1317,0.0708,0.0398,0.0013,0.0029,0.1437,0.2391,0.0148,0.0699,0.0005,0.0004,0.0809,0.0114,0.1929
weiblich,0.0976,0.1226,0.046,0.0023,0.007,0.1883,0.2063,0.018,0.0453,0.0009,0.0004,0.0899,0.0107,0.1647
hat das Abitur,0.1177,0.0837,0.0395,0.0025,0.0077,0.2019,0.2109,0.0143,0.0625,0.0011,0.0003,0.0694,0.0107,0.178
hat einen Fachhochschulreife,0.1398,0.1084,0.0367,0.0009,0.0027,0.1577,0.2079,0.0134,0.0654,0.0009,0.0,0.0806,0.0125,0.1729
hat einen Hauptschulabschluss,0.1182,0.0851,0.0539,0.0027,0.0045,0.1386,0.2323,0.0177,0.0625,0.0005,0.0,0.1001,0.0077,0.1762
hat einen Realschulabschluss,0.1038,0.1107,0.0412,0.001,0.0034,0.1526,0.2315,0.0183,0.0485,0.0005,0.0007,0.0936,0.0122,0.1821
hat keinen Schulabschluss,0.0566,0.1698,0.0755,0.0,0.0,0.0943,0.2264,0.0377,0.0377,0.0,0.0,0.0566,0.0566,0.1887
ist noch Schüler/in,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25
18-29 YEARS,0.0918,0.1452,0.0317,0.0017,0.0117,0.2237,0.1953,0.015,0.0384,0.0,0.0017,0.0835,0.01,0.1503
30-44 YEARS,0.1265,0.0888,0.0343,0.0019,0.0057,0.1635,0.2058,0.0156,0.0644,0.0011,0.0011,0.0865,0.0111,0.1936
45-59 YEARS,0.1206,0.087,0.0458,0.0015,0.0034,0.16,0.2279,0.0142,0.0571,0.0005,0.0,0.0916,0.0096,0.1808
60 and more,0.1035,0.1053,0.0476,0.0021,0.005,0.1654,0.2326,0.0196,0.0562,0.0008,0.0,0.0784,0.0128,0.1707
