,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0983,0.1747,0.0491,0.0009,0.0055,0.1488,0.2493,0.0077,0.0364,0.0,0,0.0905,0.0,0.1388
Westdeutschland,0.097,0.1446,0.0591,0.0016,0.0064,0.1824,0.2613,0.0106,0.0352,0.0006,0,0.0655,0.0004,0.1354
befindet sich noch in beruflicher Ausbildung.,0.0811,0.2162,0.0649,0.0054,0.027,0.173,0.2432,0.0108,0.027,0.0,0,0.0378,0.0,0.1135
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0833,0.1667,0.0,0.0,0.0,0.25,0.2917,0.0,0.0417,0.0,0,0.0833,0.0,0.0833
hat eine Lehre abgeschlossen.,0.0881,0.1658,0.0622,0.0,0.0069,0.1693,0.2349,0.0086,0.0242,0.0,0,0.0864,0.0,0.1537
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.078,0.1654,0.0509,0.0008,0.0051,0.1399,0.3121,0.0093,0.0237,0.0,0,0.0712,0.0,0.1433
hat eine kaufmännische Lehre abgeschlossen.,0.1128,0.1589,0.0597,0.0012,0.0058,0.1276,0.2977,0.0103,0.0284,0.0008,0,0.065,0.0004,0.1313
hat einen Berufsfachschulabschluss.,0.0872,0.1543,0.066,0.0043,0.0096,0.1745,0.2234,0.0096,0.0394,0.0,0,0.0894,0.0,0.1426
hat einen Fachhochschulabschluss.,0.1174,0.1008,0.0688,0.0012,0.0036,0.2278,0.2337,0.0107,0.0368,0.0,0,0.0664,0.0,0.1329
hat einen Fachschulabschluss.,0.0774,0.129,0.0694,0.002,0.006,0.2103,0.2163,0.0099,0.0456,0.0,0,0.0873,0.002,0.1448
hat einen Meisterabschluss oder Technikerabschluss.,0.0873,0.1157,0.0568,0.0,0.0044,0.1747,0.3166,0.0109,0.0459,0.0,0,0.0611,0.0,0.1266
hat einen Universitätsabschluss.,0.1069,0.0964,0.0485,0.0013,0.0046,0.2525,0.2184,0.0125,0.0551,0.0013,0,0.0702,0.0,0.1325
hat keine berufliche Ausbildung abgeschlossen.,0.0734,0.3208,0.029,0.0,0.0068,0.1297,0.2014,0.0034,0.0256,0.0,0,0.07,0.0017,0.1382
Die Linke,0.0765,0.4299,0.0264,0.0009,0.0073,0.0756,0.1812,0.0091,0.0228,0.0,0,0.0383,0.0009,0.1311
die AfD,0.0861,0.0735,0.0522,0.0,0.0019,0.0667,0.1654,0.0174,0.0338,0.0,0,0.3288,0.0,0.1741
die CDU/CSU,0.1074,0.0496,0.0917,0.0006,0.0025,0.1244,0.3587,0.0088,0.0559,0.0013,0,0.054,0.0006,0.1445
die FDP,0.1368,0.0842,0.0611,0.0021,0.0021,0.1074,0.3705,0.0042,0.0463,0.0021,0,0.0253,0.0,0.1579
die Grünen,0.0593,0.126,0.0278,0.0015,0.0075,0.4831,0.1485,0.0075,0.0218,0.0,0,0.027,0.0,0.09
die SPD,0.086,0.1802,0.0636,0.0033,0.0091,0.1694,0.3182,0.0074,0.014,0.0,0,0.0264,0.0,0.1223
eine Kleinpartei,0.1547,0.163,0.0442,0.0,0.011,0.1519,0.2348,0.0138,0.0359,0.0,0,0.0442,0.0028,0.1436
keine Partei,0.1173,0.1359,0.0638,0.0019,0.0079,0.1439,0.2821,0.0112,0.0456,0.0005,0,0.0452,0.0,0.1448
männlich,0.1063,0.1168,0.051,0.0011,0.0041,0.1538,0.2904,0.0089,0.0438,0.0004,0,0.0606,0.0,0.1627
weiblich,0.0884,0.1862,0.0624,0.0017,0.0082,0.1948,0.2269,0.0109,0.0272,0.0004,0,0.0822,0.0006,0.11
hat das Abitur,0.1003,0.1115,0.0523,0.001,0.0039,0.2332,0.2372,0.0109,0.0444,0.0007,0,0.0704,0.0,0.1342
hat einen Fachhochschulreife,0.1229,0.1175,0.0538,0.0033,0.0099,0.2097,0.2569,0.011,0.0406,0.0,0,0.0604,0.0,0.1142
hat einen Hauptschulabschluss,0.0905,0.1853,0.0567,0.0027,0.0049,0.1406,0.2643,0.0093,0.0327,0.0005,0,0.0741,0.0005,0.1379
hat einen Realschulabschluss,0.0912,0.1751,0.0617,0.0006,0.0076,0.133,0.2749,0.0094,0.0281,0.0003,0,0.074,0.0006,0.1436
hat keinen Schulabschluss,0.093,0.4186,0.0465,0.0,0.0233,0.0233,0.2326,0.0,0.0,0.0,0,0.0698,0.0,0.093
ist noch Schüler/in,0.3333,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0,0.0,0.0,0.0
18-29 YEARS,0.1012,0.2062,0.037,0.0058,0.0136,0.2198,0.2257,0.0039,0.037,0.0,0,0.0623,0.0,0.0875
30-44 YEARS,0.102,0.1433,0.0542,0.0005,0.0055,0.1649,0.26,0.0115,0.0349,0.0005,0,0.0744,0.0005,0.1479
45-59 YEARS,0.1025,0.1454,0.0524,0.0009,0.0047,0.1706,0.2595,0.0118,0.035,0.0003,0,0.0749,0.0,0.1419
60 and more,0.0879,0.1554,0.0662,0.0019,0.0069,0.1777,0.2615,0.0078,0.0361,0.0006,0,0.0672,0.0006,0.13
