,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0894,0.1615,0.0477,0.0015,0.0053,0.1315,0.2705,0.0128,0.0361,0.0,0.0,0.0774,0.0004,0.166
Westdeutschland,0.0886,0.1379,0.0543,0.0025,0.0062,0.1593,0.2823,0.0134,0.0366,0.0005,0.0,0.0581,0.0005,0.16
befindet sich noch in beruflicher Ausbildung.,0.0845,0.1972,0.0657,0.0094,0.0282,0.1549,0.2441,0.0094,0.0376,0.0,0.0,0.0376,0.0,0.1315
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0645,0.129,0.0323,0.0,0.0,0.1935,0.2581,0.0323,0.0645,0.0,0.0,0.0968,0.0,0.129
hat eine Lehre abgeschlossen.,0.0733,0.1664,0.0578,0.0028,0.0085,0.1467,0.2539,0.0127,0.024,0.0,0.0,0.0748,0.0,0.1791
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0691,0.1662,0.0475,0.0014,0.0056,0.1243,0.3254,0.0126,0.0209,0.0,0.0,0.0622,0.0,0.1648
hat eine kaufmännische Lehre abgeschlossen.,0.0994,0.1482,0.0536,0.0017,0.0054,0.115,0.312,0.0125,0.0336,0.0007,0.0,0.0573,0.0003,0.1604
hat einen Berufsfachschulabschluss.,0.0782,0.1503,0.0624,0.0035,0.0088,0.1511,0.2504,0.0132,0.0404,0.0,0.0,0.08,0.0,0.1617
hat einen Fachhochschulabschluss.,0.1071,0.0933,0.0639,0.002,0.0029,0.1984,0.2623,0.0128,0.0363,0.0,0.0,0.057,0.001,0.1631
hat einen Fachschulabschluss.,0.0739,0.1199,0.0673,0.0016,0.0049,0.1872,0.2529,0.0115,0.0394,0.0,0.0,0.0739,0.0016,0.1658
hat einen Meisterabschluss oder Technikerabschluss.,0.0782,0.1012,0.048,0.0018,0.0036,0.1528,0.341,0.0124,0.048,0.0,0.0,0.0497,0.0,0.1634
hat einen Universitätsabschluss.,0.105,0.0915,0.0449,0.0027,0.0049,0.2143,0.2435,0.0168,0.0557,0.0011,0.0,0.0606,0.0005,0.1585
hat keine berufliche Ausbildung abgeschlossen.,0.0715,0.2964,0.0307,0.0015,0.0058,0.1153,0.2263,0.0117,0.0219,0.0,0.0,0.0672,0.0015,0.1504
Die Linke,0.0672,0.3752,0.0251,0.003,0.0059,0.0687,0.1979,0.0118,0.0207,0.0,0.0,0.0355,0.0007,0.1883
die AfD,0.0786,0.0844,0.0467,0.0,0.0033,0.0614,0.1941,0.0278,0.041,0.0,0.0,0.285,0.0008,0.1769
die CDU/CSU,0.1012,0.0556,0.083,0.001,0.0025,0.1072,0.3642,0.0091,0.0577,0.001,0.0,0.0455,0.0005,0.1715
die FDP,0.128,0.0813,0.0536,0.0035,0.0035,0.0986,0.3633,0.0069,0.0519,0.0017,0.0,0.0242,0.0,0.1834
die Grünen,0.0538,0.1231,0.0266,0.0019,0.0074,0.41,0.2072,0.0124,0.0223,0.0,0.0,0.0284,0.0,0.107
die SPD,0.0791,0.1638,0.0613,0.0034,0.0089,0.1459,0.3421,0.0089,0.0172,0.0,0.0,0.0234,0.0007,0.1452
eine Kleinpartei,0.1335,0.1616,0.0468,0.0023,0.0094,0.1335,0.2342,0.0117,0.0422,0.0,0.0,0.0398,0.0023,0.1827
keine Partei,0.1067,0.1297,0.0592,0.0031,0.0074,0.1324,0.2967,0.0148,0.0417,0.0004,0.0,0.0409,0.0,0.1671
männlich,0.0987,0.1157,0.0477,0.0014,0.0043,0.1345,0.3046,0.0111,0.0439,0.0004,0.0,0.0532,0.0002,0.1843
weiblich,0.0789,0.1712,0.0577,0.003,0.0077,0.1707,0.2546,0.0153,0.029,0.0004,0.0,0.0722,0.0007,0.1386
hat das Abitur,0.0969,0.1042,0.049,0.0019,0.0041,0.2011,0.2623,0.0147,0.0449,0.0005,0.0,0.0615,0.0003,0.1586
hat einen Fachhochschulreife,0.1063,0.1108,0.0532,0.0045,0.0081,0.182,0.2865,0.0144,0.0423,0.0,0.0,0.0505,0.0009,0.1405
hat einen Hauptschulabschluss,0.0812,0.1841,0.051,0.0027,0.0054,0.1218,0.2879,0.0122,0.0325,0.0005,0.0,0.065,0.0005,0.1552
hat einen Realschulabschluss,0.0809,0.1628,0.057,0.0017,0.0072,0.12,0.2886,0.0121,0.03,0.0002,0.0,0.0659,0.0005,0.1729
hat keinen Schulabschluss,0.0784,0.3529,0.0392,0.0,0.0196,0.0196,0.2549,0.0196,0.0,0.0,0.0,0.0588,0.0,0.1569
ist noch Schüler/in,0.3333,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0976,0.1953,0.0421,0.0067,0.0152,0.1953,0.2424,0.0051,0.0337,0.0,0.0,0.0572,0.0,0.1094
30-44 YEARS,0.0953,0.1353,0.0503,0.0015,0.0057,0.1475,0.2771,0.0145,0.0362,0.0004,0.0,0.0644,0.0004,0.1715
45-59 YEARS,0.0917,0.1385,0.05,0.0012,0.0046,0.1487,0.2784,0.0153,0.0359,0.0002,0.0,0.0652,0.0,0.1703
60 and more,0.0799,0.1466,0.0589,0.0031,0.0062,0.1539,0.288,0.0114,0.0376,0.0005,0.0,0.0597,0.001,0.1531
