,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0878,0.1793,0.0355,0.0014,0.0045,0.147,0.2507,0.01,0.0237,0.0,0.0,0.0773,0.0146,0.1683
Westdeutschland,0.0919,0.1325,0.0394,0.0016,0.0057,0.1895,0.2871,0.0106,0.0441,0.0004,0.0001,0.0673,0.0007,0.129
befindet sich noch in beruflicher Ausbildung.,0.0703,0.2486,0.0216,0.0054,0.0216,0.2541,0.2054,0.0054,0.0324,0.0,0.0,0.0486,0.0,0.0865
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0417,0.1667,0.0,0.0,0.0417,0.1667,0.2917,0.0,0.0417,0.0,0.0,0.0,0.0,0.25
hat eine Lehre abgeschlossen.,0.0691,0.1572,0.0484,0.0035,0.0104,0.1606,0.2746,0.019,0.0345,0.0,0.0,0.0794,0.0017,0.1416
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0746,0.1756,0.039,0.0017,0.0017,0.1501,0.3291,0.0034,0.0348,0.0,0.0,0.0679,0.0051,0.117
hat eine kaufmännische Lehre abgeschlossen.,0.0943,0.1334,0.0412,0.0012,0.0021,0.1371,0.3425,0.0099,0.0391,0.0,0.0,0.063,0.0029,0.1334
hat einen Berufsfachschulabschluss.,0.0957,0.1255,0.0319,0.0,0.0085,0.1596,0.2894,0.0117,0.0351,0.0,0.0,0.0766,0.0053,0.1606
hat einen Fachhochschulabschluss.,0.1222,0.0949,0.0581,0.0012,0.0024,0.223,0.2206,0.0178,0.0427,0.0,0.0012,0.07,0.0071,0.1388
hat einen Fachschulabschluss.,0.0893,0.1508,0.0516,0.0,0.002,0.2163,0.2341,0.0079,0.0298,0.002,0.0,0.0536,0.0099,0.1528
hat einen Meisterabschluss oder Technikerabschluss.,0.0633,0.1201,0.0218,0.0044,0.0087,0.2052,0.3057,0.0087,0.0371,0.0022,0.0,0.0721,0.0022,0.1485
hat einen Universitätsabschluss.,0.1121,0.0984,0.0334,0.0,0.0059,0.2584,0.198,0.0131,0.0597,0.0007,0.0,0.0807,0.0026,0.137
hat keine berufliche Ausbildung abgeschlossen.,0.0546,0.3038,0.0205,0.0051,0.0137,0.1212,0.2287,0.0051,0.0137,0.0,0.0,0.0734,0.0034,0.157
Die Linke,0.0592,0.4144,0.0219,0.0009,0.0073,0.0838,0.1831,0.0137,0.0164,0.0,0.0,0.0419,0.01,0.1475
die AfD,0.0638,0.0609,0.0348,0.0029,0.0,0.0909,0.177,0.0203,0.0329,0.0,0.001,0.352,0.0039,0.1596
die CDU/CSU,0.1099,0.0647,0.0553,0.0013,0.0038,0.1577,0.3499,0.0101,0.0641,0.0006,0.0,0.0383,0.0025,0.142
die FDP,0.1326,0.0632,0.0295,0.0042,0.0,0.1537,0.3368,0.0084,0.0526,0.0,0.0,0.0189,0.0042,0.1958
die Grünen,0.0668,0.1125,0.0293,0.0,0.0045,0.4531,0.1718,0.0075,0.024,0.0008,0.0,0.0383,0.0015,0.09
die SPD,0.0851,0.1967,0.0446,0.0017,0.0091,0.143,0.3438,0.005,0.038,0.0,0.0,0.0182,0.0033,0.1116
eine Kleinpartei,0.1243,0.1243,0.0359,0.0028,0.0055,0.1271,0.2983,0.0,0.0442,0.0,0.0,0.0387,0.0,0.1989
keine Partei,0.1094,0.1141,0.041,0.0014,0.0079,0.1522,0.3361,0.0116,0.0419,0.0005,0.0,0.0363,0.0047,0.1429
männlich,0.0913,0.1373,0.0366,0.002,0.0044,0.1858,0.2767,0.0098,0.0418,0.0002,0.0002,0.076,0.0039,0.134
weiblich,0.0905,0.1499,0.0403,0.0011,0.0064,0.1731,0.2801,0.0112,0.0367,0.0004,0.0,0.0635,0.0041,0.1426
hat das Abitur,0.1043,0.1039,0.0395,0.0013,0.0056,0.2368,0.2289,0.0118,0.0474,0.0003,0.0003,0.0674,0.0036,0.1487
hat einen Fachhochschulreife,0.1054,0.1372,0.0373,0.0022,0.0077,0.2239,0.2667,0.0088,0.0351,0.0,0.0,0.0505,0.011,0.1142
hat einen Hauptschulabschluss,0.0796,0.1717,0.0343,0.0022,0.0044,0.1297,0.3155,0.0087,0.0403,0.0,0.0,0.079,0.0027,0.1319
hat einen Realschulabschluss,0.0822,0.1623,0.0406,0.0009,0.0053,0.145,0.3056,0.0108,0.0327,0.0006,0.0,0.0725,0.0026,0.1389
hat keinen Schulabschluss,0.0233,0.3953,0.0,0.0233,0.0,0.0465,0.2791,0.0,0.0233,0.0,0.0,0.0233,0.0465,0.1395
ist noch Schüler/in,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
18-29 YEARS,0.0778,0.2043,0.0175,0.0058,0.0136,0.2121,0.2374,0.0039,0.037,0.0,0.0,0.0525,0.0,0.1381
30-44 YEARS,0.0942,0.1479,0.0308,0.0023,0.0064,0.1732,0.2908,0.0124,0.0335,0.0005,0.0,0.0652,0.0041,0.1387
45-59 YEARS,0.0983,0.133,0.0361,0.0009,0.0039,0.1671,0.2838,0.0095,0.0415,0.0003,0.0003,0.0776,0.0033,0.1445
60 and more,0.0829,0.1422,0.0496,0.0009,0.005,0.1915,0.271,0.0113,0.0411,0.0003,0.0,0.0672,0.0053,0.1316
