,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0814,0.1649,0.034,0.0004,0.0055,0.125,0.2585,0.0104,0.0259,0.0,0.0,0.0677,0.0318,0.1945
Westdeutschland,0.0841,0.1271,0.0388,0.0014,0.0064,0.165,0.3013,0.0121,0.0456,0.0004,0.0002,0.0602,0.0019,0.1555
befindet sich noch in beruflicher Ausbildung.,0.0625,0.2452,0.0192,0.0,0.0192,0.226,0.2548,0.0048,0.0288,0.0,0.0,0.0433,0.0,0.0962
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0714,0.2143,0.0,0.0,0.0357,0.1429,0.2857,0.0,0.0357,0.0,0.0,0.0,0.0,0.2143
hat eine Lehre abgeschlossen.,0.0705,0.1439,0.047,0.0029,0.0117,0.141,0.2878,0.0206,0.0308,0.0,0.0,0.0661,0.0044,0.1733
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0633,0.1617,0.0351,0.0007,0.0028,0.128,0.3372,0.0041,0.0358,0.0,0.0,0.0578,0.0151,0.1583
hat eine kaufmännische Lehre abgeschlossen.,0.0854,0.1264,0.0417,0.001,0.003,0.1166,0.3423,0.0119,0.0444,0.0,0.0,0.0569,0.0071,0.1633
hat einen Berufsfachschulabschluss.,0.0877,0.1189,0.033,0.0,0.0113,0.1372,0.296,0.0148,0.033,0.0,0.0,0.0703,0.0156,0.1823
hat einen Fachhochschulabschluss.,0.1086,0.0969,0.0509,0.002,0.0039,0.1977,0.2534,0.0157,0.0411,0.0,0.001,0.0616,0.0117,0.1556
hat einen Fachschulabschluss.,0.088,0.1329,0.0548,0.0,0.0033,0.186,0.2442,0.0116,0.0415,0.0017,0.0017,0.0515,0.0116,0.1711
hat einen Meisterabschluss oder Technikerabschluss.,0.0607,0.1161,0.025,0.0018,0.0107,0.1839,0.3161,0.0089,0.0393,0.0018,0.0,0.0643,0.0036,0.1679
hat einen Universitätsabschluss.,0.1042,0.1031,0.0323,0.0,0.0049,0.2231,0.2166,0.0137,0.0592,0.0005,0.0,0.0713,0.0082,0.1628
hat keine berufliche Ausbildung abgeschlossen.,0.0515,0.2784,0.0206,0.0059,0.0133,0.109,0.2518,0.0059,0.0147,0.0,0.0,0.0663,0.0029,0.1797
Die Linke,0.0525,0.3583,0.0209,0.0,0.0065,0.0705,0.1892,0.0151,0.0187,0.0,0.0,0.0374,0.0245,0.2065
die AfD,0.0606,0.0638,0.0311,0.0016,0.0016,0.0835,0.1948,0.027,0.0344,0.0,0.0008,0.3052,0.0098,0.1858
die CDU/CSU,0.0999,0.0665,0.056,0.001,0.0042,0.1376,0.3616,0.0099,0.0665,0.0005,0.0,0.0345,0.0047,0.157
die FDP,0.1241,0.0699,0.0315,0.0035,0.0017,0.1346,0.3374,0.0087,0.0594,0.0,0.0,0.0157,0.0052,0.208
die Grünen,0.0608,0.1129,0.0301,0.0006,0.0044,0.3868,0.2176,0.0088,0.0257,0.0006,0.0,0.0357,0.0031,0.1129
die SPD,0.0784,0.1809,0.0392,0.0014,0.0096,0.1204,0.3569,0.0048,0.0399,0.0,0.0,0.0206,0.0089,0.1389
eine Kleinpartei,0.1182,0.1348,0.0307,0.0024,0.0071,0.1111,0.2813,0.0024,0.0402,0.0,0.0,0.0378,0.0095,0.2246
keine Partei,0.1007,0.1072,0.0424,0.0012,0.0096,0.1365,0.3382,0.0116,0.0428,0.0004,0.0004,0.0343,0.0085,0.1662
männlich,0.0848,0.1312,0.0347,0.0016,0.0056,0.1612,0.2911,0.0101,0.0427,0.0002,0.0002,0.0675,0.0099,0.1592
weiblich,0.082,0.1413,0.0405,0.0007,0.0067,0.1495,0.2908,0.0131,0.0391,0.0004,0.0002,0.0566,0.0083,0.1706
hat das Abitur,0.0965,0.1056,0.0379,0.0011,0.0052,0.2059,0.2515,0.0124,0.0473,0.0003,0.0003,0.0591,0.0071,0.1699
hat einen Fachhochschulreife,0.0949,0.1314,0.0347,0.0018,0.0082,0.1934,0.2801,0.0091,0.0392,0.0,0.0,0.052,0.0146,0.1405
hat einen Hauptschulabschluss,0.0734,0.1617,0.0353,0.0018,0.0059,0.1128,0.3207,0.0104,0.0394,0.0,0.0,0.0697,0.0059,0.163
hat einen Realschulabschluss,0.0752,0.1482,0.0399,0.0005,0.0067,0.1251,0.3124,0.0125,0.0367,0.0005,0.0002,0.0634,0.0108,0.1679
hat keinen Schulabschluss,0.0196,0.3529,0.0,0.0196,0.0,0.0392,0.2941,0.0,0.0196,0.0,0.0,0.0392,0.0392,0.1765
ist noch Schüler/in,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
18-29 YEARS,0.0714,0.1973,0.017,0.0034,0.017,0.1888,0.2636,0.0085,0.0323,0.0,0.0,0.0476,0.0,0.1531
30-44 YEARS,0.0875,0.1383,0.0313,0.0023,0.0073,0.1509,0.2992,0.0138,0.0336,0.0004,0.0,0.0581,0.0107,0.1666
45-59 YEARS,0.0884,0.1258,0.0362,0.001,0.0044,0.1464,0.2931,0.0108,0.0438,0.0002,0.0005,0.0679,0.0084,0.173
60 and more,0.0773,0.1367,0.0465,0.0003,0.0057,0.1624,0.2873,0.0116,0.0439,0.0003,0.0,0.0606,0.0103,0.1572
