,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.076,0.1447,0.0614,0.0027,0.0032,0.1797,0.2962,0.0127,0.0168,0.0,0,0.0382,0.0232,0.1451
Westdeutschland,0.0882,0.0947,0.0914,0.002,0.006,0.1511,0.331,0.0132,0.0384,0.0007,0,0.0452,0.003,0.1351
befindet sich noch in beruflicher Ausbildung.,0.0649,0.2108,0.0649,0.0108,0.0108,0.1784,0.3135,0.0108,0.027,0.0,0,0.027,0.0054,0.0757
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0833,0.0417,0.0,0.0417,0.1667,0.3333,0.0417,0.0417,0.0,0,0.0833,0.0417,0.125
hat eine Lehre abgeschlossen.,0.0708,0.1468,0.0674,0.0035,0.0138,0.1451,0.304,0.0207,0.0207,0.0017,0,0.0535,0.0086,0.1434
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0696,0.1137,0.0687,0.0008,0.0042,0.1298,0.4122,0.0119,0.028,0.0,0,0.028,0.011,0.1221
hat eine kaufmännische Lehre abgeschlossen.,0.0873,0.1013,0.0939,0.0025,0.0049,0.1284,0.3804,0.0078,0.0342,0.0004,0,0.0301,0.0058,0.1231
hat einen Berufsfachschulabschluss.,0.0766,0.0957,0.1053,0.0021,0.0032,0.1638,0.3,0.0138,0.0245,0.0,0,0.05,0.0043,0.1606
hat einen Fachhochschulabschluss.,0.1032,0.0427,0.1044,0.0012,0.0024,0.1898,0.2859,0.0119,0.0534,0.0036,0,0.0569,0.0083,0.1364
hat einen Fachschulabschluss.,0.1091,0.0853,0.0813,0.002,0.004,0.1865,0.252,0.0139,0.0397,0.0,0,0.0655,0.0099,0.1508
hat einen Meisterabschluss oder Technikerabschluss.,0.0764,0.0721,0.0633,0.0022,0.0,0.1965,0.3755,0.0066,0.0371,0.0,0,0.0393,0.0066,0.1245
hat einen Universitätsabschluss.,0.1043,0.0498,0.0833,0.0013,0.0059,0.2072,0.242,0.0249,0.0433,0.0,0,0.061,0.0118,0.1652
hat keine berufliche Ausbildung abgeschlossen.,0.058,0.3447,0.0597,0.0034,0.0085,0.1041,0.244,0.0034,0.0051,0.0,0,0.0341,0.0017,0.1331
Die Linke,0.0838,0.1138,0.0856,0.0,0.0064,0.1639,0.3005,0.0155,0.0255,0.0009,0,0.0501,0.0146,0.1393
die AfD,0.0783,0.1161,0.0812,0.0,0.0048,0.148,0.352,0.0116,0.029,0.0,0,0.0329,0.0048,0.1412
die CDU/CSU,0.0886,0.0936,0.0848,0.0038,0.0038,0.1564,0.331,0.0063,0.0383,0.0,0,0.0477,0.0088,0.1369
die FDP,0.0779,0.1032,0.0968,0.0021,0.0105,0.1705,0.2989,0.0189,0.0274,0.0021,0,0.0547,0.0084,0.1284
die Grünen,0.0923,0.0915,0.0938,0.0023,0.0053,0.1665,0.3008,0.018,0.0398,0.0015,0,0.0413,0.006,0.141
die SPD,0.0917,0.0901,0.0678,0.0025,0.0058,0.1678,0.3529,0.0124,0.0364,0.0,0,0.038,0.0074,0.1273
eine Kleinpartei,0.0829,0.1575,0.0663,0.0,0.0055,0.1298,0.3039,0.0083,0.0359,0.0,0,0.0635,0.0028,0.1436
keine Partei,0.081,0.1187,0.0885,0.0033,0.0047,0.1518,0.3189,0.0144,0.0307,0.0005,0,0.041,0.007,0.1397
männlich,0.0983,0.0763,0.0706,0.0011,0.0041,0.1527,0.3545,0.0115,0.0392,0.0004,0,0.039,0.0089,0.1434
weiblich,0.0725,0.1364,0.0978,0.0032,0.0064,0.163,0.2915,0.0146,0.0275,0.0006,0,0.048,0.0066,0.1317
hat das Abitur,0.0957,0.0664,0.0911,0.0023,0.0059,0.1905,0.2734,0.0178,0.0438,0.0003,0,0.0546,0.0089,0.1493
hat einen Fachhochschulreife,0.0977,0.0746,0.0911,0.0022,0.0033,0.157,0.3348,0.011,0.0428,0.0033,0,0.045,0.0088,0.1284
hat einen Hauptschulabschluss,0.0823,0.1433,0.0812,0.0022,0.0076,0.1264,0.3678,0.0098,0.0278,0.0,0,0.0289,0.0038,0.1188
hat einen Realschulabschluss,0.0751,0.1246,0.0789,0.002,0.0041,0.1477,0.3409,0.0114,0.0249,0.0003,0,0.0418,0.0088,0.1395
hat keinen Schulabschluss,0.0,0.6047,0.0,0.0,0.0,0.0465,0.2093,0.0,0.0,0.0,0,0.0,0.0,0.1395
ist noch Schüler/in,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
18-29 YEARS,0.072,0.2237,0.0525,0.0078,0.0058,0.1459,0.2646,0.0136,0.0233,0.0,0,0.0409,0.0019,0.1479
30-44 YEARS,0.0864,0.1102,0.0744,0.0018,0.0055,0.1718,0.3096,0.0133,0.0303,0.0,0,0.0436,0.0051,0.1479
45-59 YEARS,0.0918,0.0868,0.077,0.0012,0.0053,0.1508,0.3403,0.0121,0.0373,0.0,0,0.0438,0.0101,0.1434
60 and more,0.0797,0.1061,0.1039,0.0025,0.005,0.1579,0.3224,0.0138,0.0327,0.0016,0,0.0436,0.0082,0.1224
