,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0665,0.1294,0.0556,0.0025,0.0033,0.1559,0.314,0.0142,0.0207,0.0004,0.0,0.0342,0.0491,0.1544
Westdeutschland,0.0816,0.0874,0.0836,0.0021,0.0056,0.1399,0.3547,0.0159,0.0423,0.0006,0.0001,0.0395,0.0029,0.1438
befindet sich noch in beruflicher Ausbildung.,0.0487,0.1681,0.0752,0.0088,0.0088,0.1681,0.3451,0.0133,0.031,0.0,0.0,0.0265,0.0133,0.0929
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1154,0.0385,0.0,0.0385,0.1538,0.3462,0.0385,0.0385,0.0,0.0,0.0769,0.0,0.1538
hat eine Lehre abgeschlossen.,0.0633,0.1281,0.0662,0.0029,0.0115,0.1396,0.3165,0.0216,0.0273,0.0014,0.0,0.0489,0.0187,0.154
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0627,0.1036,0.0661,0.0007,0.0041,0.1186,0.4226,0.013,0.0314,0.0,0.0,0.0232,0.0218,0.1322
hat eine kaufmännische Lehre abgeschlossen.,0.0808,0.0914,0.0857,0.002,0.0053,0.118,0.3988,0.011,0.0415,0.0003,0.0,0.0253,0.01,0.1299
hat einen Berufsfachschulabschluss.,0.0694,0.0872,0.0898,0.0017,0.0025,0.1473,0.3226,0.0186,0.0246,0.0,0.0,0.0457,0.0178,0.1727
hat einen Fachhochschulabschluss.,0.0933,0.0448,0.0924,0.0038,0.0029,0.1714,0.321,0.0152,0.0495,0.0029,0.0,0.0486,0.0095,0.1448
hat einen Fachschulabschluss.,0.0984,0.0803,0.0738,0.0016,0.0033,0.1656,0.2885,0.0131,0.0393,0.0,0.0,0.0574,0.0164,0.1623
hat einen Meisterabschluss oder Technikerabschluss.,0.0729,0.0677,0.0556,0.0035,0.0017,0.1719,0.3872,0.0087,0.0486,0.0,0.0017,0.0365,0.0104,0.1337
hat einen Universitätsabschluss.,0.0953,0.0555,0.0727,0.0011,0.0059,0.1874,0.2725,0.0264,0.0458,0.0005,0.0,0.0533,0.0151,0.1686
hat keine berufliche Ausbildung abgeschlossen.,0.0558,0.3113,0.0587,0.0044,0.0059,0.0969,0.2555,0.0073,0.0088,0.0,0.0,0.0338,0.0103,0.1512
Die Linke,0.0754,0.1025,0.0761,0.0007,0.0073,0.1486,0.3294,0.0176,0.0307,0.0007,0.0,0.0447,0.0242,0.142
die AfD,0.0729,0.1003,0.0776,0.0,0.0047,0.1348,0.3699,0.0118,0.0282,0.0,0.0,0.029,0.0204,0.1505
die CDU/CSU,0.0803,0.0894,0.0777,0.0025,0.003,0.1423,0.3537,0.0097,0.0427,0.0005,0.0,0.0412,0.0127,0.1443
die FDP,0.072,0.0978,0.0823,0.0017,0.0103,0.1561,0.3293,0.0206,0.0257,0.0017,0.0,0.0463,0.0103,0.1458
die Grünen,0.082,0.0857,0.0845,0.0012,0.0049,0.1475,0.3305,0.0214,0.0453,0.0012,0.0,0.0379,0.008,0.1499
die SPD,0.0855,0.0814,0.0631,0.002,0.0054,0.1526,0.365,0.0142,0.0414,0.0,0.0,0.0339,0.0122,0.1431
eine Kleinpartei,0.0745,0.1354,0.0609,0.009,0.0045,0.1287,0.3183,0.0181,0.0339,0.0,0.0,0.0564,0.0045,0.1558
keine Partei,0.0752,0.1097,0.0805,0.0034,0.0042,0.1393,0.3398,0.0159,0.0361,0.0004,0.0004,0.0349,0.014,0.1462
männlich,0.0895,0.0726,0.0656,0.0014,0.0039,0.1375,0.3711,0.0135,0.0441,0.0004,0.0002,0.0343,0.0146,0.1512
weiblich,0.0667,0.1219,0.0877,0.003,0.0061,0.1499,0.3193,0.0174,0.0302,0.0007,0.0,0.042,0.0135,0.1416
hat das Abitur,0.0894,0.0663,0.0805,0.0016,0.0059,0.1715,0.3041,0.0188,0.0467,0.0005,0.0,0.0472,0.0142,0.1532
hat einen Fachhochschulreife,0.0859,0.068,0.0868,0.0009,0.0027,0.1431,0.3676,0.0125,0.0438,0.0027,0.0,0.0385,0.0107,0.1369
hat einen Hauptschulabschluss,0.0746,0.1284,0.0787,0.0027,0.0063,0.118,0.3795,0.0122,0.0335,0.0,0.0,0.0253,0.0086,0.1321
hat einen Realschulabschluss,0.0682,0.1113,0.0708,0.0028,0.0042,0.1345,0.3582,0.0152,0.0288,0.0002,0.0002,0.0375,0.0178,0.1502
hat keinen Schulabschluss,0.0196,0.5294,0.0,0.0,0.0,0.0392,0.2157,0.0,0.0392,0.0,0.0,0.0,0.0,0.1569
ist noch Schüler/in,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0636,0.1876,0.0572,0.0064,0.0048,0.1431,0.2973,0.0127,0.0254,0.0,0.0,0.035,0.0143,0.1526
30-44 YEARS,0.0781,0.099,0.068,0.0019,0.0056,0.1555,0.333,0.0157,0.0351,0.0,0.0,0.0381,0.0135,0.1566
45-59 YEARS,0.0857,0.0813,0.0712,0.001,0.0048,0.1367,0.3589,0.0138,0.0416,0.0002,0.0,0.0378,0.0143,0.1527
60 and more,0.0721,0.0992,0.0919,0.003,0.0048,0.1434,0.3459,0.0175,0.0355,0.0013,0.0003,0.0393,0.0142,0.1317
