,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.1056,0.1547,0.0337,0.0014,0.0055,0.136,0.2443,0.0059,0.0323,0.0,0.0005,0.0692,0.0205,0.1906
Westdeutschland,0.1107,0.1121,0.0529,0.0013,0.0058,0.1637,0.2857,0.0095,0.0486,0.0006,0.0003,0.0716,0.0004,0.1368
befindet sich noch in beruflicher Ausbildung.,0.1081,0.2162,0.0216,0.0,0.0324,0.2108,0.2,0.0108,0.0432,0.0,0.0,0.0324,0.0,0.1243
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0833,0.125,0.0833,0.0,0.0,0.125,0.1667,0.0,0.0417,0.0,0.0,0.2083,0.0,0.1667
hat eine Lehre abgeschlossen.,0.1036,0.1244,0.0466,0.0,0.0086,0.1451,0.2712,0.0086,0.0466,0.0017,0.0,0.0984,0.0052,0.1399
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1145,0.1043,0.0399,0.0,0.0059,0.1442,0.3427,0.0076,0.0416,0.0008,0.0,0.0653,0.0051,0.1281
hat eine kaufmännische Lehre abgeschlossen.,0.1124,0.1231,0.0568,0.0016,0.0066,0.121,0.338,0.0066,0.0412,0.0008,0.0004,0.058,0.0025,0.1309
hat einen Berufsfachschulabschluss.,0.1181,0.0926,0.0543,0.0,0.0032,0.1532,0.2415,0.0096,0.0372,0.0,0.0021,0.0872,0.0085,0.1926
hat einen Fachhochschulabschluss.,0.1364,0.0842,0.0451,0.0012,0.0012,0.1791,0.2622,0.0154,0.0439,0.0,0.0,0.0676,0.0036,0.1601
hat einen Fachschulabschluss.,0.0992,0.0853,0.0575,0.002,0.002,0.1944,0.2302,0.006,0.0615,0.0,0.0,0.0952,0.0119,0.1548
hat einen Meisterabschluss oder Technikerabschluss.,0.0961,0.0961,0.0524,0.0,0.0044,0.1594,0.3384,0.0066,0.0524,0.0,0.0,0.059,0.0022,0.1332
hat einen Universitätsabschluss.,0.1121,0.0859,0.0439,0.0026,0.0046,0.2269,0.2039,0.0079,0.0616,0.0,0.0,0.0787,0.0085,0.1633
hat keine berufliche Ausbildung abgeschlossen.,0.0546,0.372,0.0341,0.0034,0.0085,0.0887,0.1689,0.0137,0.0137,0.0,0.0,0.0631,0.0034,0.1758
Die Linke,0.0838,0.3406,0.0246,0.0018,0.0036,0.0783,0.1876,0.0046,0.0237,0.0009,0.0009,0.0446,0.0155,0.1894
die AfD,0.0783,0.0561,0.0377,0.001,0.0019,0.088,0.1721,0.0193,0.0455,0.001,0.0,0.2998,0.0087,0.1905
die CDU/CSU,0.1162,0.0528,0.0616,0.0,0.0038,0.1351,0.3536,0.0088,0.0622,0.0,0.0,0.049,0.0031,0.1539
die FDP,0.1558,0.0653,0.0463,0.0021,0.0063,0.0989,0.3642,0.0063,0.0505,0.0,0.0,0.0189,0.0063,0.1789
die Grünen,0.069,0.093,0.042,0.003,0.009,0.4329,0.1725,0.0075,0.0383,0.0,0.0008,0.0473,0.0015,0.0833
die SPD,0.1165,0.1397,0.0554,0.0008,0.0033,0.1174,0.3785,0.0058,0.0364,0.0,0.0,0.0273,0.0041,0.1149
eine Kleinpartei,0.1492,0.1436,0.0331,0.0,0.0138,0.1188,0.2652,0.0055,0.0249,0.0,0.0,0.0442,0.0055,0.1961
keine Partei,0.1369,0.1113,0.0587,0.0014,0.0079,0.1178,0.3017,0.0088,0.0531,0.0009,0.0005,0.0461,0.0023,0.1527
männlich,0.1229,0.0843,0.0377,0.0011,0.0026,0.1438,0.3048,0.0083,0.0527,0.0007,0.0004,0.0664,0.005,0.1693
weiblich,0.0963,0.1596,0.0588,0.0015,0.0088,0.1703,0.2473,0.009,0.0369,0.0002,0.0002,0.0755,0.0054,0.1302
hat das Abitur,0.1125,0.1102,0.0464,0.0016,0.0059,0.2046,0.2296,0.0086,0.0539,0.0003,0.0,0.0691,0.0059,0.1513
hat einen Fachhochschulreife,0.1284,0.101,0.0516,0.0022,0.0044,0.1614,0.2799,0.0121,0.0428,0.0,0.0,0.0549,0.0022,0.1592
hat einen Hauptschulabschluss,0.0894,0.1499,0.0409,0.0005,0.006,0.1286,0.3003,0.0125,0.0398,0.0005,0.0005,0.0812,0.0044,0.1455
hat einen Realschulabschluss,0.1132,0.1222,0.0532,0.0012,0.0058,0.1307,0.3023,0.0058,0.0404,0.0006,0.0006,0.0711,0.0058,0.1471
hat keinen Schulabschluss,0.0698,0.2326,0.0465,0.0,0.0,0.0465,0.3023,0.0,0.0,0.0,0.0,0.093,0.0,0.2093
ist noch Schüler/in,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0
18-29 YEARS,0.0895,0.2043,0.035,0.0019,0.0195,0.2062,0.2237,0.0078,0.0486,0.0019,0.0,0.0389,0.0019,0.1206
30-44 YEARS,0.119,0.1217,0.0427,0.0028,0.0055,0.152,0.254,0.0087,0.0436,0.0,0.0,0.0753,0.0055,0.169
45-59 YEARS,0.1137,0.114,0.0518,0.0009,0.0053,0.1508,0.2704,0.0086,0.0441,0.0003,0.0006,0.0794,0.0059,0.154
60 and more,0.1017,0.1181,0.0505,0.0006,0.0041,0.1595,0.3049,0.0088,0.0455,0.0006,0.0003,0.0644,0.0047,0.1363
