,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0938,0.1479,0.0336,0.0022,0.0056,0.1173,0.2507,0.0078,0.0306,0.0,0.0,0.059,0.0332,0.2182
Westdeutschland,0.1027,0.1091,0.0487,0.0017,0.0058,0.1428,0.3031,0.0136,0.0509,0.0007,0.0002,0.0626,0.0014,0.1568
befindet sich noch in beruflicher Ausbildung.,0.1121,0.1916,0.0234,0.0,0.0234,0.1869,0.2196,0.014,0.0374,0.0,0.0,0.0421,0.0,0.1495
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0645,0.0968,0.0645,0.0,0.0,0.0968,0.1935,0.0645,0.0323,0.0,0.0,0.1613,0.0,0.2258
hat eine Lehre abgeschlossen.,0.0948,0.1221,0.0445,0.0,0.0086,0.1293,0.2787,0.0129,0.0474,0.0014,0.0,0.0805,0.0086,0.171
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1056,0.1013,0.0373,0.0021,0.0056,0.126,0.349,0.0106,0.0471,0.0014,0.0,0.0542,0.0106,0.1492
hat eine kaufmännische Lehre abgeschlossen.,0.1038,0.1197,0.0529,0.002,0.0061,0.1061,0.351,0.0088,0.0434,0.0007,0.0003,0.0492,0.0051,0.1509
hat einen Berufsfachschulabschluss.,0.1102,0.0955,0.0495,0.0,0.0035,0.1311,0.2552,0.0122,0.0382,0.0,0.0009,0.0764,0.0182,0.2092
hat einen Fachhochschulabschluss.,0.1187,0.0795,0.0422,0.001,0.0029,0.1609,0.2689,0.0216,0.0481,0.0,0.0,0.0618,0.0079,0.1865
hat einen Fachschulabschluss.,0.094,0.0891,0.0519,0.0016,0.0065,0.1621,0.248,0.0065,0.0632,0.0,0.0,0.0827,0.0162,0.1783
hat einen Meisterabschluss oder Technikerabschluss.,0.0901,0.0919,0.0515,0.0,0.0037,0.136,0.3603,0.011,0.0478,0.0,0.0,0.0515,0.0055,0.1507
hat einen Universitätsabschluss.,0.0993,0.0867,0.0412,0.0038,0.0049,0.1959,0.2316,0.0132,0.0609,0.0,0.0,0.0692,0.0093,0.1839
hat keine berufliche Ausbildung abgeschlossen.,0.0548,0.3473,0.0303,0.0029,0.0072,0.0778,0.1801,0.0159,0.0115,0.0014,0.0,0.0591,0.0086,0.2032
Die Linke,0.0698,0.304,0.0264,0.0022,0.0037,0.0646,0.1909,0.0103,0.0206,0.0007,0.0007,0.0411,0.0235,0.2416
die AfD,0.0782,0.0587,0.0383,0.0016,0.0016,0.0774,0.1932,0.0269,0.0497,0.0008,0.0,0.26,0.0122,0.2013
die CDU/CSU,0.1066,0.0562,0.0567,0.001,0.0031,0.1171,0.3633,0.0131,0.0677,0.0,0.0,0.042,0.0063,0.1669
die FDP,0.1394,0.0679,0.0505,0.0035,0.0087,0.0993,0.3502,0.007,0.0575,0.0,0.0,0.0174,0.007,0.1916
die Grünen,0.065,0.0912,0.0362,0.0031,0.0069,0.3681,0.2312,0.0094,0.0381,0.0,0.0,0.04,0.0025,0.1081
die SPD,0.1049,0.1375,0.0507,0.0007,0.0056,0.1049,0.3778,0.0076,0.0375,0.0,0.0,0.0243,0.009,0.1396
eine Kleinpartei,0.1422,0.1491,0.0275,0.0,0.0115,0.1055,0.2844,0.0069,0.0206,0.0,0.0,0.0413,0.0092,0.2018
keine Partei,0.1266,0.1071,0.0535,0.0019,0.0084,0.1055,0.3113,0.0119,0.0532,0.0015,0.0004,0.0409,0.0065,0.1713
männlich,0.1129,0.0868,0.0378,0.0015,0.0031,0.124,0.3114,0.0122,0.0552,0.0005,0.0002,0.0576,0.0071,0.1899
weiblich,0.0885,0.1492,0.0522,0.0021,0.0083,0.149,0.2702,0.0122,0.0372,0.0005,0.0002,0.0658,0.011,0.1536
hat das Abitur,0.1011,0.1057,0.0421,0.0025,0.006,0.1756,0.2538,0.0126,0.0549,0.0003,0.0,0.0609,0.0074,0.1773
hat einen Fachhochschulreife,0.1189,0.1014,0.0507,0.0018,0.0046,0.1429,0.2949,0.0175,0.0452,0.0,0.0,0.0479,0.0037,0.1705
hat einen Hauptschulabschluss,0.0875,0.1473,0.0385,0.0005,0.0063,0.1151,0.2987,0.0141,0.0422,0.0009,0.0,0.0703,0.0068,0.1718
hat einen Realschulabschluss,0.1024,0.1173,0.0498,0.0019,0.0055,0.1132,0.3171,0.0096,0.0411,0.0007,0.0005,0.0611,0.0132,0.1664
hat keinen Schulabschluss,0.0889,0.2222,0.0444,0.0,0.0,0.0444,0.3111,0.0,0.0,0.0,0.0,0.0889,0.0,0.2
ist noch Schüler/in,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0
18-29 YEARS,0.0862,0.1907,0.0348,0.0017,0.0182,0.1791,0.2521,0.01,0.0431,0.0017,0.0,0.0365,0.0066,0.1393
30-44 YEARS,0.1097,0.1173,0.0399,0.0038,0.0049,0.1321,0.2715,0.0121,0.0471,0.0,0.0,0.063,0.0087,0.1898
45-59 YEARS,0.1043,0.1101,0.0473,0.0012,0.0051,0.1283,0.2897,0.0131,0.0439,0.0007,0.0002,0.0699,0.009,0.1771
60 and more,0.0924,0.1166,0.0479,0.0011,0.005,0.1421,0.3108,0.0116,0.0482,0.0005,0.0003,0.0561,0.0097,0.1579
