,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0823,0.2493,0.0077,0.0033,0.0306,0.123,0.0895,0.0722,0.0167,0.0005,0.0292,0.2536,0.0038,0.0383
Westdeutschland,0.0741,0.2493,0.0109,0.0025,0.0211,0.1537,0.0866,0.0814,0.0119,0.0003,0.0318,0.2378,0.0015,0.0369
befindet sich noch in beruflicher Ausbildung.,0.0465,0.2035,0.0116,0.0,0.0407,0.2849,0.093,0.0872,0.0058,0.0058,0.0465,0.1105,0.0,0.064
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1905,0.0,0.0,0.0,0.2381,0.0952,0.0952,0.0,0.0,0.1429,0.1905,0.0,0.0476
hat eine Lehre abgeschlossen.,0.0893,0.2587,0.0073,0.0036,0.0182,0.1366,0.0583,0.071,0.0091,0.0,0.0328,0.2914,0.0036,0.02
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0663,0.2778,0.009,0.0027,0.009,0.1272,0.0842,0.0529,0.0108,0.0,0.0278,0.3065,0.0027,0.0233
hat eine kaufmännische Lehre abgeschlossen.,0.0755,0.2651,0.0087,0.0039,0.021,0.1253,0.0865,0.0777,0.0114,0.0004,0.0341,0.2568,0.0013,0.0323
hat einen Berufsfachschulabschluss.,0.0457,0.2629,0.0149,0.0023,0.0137,0.1417,0.0811,0.0709,0.0183,0.0,0.0434,0.2846,0.0011,0.0194
hat einen Fachhochschulabschluss.,0.104,0.2382,0.0097,0.0012,0.0326,0.1548,0.1064,0.0895,0.0133,0.0,0.0278,0.1657,0.0024,0.0544
hat einen Fachschulabschluss.,0.0922,0.209,0.0164,0.002,0.0348,0.1291,0.0758,0.0984,0.0184,0.0,0.0184,0.252,0.002,0.0512
hat einen Meisterabschluss oder Technikerabschluss.,0.1031,0.2063,0.0157,0.0022,0.0135,0.13,0.1099,0.0807,0.0157,0.0,0.0224,0.2578,0.0067,0.0359
hat einen Universitätsabschluss.,0.0735,0.2177,0.0061,0.0034,0.0391,0.1887,0.1011,0.0984,0.0155,0.0007,0.027,0.1671,0.002,0.06
hat keine berufliche Ausbildung abgeschlossen.,0.0739,0.2847,0.0148,0.0,0.0203,0.146,0.0591,0.0721,0.0092,0.0,0.0314,0.2643,0.0,0.024
Die Linke,0.0708,0.4129,0.0103,0.0028,0.0363,0.1156,0.0811,0.0764,0.0168,0.0,0.0168,0.1062,0.0009,0.0531
die AfD,0.0433,0.1704,0.002,0.002,0.0069,0.0453,0.0581,0.0562,0.0089,0.001,0.0266,0.5734,0.0,0.0059
die CDU/CSU,0.0842,0.1834,0.0104,0.0026,0.0202,0.1658,0.1025,0.096,0.017,0.0013,0.0366,0.2487,0.0026,0.0287
die FDP,0.0639,0.2159,0.0066,0.0022,0.0485,0.1057,0.1233,0.0793,0.0088,0.0,0.0463,0.2621,0.0,0.0374
die Grünen,0.0811,0.2094,0.0116,0.0023,0.0255,0.2991,0.0757,0.0966,0.0131,0.0,0.0232,0.0835,0.0023,0.0765
die SPD,0.0933,0.2781,0.0216,0.0035,0.0276,0.1235,0.0967,0.0889,0.0121,0.0,0.0268,0.1796,0.0043,0.044
eine Kleinpartei,0.0625,0.267,0.0057,0.0028,0.0199,0.179,0.0795,0.0938,0.0142,0.0,0.0341,0.2074,0.0028,0.0312
keine Partei,0.0813,0.2662,0.0078,0.0031,0.0181,0.1165,0.0891,0.0596,0.0114,0.0,0.0414,0.2812,0.0021,0.0223
männlich,0.0842,0.2348,0.0061,0.0016,0.0196,0.1526,0.1003,0.0769,0.0141,0.0007,0.0316,0.2348,0.0018,0.0409
weiblich,0.068,0.2638,0.014,0.0039,0.0272,0.1403,0.0743,0.0816,0.012,0.0,0.0308,0.2484,0.0023,0.0335
hat das Abitur,0.0792,0.2189,0.0071,0.002,0.0362,0.1867,0.0951,0.0981,0.0122,0.0003,0.0304,0.1715,0.0024,0.0599
hat einen Fachhochschulreife,0.0963,0.25,0.0103,0.0034,0.0321,0.1433,0.1067,0.078,0.0172,0.0011,0.0264,0.2007,0.0011,0.0333
hat einen Hauptschulabschluss,0.0639,0.2818,0.0122,0.0,0.0035,0.1168,0.0738,0.0645,0.0105,0.0006,0.0291,0.3248,0.0017,0.0169
hat einen Realschulabschluss,0.073,0.2606,0.0118,0.0047,0.0202,0.1267,0.0811,0.0705,0.014,0.0,0.0339,0.273,0.0022,0.0286
hat keinen Schulabschluss,0.1892,0.1892,0.0,0.0,0.0,0.1081,0.1892,0.0541,0.027,0.0,0.027,0.1892,0.0,0.027
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0
18-29 YEARS,0.0614,0.1907,0.0106,0.0,0.0297,0.2585,0.0869,0.0805,0.0127,0.0021,0.0254,0.1758,0.0,0.0657
30-44 YEARS,0.0546,0.2189,0.0104,0.0045,0.0342,0.1429,0.1161,0.0769,0.0084,0.0,0.0397,0.2531,0.001,0.0392
45-59 YEARS,0.0651,0.2719,0.0087,0.0037,0.0171,0.1361,0.0891,0.0775,0.0121,0.0003,0.0283,0.2535,0.0012,0.0352
60 and more,0.1035,0.2546,0.0113,0.001,0.0219,0.1424,0.0669,0.0823,0.017,0.0003,0.0296,0.2318,0.0039,0.0338
