,1VAR_age,1VAR_berufabschluss,1VAR_eastwest,1VAR_gender,1VAR_party,1VAR_schulabschluss,Llama2_all,Llama2_base,without_age,without_berufabschluss,without_eastwest,without_gender,without_party,without_schulabschluss
Politische Strukturen und Prozesse,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764,0.07535149384885764
Sozialpolitik,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037,0.2475834797891037
Gesundheitspolitik,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378,0.010764499121265378
Familien- und Gleichstellungspolitik,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077,0.0031854130052724077
Bildungspolitik,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036,0.023725834797891036
Umweltpolitik,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869,0.14608963093145869
Wirtschaftspolitik,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355,0.0898506151142355
Sicherheits,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615,0.07930579964850615
Außenpolitik,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566,0.01296133567662566
Medien und Kommunikation,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422,0.0003295254833040422
Sonstiges,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867,0.030206502636203867
Migration und Integration,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188,0.2406634446397188
Ostdeutschland,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814,0.0021968365553602814
"Werte, politische Kultur und Gesellschaftskritik",0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834,0.037785588752196834
