,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.167,0.1984,0.0255,0.0018,0.0045,0.1342,0.1793,0.0082,0.0141,0.0005,0.0009,0.0905,0.0118,0,0,0.1633
Westdeutschland,0.1751,0.1674,0.0326,0.0017,0.0052,0.1833,0.1795,0.0111,0.0198,0.0007,0.0013,0.0971,0.0007,0,0,0.1245
befindet sich noch in beruflicher Ausbildung.,0.0919,0.2541,0.0324,0.0,0.0,0.2811,0.0973,0.0108,0.0108,0.0,0.0108,0.0703,0.0,0,0,0.1405
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0833,0.2083,0.0,0.0,0.0,0.25,0.2083,0.0,0.125,0.0,0.0,0.0,0.0,0,0,0.125
hat eine Lehre abgeschlossen.,0.1658,0.1917,0.0242,0.0,0.0052,0.1744,0.1658,0.0155,0.0121,0.0,0.0035,0.1036,0.0035,0,0,0.1347
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.2027,0.1832,0.0221,0.0017,0.0051,0.1323,0.2154,0.0068,0.0187,0.0008,0.0,0.084,0.0051,0,0,0.1221
hat eine kaufmännische Lehre abgeschlossen.,0.1972,0.1811,0.0362,0.0012,0.0041,0.1334,0.196,0.0119,0.0173,0.0,0.0004,0.1029,0.0021,0,0,0.1161
hat einen Berufsfachschulabschluss.,0.1511,0.1787,0.0383,0.0032,0.0053,0.1723,0.1617,0.0138,0.0213,0.0,0.0,0.116,0.0064,0,0,0.1319
hat einen Fachhochschulabschluss.,0.1756,0.134,0.0285,0.0012,0.0083,0.2017,0.1839,0.0095,0.0285,0.0012,0.0012,0.0735,0.0024,0,0,0.1507
hat einen Fachschulabschluss.,0.1468,0.1587,0.0317,0.002,0.0119,0.1885,0.1746,0.0119,0.0139,0.0,0.002,0.1071,0.004,0,0,0.1468
hat einen Meisterabschluss oder Technikerabschluss.,0.1572,0.1354,0.0175,0.0,0.0087,0.19,0.2227,0.0109,0.0328,0.0022,0.0022,0.0764,0.0,0,0,0.1441
hat einen Universitätsabschluss.,0.1711,0.1325,0.0354,0.0007,0.0013,0.2256,0.1567,0.0079,0.0164,0.002,0.0007,0.0964,0.0033,0,0,0.1502
hat keine berufliche Ausbildung abgeschlossen.,0.1229,0.2952,0.0239,0.0085,0.0068,0.1553,0.128,0.0068,0.0068,0.0,0.0034,0.0939,0.0051,0,0,0.1433
Die Linke,0.1603,0.3179,0.0191,0.0009,0.0036,0.1047,0.1393,0.01,0.0146,0.0,0.0018,0.0501,0.0055,0,0,0.1721
die AfD,0.1528,0.1325,0.0135,0.0019,0.0029,0.029,0.1567,0.0203,0.0164,0.001,0.0019,0.3124,0.0029,0,0,0.1557
die CDU/CSU,0.2117,0.1294,0.0427,0.0013,0.0025,0.1256,0.2249,0.0101,0.0339,0.0013,0.0006,0.0923,0.0025,0,0,0.1212
die FDP,0.2337,0.1221,0.04,0.0021,0.0063,0.1158,0.2211,0.0084,0.0147,0.0,0.0021,0.0653,0.0084,0,0,0.16
die Grünen,0.1148,0.129,0.0195,0.0,0.0068,0.4591,0.0953,0.0053,0.0098,0.0015,0.0008,0.0555,0.0023,0,0,0.1005
die SPD,0.1992,0.2149,0.0388,0.0008,0.0058,0.1455,0.1967,0.0116,0.0182,0.0008,0.0008,0.0595,0.0,0,0,0.1074
eine Kleinpartei,0.1934,0.1934,0.0276,0.0028,0.0055,0.1547,0.1713,0.0083,0.0276,0.0,0.0028,0.0829,0.0083,0,0,0.1215
keine Partei,0.1657,0.1699,0.0377,0.0037,0.007,0.1601,0.2118,0.0093,0.0149,0.0,0.0009,0.0708,0.0037,0,0,0.1443
männlich,0.2022,0.1442,0.027,0.0009,0.005,0.1473,0.1991,0.0102,0.0227,0.0007,0.0011,0.0874,0.0033,0,0,0.149
weiblich,0.1446,0.2048,0.0347,0.0026,0.0051,0.1956,0.16,0.0105,0.0144,0.0006,0.0013,0.1036,0.0034,0,0,0.1186
hat das Abitur,0.174,0.1405,0.0352,0.001,0.0046,0.2118,0.1576,0.0095,0.0191,0.0013,0.0013,0.0868,0.0023,0,0,0.1549
hat einen Fachhochschulreife,0.1712,0.1515,0.0231,0.0,0.0044,0.1932,0.2075,0.011,0.0241,0.0011,0.0,0.0735,0.0033,0,0,0.1361
hat einen Hauptschulabschluss,0.1635,0.2087,0.0392,0.0044,0.0065,0.151,0.1984,0.0082,0.0153,0.0,0.0011,0.1025,0.0049,0,0,0.0965
