,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0182,0.0136,0.3599,0,0.0014,0.01,0.046,0.0164,0.3144,0.0005,0.0045,0.0792,0.0109,0.0005,0,0.1247
Westdeutschland,0.0113,0.0086,0.447,0,0.0003,0.0132,0.0434,0.0193,0.2848,0.0003,0.0057,0.0671,0.0018,0.0,0,0.0971
befindet sich noch in beruflicher Ausbildung.,0.0108,0.0108,0.4649,0,0.0,0.0054,0.0649,0.0108,0.2486,0.0,0.0,0.0595,0.0108,0.0,0,0.1135
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0417,0.0,0.4167,0,0.0,0.0,0.0417,0.125,0.125,0.0,0.0,0.1667,0.0,0.0,0,0.0833
hat eine Lehre abgeschlossen.,0.0138,0.0104,0.4266,0,0.0,0.0207,0.0345,0.0207,0.2539,0.0,0.0104,0.0864,0.0035,0.0,0,0.1192
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0102,0.0119,0.4563,0,0.0008,0.0093,0.0704,0.017,0.2646,0.0008,0.0042,0.0636,0.0034,0.0008,0,0.0857
hat eine kaufmännische Lehre abgeschlossen.,0.0124,0.0095,0.4302,0,0.0012,0.0099,0.0436,0.0165,0.2985,0.0,0.0037,0.0692,0.0041,0.0,0,0.1013
hat einen Berufsfachschulabschluss.,0.016,0.0106,0.4074,0,0.0,0.0149,0.0415,0.0223,0.2745,0.0011,0.0074,0.0809,0.0064,0.0,0,0.117
hat einen Fachhochschulabschluss.,0.0107,0.0083,0.4152,0,0.0,0.013,0.032,0.019,0.3298,0.0012,0.0071,0.0652,0.0024,0.0,0,0.0961
hat einen Fachschulabschluss.,0.0139,0.0159,0.4147,0,0.0,0.0179,0.0238,0.0179,0.3353,0.0,0.004,0.0595,0.002,0.0,0,0.0952
hat einen Meisterabschluss oder Technikerabschluss.,0.0066,0.0066,0.4607,0,0.0,0.0131,0.0393,0.0109,0.31,0.0,0.0022,0.0721,0.0,0.0,0,0.0786
hat einen Universitätsabschluss.,0.0131,0.0072,0.3967,0,0.0,0.0151,0.0354,0.0184,0.3266,0.0,0.0072,0.0721,0.0046,0.0,0,0.1036
hat keine berufliche Ausbildung abgeschlossen.,0.0222,0.0119,0.4437,0,0.0017,0.0068,0.0597,0.0273,0.2082,0.0,0.0051,0.0597,0.0051,0.0,0,0.1485
Die Linke,0.0137,0.0209,0.367,0,0.0027,0.02,0.0474,0.0155,0.2459,0.0009,0.0073,0.0628,0.0055,0.0009,0,0.1894
die AfD,0.028,0.0077,0.3907,0,0.0,0.0077,0.0474,0.0261,0.2447,0.0,0.0048,0.1141,0.0048,0.0,0,0.1238
die CDU/CSU,0.0075,0.005,0.3769,0,0.0,0.0082,0.0433,0.0264,0.3756,0.0,0.0075,0.1018,0.0013,0.0,0,0.0465
die FDP,0.0084,0.0042,0.4358,0,0.0,0.0063,0.08,0.0126,0.3347,0.0,0.0,0.0716,0.0063,0.0,0,0.04
die Grünen,0.009,0.0105,0.4869,0,0.0008,0.0218,0.0225,0.0128,0.2888,0.0,0.0015,0.0503,0.0015,0.0,0,0.0938
die SPD,0.0091,0.0149,0.443,0,0.0,0.0198,0.0504,0.0074,0.3116,0.0,0.0041,0.043,0.0058,0.0,0,0.0901
eine Kleinpartei,0.0221,0.011,0.3867,0,0.0028,0.0138,0.0718,0.0221,0.279,0.0028,0.0028,0.0746,0.0028,0.0,0,0.1077
keine Partei,0.0135,0.0065,0.4679,0,0.0,0.0051,0.0382,0.0214,0.2593,0.0005,0.0079,0.0549,0.0051,0.0,0,0.1196
männlich,0.0131,0.01,0.4233,0,0.0002,0.0144,0.0471,0.0194,0.2989,0.0,0.0052,0.0695,0.0041,0.0,0,0.0948
