,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0207,0.0141,0.3479,0.0009,0.0018,0.0106,0.0489,0.0198,0.3047,0.0004,0.0,0.0845,0.0141,0.0,0.0,0.1317
Westdeutschland,0.0125,0.0108,0.4369,0.0004,0.0004,0.0129,0.0494,0.0204,0.2834,0.0006,0.0006,0.068,0.0028,0.0,0.0,0.1011
befindet sich noch in beruflicher Ausbildung.,0.0152,0.0152,0.4315,0.0,0.0,0.0051,0.0761,0.0203,0.2487,0.0,0.0,0.0609,0.0102,0.0,0.0,0.1168
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.037,0.0,0.3704,0.0,0.0,0.0,0.0741,0.1481,0.1111,0.0,0.0,0.1852,0.0,0.0,0.0,0.0741
hat eine Lehre abgeschlossen.,0.0168,0.0118,0.4175,0.0,0.0017,0.0202,0.0471,0.0219,0.2542,0.0017,0.0,0.0875,0.0034,0.0,0.0,0.1162
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0124,0.0157,0.4447,0.0008,0.0008,0.0116,0.0726,0.0173,0.2599,0.0008,0.0,0.0652,0.0058,0.0,0.0,0.0924
hat eine kaufmännische Lehre abgeschlossen.,0.0125,0.0101,0.4222,0.0008,0.0016,0.0092,0.0515,0.0173,0.2939,0.0,0.0008,0.0692,0.0052,0.0,0.0,0.1057
hat einen Berufsfachschulabschluss.,0.0145,0.0125,0.3998,0.001,0.0,0.0135,0.0457,0.0249,0.2752,0.001,0.001,0.0841,0.0073,0.0,0.0,0.1194
hat einen Fachhochschulabschluss.,0.0151,0.0081,0.4037,0.0012,0.0,0.0128,0.0348,0.0197,0.3225,0.0012,0.0012,0.0731,0.0058,0.0,0.0,0.1009
hat einen Fachschulabschluss.,0.0178,0.0158,0.4063,0.0,0.0,0.0158,0.0217,0.0178,0.3333,0.0,0.0,0.0611,0.002,0.0,0.0,0.1085
hat einen Meisterabschluss oder Technikerabschluss.,0.0063,0.0063,0.4426,0.0,0.0,0.0167,0.0501,0.0146,0.3027,0.0,0.0,0.0772,0.0,0.0,0.0,0.0835
hat einen Universitätsabschluss.,0.0154,0.009,0.3868,0.0,0.0,0.0148,0.0398,0.0212,0.3265,0.0006,0.0,0.0731,0.0058,0.0,0.0,0.1071
hat keine berufliche Ausbildung abgeschlossen.,0.0231,0.0198,0.4283,0.0,0.0016,0.0066,0.0593,0.028,0.2043,0.0,0.0,0.061,0.0099,0.0,0.0,0.1582
Die Linke,0.0212,0.023,0.3584,0.0009,0.0027,0.0204,0.0496,0.0186,0.2416,0.0018,0.0,0.0673,0.0062,0.0,0.0,0.1885
die AfD,0.0272,0.0085,0.3822,0.0,0.0,0.0075,0.0526,0.0291,0.2423,0.0009,0.0,0.1146,0.0066,0.0,0.0,0.1286
die CDU/CSU,0.0074,0.0062,0.3699,0.0,0.0,0.0074,0.0499,0.0284,0.373,0.0,0.0006,0.1042,0.0031,0.0,0.0,0.0499
die FDP,0.0102,0.0041,0.4221,0.0,0.0,0.0082,0.0799,0.0143,0.3361,0.0,0.0,0.0738,0.0102,0.0,0.0,0.041
die Grünen,0.0088,0.0125,0.4761,0.0022,0.0007,0.0213,0.0287,0.014,0.2833,0.0,0.0,0.053,0.0022,0.0,0.0,0.0971
die SPD,0.0111,0.0175,0.4277,0.0,0.0,0.0191,0.0541,0.0087,0.3076,0.0,0.0008,0.0477,0.0064,0.0,0.0,0.0994
eine Kleinpartei,0.0185,0.0132,0.3704,0.0026,0.0026,0.0159,0.082,0.0238,0.2778,0.0026,0.0,0.0714,0.0026,0.0,0.0,0.1164
keine Partei,0.0155,0.0087,0.4572,0.0,0.0009,0.005,0.0447,0.0219,0.2562,0.0005,0.0009,0.0552,0.0073,0.0,0.0,0.1263
männlich,0.0142,0.0118,0.4118,0.0002,0.0002,0.0146,0.0533,0.0209,0.2953,0.0002,0.0004,0.0708,0.0051,0.0,0.0,0.1012
weiblich,0.0147,0.0113,0.4195,0.0008,0.0013,0.0101,0.0453,0.0195,0.2818,0.0008,0.0004,0.0731,0.0059,0.0,0.0,0.1155
hat das Abitur,0.0167,0.0077,0.3973,0.0006,0.0003,0.0161,0.0431,0.0215,0.3112,0.0006,0.0,0.0752,0.0055,0.0,0.0,0.1041
hat einen Fachhochschulreife,0.0149,0.0181,0.4109,0.0011,0.0011,0.0064,0.0491,0.0181,0.2914,0.0,0.0011,0.063,0.0043,0.0,0.0,0.1206
hat einen Hauptschulabschluss,0.0117,0.0159,0.457,0.0005,0.0011,0.0128,0.0515,0.0202,0.2396,0.0011,0.0011,0.0717,0.0053,0.0,0.0,0.1105
hat einen Realschulabschluss,0.0136,0.0108,0.4096,0.0003,0.0009,0.0105,0.0534,0.0199,0.2953,0.0003,0.0003,0.0719,0.006,0.0,0.0,0.1072
hat keinen Schulabschluss,0.0233,0.0233,0.5349,0.0,0.0,0.0,0.0698,0.0,0.1395,0.0,0.0,0.0465,0.0,0.0,0.0,0.1628
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
