,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0227,0.1483,0.0023,0.0018,0.0,0.3235,0.0587,0.0341,0.0,0,0.0787,0.1929,0.0551,0.0,0,0.0814
Westdeutschland,0.0289,0.097,0.005,0.001,0.0004,0.4559,0.0784,0.0257,0.0011,0,0.0797,0.1664,0.0051,0.0004,0,0.055
befindet sich noch in beruflicher Ausbildung.,0.027,0.0541,0.0,0.0,0.0,0.5568,0.0757,0.027,0.0,0,0.0865,0.0757,0.0324,0.0,0,0.0649
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0833,0.0417,0.0,0.0,0.0,0.2917,0.0833,0.125,0.0,0,0.1667,0.0833,0.0,0.0,0,0.125
hat eine Lehre abgeschlossen.,0.0225,0.1105,0.0069,0.0035,0.0,0.3489,0.057,0.0242,0.0,0,0.1468,0.2142,0.0086,0.0017,0,0.0553
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0229,0.151,0.0008,0.0008,0.0008,0.4097,0.1077,0.0093,0.0008,0,0.0339,0.1934,0.0221,0.0017,0,0.0441
hat eine kaufmännische Lehre abgeschlossen.,0.0296,0.1297,0.0054,0.0004,0.0,0.4615,0.1054,0.0132,0.0008,0,0.0408,0.1564,0.0144,0.0,0,0.0424
hat einen Berufsfachschulabschluss.,0.0245,0.1128,0.0032,0.0021,0.0011,0.334,0.0532,0.0511,0.0011,0,0.0894,0.2298,0.0234,0.0,0,0.0745
hat einen Fachhochschulabschluss.,0.0344,0.0735,0.0047,0.0024,0.0,0.3962,0.0474,0.0391,0.0,0,0.1507,0.1507,0.019,0.0,0,0.0819
hat einen Fachschulabschluss.,0.0119,0.0833,0.004,0.0,0.0,0.4226,0.0476,0.0298,0.004,0,0.1171,0.1944,0.0119,0.0,0,0.0734
hat einen Meisterabschluss oder Technikerabschluss.,0.0218,0.0611,0.0044,0.0022,0.0,0.4192,0.1179,0.0087,0.0,0,0.1594,0.1703,0.0,0.0,0,0.0349
hat einen Universitätsabschluss.,0.0367,0.061,0.0033,0.0013,0.0007,0.5338,0.0302,0.0367,0.0013,0,0.0564,0.1377,0.019,0.0,0,0.082
hat keine berufliche Ausbildung abgeschlossen.,0.0188,0.1894,0.0102,0.0,0.0,0.2457,0.0614,0.0597,0.0,0,0.1058,0.2065,0.0205,0.0,0,0.0819
Die Linke,0.0118,0.4044,0.0,0.0,0.0009,0.2368,0.0392,0.041,0.0009,0,0.0492,0.0729,0.0464,0.0,0,0.0965
die AfD,0.0203,0.0,0.0,0.0,0.0,0.0087,0.0058,0.0126,0.001,0,0.0687,0.8201,0.0,0.0,0,0.0629
die CDU/CSU,0.0396,0.0634,0.0094,0.0044,0.0,0.473,0.1231,0.017,0.0013,0,0.0546,0.1715,0.0088,0.0006,0,0.0333
die FDP,0.0821,0.0632,0.0,0.0,0.0,0.5284,0.1242,0.0063,0.0021,0,0.0905,0.0568,0.0021,0.0,0,0.0442
die Grünen,0.0038,0.003,0.0,0.0,0.0,0.8702,0.0,0.0,0.0,0,0.1208,0.0015,0.0,0.0008,0,0.0
die SPD,0.0521,0.1455,0.0008,0.0017,0.0017,0.4124,0.0826,0.0207,0.0008,0,0.0917,0.0992,0.0124,0.0008,0,0.0777
eine Kleinpartei,0.0304,0.1326,0.0028,0.0,0.0,0.3646,0.058,0.0387,0.0,0,0.105,0.0801,0.0304,0.0,0,0.1575
keine Partei,0.0182,0.0964,0.0107,0.0009,0.0,0.4018,0.1196,0.0601,0.0009,0,0.0791,0.102,0.0303,0.0,0,0.0796
männlich,0.029,0.0763,0.0026,0.0009,0.0,0.4386,0.0786,0.0181,0.0013,0,0.1261,0.1691,0.012,0.0007,0,0.0468
weiblich,0.026,0.1416,0.006,0.0015,0.0006,0.4106,0.0689,0.0371,0.0004,0,0.0335,0.1763,0.0219,0.0,0,0.0755
hat das Abitur,0.0303,0.0609,0.002,0.001,0.0003,0.5089,0.05,0.0362,0.0007,0,0.0862,0.1372,0.0174,0.0,0,0.0691
hat einen Fachhochschulreife,0.0351,0.0746,0.0044,0.0033,0.0,0.4413,0.0768,0.0198,0.0,0,0.09,0.1679,0.0143,0.0,0,0.0724
hat einen Hauptschulabschluss,0.0202,0.1815,0.0065,0.0005,0.0005,0.3003,0.0866,0.0311,0.0016,0,0.0807,0.2218,0.0142,0.0011,0,0.0534
