,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0221,0.1506,0.002,0.001,0.0,0.2563,0.0982,0.0381,0.0017,0.0,0.0564,0.1604,0.0568,0.0483,0.0,0.1081
Westdeutschland,0.026,0.1044,0.0043,0.0006,0.0004,0.3601,0.1538,0.0286,0.0028,0.0,0.0579,0.1362,0.0045,0.0504,0.0,0.0701
befindet sich noch in beruflicher Ausbildung.,0.026,0.0779,0.0,0.0,0.0,0.4545,0.1472,0.0346,0.0,0.0,0.0606,0.0693,0.0216,0.0476,0.0,0.0606
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0345,0.0345,0.0,0.0,0.0,0.2414,0.069,0.1034,0.0,0.0,0.1379,0.069,0.0,0.1379,0.0,0.1724
hat eine Lehre abgeschlossen.,0.0215,0.1138,0.0051,0.0013,0.0,0.2693,0.1062,0.0265,0.0,0.0,0.1049,0.1656,0.0088,0.0961,0.0,0.0809
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0203,0.1488,0.0019,0.0006,0.0006,0.3363,0.2028,0.0134,0.0025,0.0,0.0203,0.1564,0.0203,0.0057,0.0,0.0699
hat eine kaufmännische Lehre abgeschlossen.,0.0256,0.1417,0.0044,0.0006,0.0003,0.3655,0.1857,0.0175,0.005,0.0,0.0284,0.1314,0.0144,0.0209,0.0,0.0587
hat einen Berufsfachschulabschluss.,0.0226,0.1163,0.0024,0.0016,0.0008,0.269,0.0921,0.0517,0.0024,0.0,0.067,0.1898,0.0218,0.0638,0.0,0.0985
hat einen Fachhochschulabschluss.,0.0322,0.0748,0.0035,0.0017,0.0,0.3035,0.1009,0.04,0.0,0.0,0.1104,0.1243,0.0174,0.1026,0.0,0.0887
hat einen Fachschulabschluss.,0.0161,0.0964,0.0044,0.0,0.0,0.327,0.1051,0.0409,0.0029,0.0,0.0847,0.1489,0.0131,0.0759,0.0,0.0847
hat einen Meisterabschluss oder Technikerabschluss.,0.0183,0.0594,0.0046,0.0,0.0,0.3242,0.1948,0.0167,0.0015,0.0,0.1096,0.1233,0.003,0.1035,0.0,0.0411
