,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0783,0.237,0.0073,0.0032,0.0291,0.1169,0.0851,0.0687,0.0159,0.0005,0.0278,0.2411,0.0036,0.0359,0.0132,0.0364
Westdeutschland,0.0706,0.2375,0.0103,0.0024,0.0201,0.1464,0.0825,0.0775,0.0113,0.0003,0.0303,0.2265,0.0014,0.0371,0.0103,0.0352
befindet sich noch in beruflicher Ausbildung.,0.0432,0.1892,0.0108,0.0,0.0378,0.2649,0.0865,0.0811,0.0054,0.0054,0.0432,0.1027,0.0,0.0703,0.0,0.0595
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.1667,0.0,0.0,0.0,0.2083,0.0833,0.0833,0.0,0.0,0.125,0.1667,0.0,0.125,0.0,0.0417
hat eine Lehre abgeschlossen.,0.0846,0.2453,0.0069,0.0035,0.0173,0.1295,0.0553,0.0674,0.0086,0.0,0.0311,0.2763,0.0035,0.0345,0.0173,0.019
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0628,0.2629,0.0085,0.0025,0.0085,0.1204,0.0797,0.05,0.0102,0.0,0.0263,0.2901,0.0025,0.0466,0.0068,0.0221
hat eine kaufmännische Lehre abgeschlossen.,0.0712,0.2499,0.0082,0.0037,0.0198,0.1182,0.0815,0.0733,0.0107,0.0004,0.0321,0.2421,0.0012,0.0436,0.0136,0.0305
hat einen Berufsfachschulabschluss.,0.0426,0.2447,0.0138,0.0021,0.0128,0.1319,0.0755,0.066,0.017,0.0,0.0404,0.2649,0.0011,0.0511,0.0181,0.0181
hat einen Fachhochschulabschluss.,0.102,0.2337,0.0095,0.0012,0.032,0.1518,0.1044,0.0878,0.013,0.0,0.0273,0.1625,0.0024,0.0154,0.0036,0.0534
hat einen Fachschulabschluss.,0.0893,0.2024,0.0159,0.002,0.0337,0.125,0.0734,0.0952,0.0179,0.0,0.0179,0.244,0.002,0.0258,0.006,0.0496
hat einen Meisterabschluss oder Technikerabschluss.,0.1004,0.2009,0.0153,0.0022,0.0131,0.1266,0.107,0.0786,0.0153,0.0,0.0218,0.2511,0.0066,0.0218,0.0044,0.0349
hat einen Universitätsabschluss.,0.0715,0.2118,0.0059,0.0033,0.038,0.1836,0.0984,0.0957,0.0151,0.0007,0.0262,0.1626,0.002,0.0216,0.0052,0.0584
hat keine berufliche Ausbildung abgeschlossen.,0.0683,0.2628,0.0137,0.0,0.0188,0.1348,0.0546,0.0666,0.0085,0.0,0.029,0.244,0.0,0.0461,0.0307,0.0222
Die Linke,0.0692,0.4035,0.01,0.0027,0.0355,0.1129,0.0792,0.0747,0.0164,0.0,0.0164,0.1038,0.0009,0.0182,0.0046,0.0519
die AfD,0.0426,0.1673,0.0019,0.0019,0.0068,0.0445,0.0571,0.0551,0.0087,0.001,0.0261,0.5629,0.0,0.0164,0.0019,0.0058
die CDU/CSU,0.081,0.1765,0.0101,0.0025,0.0195,0.1595,0.0986,0.0923,0.0163,0.0013,0.0352,0.2393,0.0025,0.0314,0.0063,0.0276
die FDP,0.0611,0.2063,0.0063,0.0021,0.0463,0.1011,0.1179,0.0758,0.0084,0.0,0.0442,0.2505,0.0,0.0358,0.0084,0.0358
die Grünen,0.0788,0.2033,0.0113,0.0023,0.0248,0.2903,0.0735,0.0938,0.0128,0.0,0.0225,0.081,0.0023,0.0248,0.0045,0.0743
die SPD,0.0893,0.2661,0.0207,0.0033,0.0264,0.1182,0.0926,0.0851,0.0116,0.0,0.0256,0.1719,0.0041,0.0314,0.0116,0.0421
eine Kleinpartei,0.0608,0.2597,0.0055,0.0028,0.0193,0.174,0.0773,0.0912,0.0138,0.0,0.0331,0.2017,0.0028,0.0276,0.0,0.0304
keine Partei,0.0731,0.2393,0.007,0.0028,0.0163,0.1047,0.0801,0.0535,0.0102,0.0,0.0372,0.2528,0.0019,0.0726,0.0284,0.02
männlich,0.0806,0.2248,0.0059,0.0015,0.0187,0.1462,0.0961,0.0736,0.0135,0.0007,0.0303,0.2248,0.0017,0.0351,0.0072,0.0392
weiblich,0.0644,0.2497,0.0133,0.0036,0.0257,0.1328,0.0704,0.0772,0.0114,0.0,0.0292,0.2351,0.0021,0.0386,0.0148,0.0317
hat das Abitur,0.077,0.2128,0.0069,0.002,0.0352,0.1816,0.0924,0.0954,0.0118,0.0003,0.0296,0.1668,0.0023,0.0217,0.0059,0.0582
