,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0211,0.1284,0.5691,0.0015,0.001,0.0258,0.1186,0.0021,0.0062,0.0,0.0,0.0201,0.0139,0.0923
Westdeutschland,0.0128,0.0845,0.726,0.0006,0.0027,0.0221,0.0815,0.0025,0.0049,0.0002,0.0002,0.0143,0.0003,0.0476
befindet sich noch in beruflicher Ausbildung.,0.0068,0.1429,0.6259,0.0,0.0,0.0272,0.1293,0.0,0.0136,0.0,0.0,0.0068,0.0068,0.0408
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.05,0.75,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.05
hat eine Lehre abgeschlossen.,0.0079,0.0931,0.7129,0.002,0.002,0.0277,0.0911,0.0,0.002,0.0,0.0,0.0198,0.004,0.0376
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0299,0.1274,0.5811,0.001,0.0029,0.0232,0.1274,0.0019,0.0048,0.001,0.0,0.0261,0.0058,0.0676
hat eine kaufmännische Lehre abgeschlossen.,0.0127,0.09,0.717,0.0005,0.0023,0.0167,0.0877,0.0045,0.0041,0.0,0.0,0.0149,0.0009,0.0488
hat einen Berufsfachschulabschluss.,0.0106,0.0786,0.6913,0.0012,0.0023,0.0223,0.0951,0.0047,0.0094,0.0,0.0,0.0117,0.0035,0.0692
hat einen Fachhochschulabschluss.,0.0104,0.0744,0.7611,0.0,0.0,0.0222,0.0653,0.0013,0.0039,0.0,0.0,0.0117,0.0091,0.0405
hat einen Fachschulabschluss.,0.011,0.0815,0.6982,0.0,0.0,0.0286,0.0771,0.0,0.0066,0.0,0.0,0.0176,0.0044,0.0749
hat einen Meisterabschluss oder Technikerabschluss.,0.0264,0.0673,0.6707,0.0,0.0048,0.0361,0.0962,0.0,0.012,0.0,0.0,0.012,0.0024,0.0721
hat einen Universitätsabschluss.,0.0132,0.0601,0.7493,0.0022,0.0015,0.0257,0.0704,0.0015,0.0051,0.0,0.0,0.011,0.0029,0.0572
hat keine berufliche Ausbildung abgeschlossen.,0.0136,0.2218,0.5175,0.0,0.0078,0.0214,0.1031,0.0019,0.0,0.0,0.0019,0.0214,0.0019,0.0875
Die Linke,0.0097,0.2764,0.4824,0.0012,0.0036,0.0194,0.1261,0.0,0.0048,0.0,0.0,0.0097,0.0085,0.0582
die AfD,0.0435,0.0829,0.375,0.0,0.0014,0.0309,0.1461,0.007,0.0197,0.0,0.0,0.1334,0.0197,0.1404
die CDU/CSU,0.0083,0.0346,0.8361,0.0005,0.001,0.0129,0.0553,0.0026,0.0052,0.0,0.0,0.0016,0.001,0.0408
die FDP,0.0253,0.0316,0.6804,0.0,0.0032,0.0032,0.1646,0.0,0.0095,0.0032,0.0,0.0,0.0,0.0791
die Grünen,0.0081,0.0903,0.7319,0.0,0.0018,0.0812,0.0478,0.0009,0.0036,0.0,0.0,0.0063,0.0,0.028
die SPD,0.0027,0.1101,0.7534,0.0009,0.0009,0.0082,0.0773,0.0,0.0027,0.0,0.0009,0.0064,0.0009,0.0355
eine Kleinpartei,0.0778,0.1168,0.5,0.006,0.0,0.0269,0.1497,0.0,0.003,0.0,0.0,0.003,0.003,0.1138
keine Partei,0.0107,0.0822,0.7191,0.001,0.0046,0.0092,0.0981,0.0046,0.002,0.0,0.0,0.0046,0.002,0.0618
männlich,0.0192,0.0771,0.6742,0.0002,0.0022,0.0233,0.1019,0.0015,0.0088,0.0002,0.0,0.0131,0.0049,0.0734
weiblich,0.0103,0.1121,0.704,0.0014,0.0024,0.0225,0.0786,0.0034,0.0017,0.0,0.0002,0.0182,0.0022,0.0429
hat das Abitur,0.0125,0.0646,0.7425,0.0015,0.0015,0.0268,0.0781,0.0018,0.0048,0.0,0.0,0.0121,0.0022,0.0517
hat einen Fachhochschulreife,0.0134,0.0904,0.7143,0.0,0.0012,0.0244,0.0855,0.0012,0.011,0.0012,0.0,0.0134,0.0073,0.0366
hat einen Hauptschulabschluss,0.0123,0.1122,0.6652,0.0012,0.0025,0.0247,0.0962,0.0025,0.0062,0.0,0.0006,0.0148,0.0025,0.0592
hat einen Realschulabschluss,0.0182,0.1097,0.6539,0.0003,0.0029,0.0185,0.0981,0.0032,0.0036,0.0,0.0,0.0195,0.0042,0.0679
hat keinen Schulabschluss,0.0278,0.4167,0.25,0.0,0.0278,0.0,0.1111,0.0,0.0,0.0,0.0,0.0556,0.0,0.1111
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
18-29 YEARS,0.0055,0.1436,0.6243,0.0028,0.0028,0.0304,0.105,0.0,0.0055,0.0,0.0028,0.0055,0.0028,0.0691
30-44 YEARS,0.0169,0.0861,0.6413,0.0005,0.0016,0.028,0.112,0.0026,0.0069,0.0,0.0,0.0185,0.0063,0.0792
45-59 YEARS,0.0228,0.0763,0.6966,0.0007,0.0023,0.0231,0.0873,0.003,0.0054,0.0,0.0,0.0167,0.0037,0.0622
60 and more,0.0066,0.1124,0.7196,0.001,0.0026,0.0187,0.0776,0.002,0.0039,0.0003,0.0,0.0141,0.0016,0.0394
