,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0095,0.1696,0.3086,0.0012,0.0048,0.0915,0.2777,0.0081,0.0052,0.0,0.0,0.0197,0.0356,0.0684
Westdeutschland,0.0106,0.1232,0.3959,0.0004,0.0035,0.0791,0.3018,0.0084,0.0072,0.0,0.0,0.0178,0.0011,0.0513
befindet sich noch in beruflicher Ausbildung.,0.0,0.1977,0.3164,0.0,0.0028,0.096,0.2966,0.0113,0.0056,0.0,0.0,0.0141,0.0,0.0593
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0,0.0943,0.3962,0.0,0.0,0.0566,0.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0189
hat eine Lehre abgeschlossen.,0.0072,0.1629,0.3626,0.0009,0.0081,0.0824,0.2784,0.0054,0.009,0.0,0.0,0.0206,0.0179,0.0448
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0106,0.1795,0.3082,0.0008,0.0021,0.0898,0.3065,0.0072,0.0093,0.0,0.0,0.0161,0.014,0.0559
hat eine kaufmännische Lehre abgeschlossen.,0.0081,0.1315,0.3719,0.0004,0.0034,0.0726,0.3228,0.01,0.006,0.0,0.0,0.0184,0.0056,0.0493
hat einen Berufsfachschulabschluss.,0.0173,0.1288,0.3789,0.0005,0.004,0.0748,0.2769,0.0069,0.0079,0.0,0.0,0.0277,0.0094,0.0669
hat einen Fachhochschulabschluss.,0.0078,0.0984,0.4198,0.0006,0.003,0.09,0.2862,0.0078,0.0089,0.0,0.0,0.0161,0.0078,0.0537
hat einen Fachschulabschluss.,0.0101,0.114,0.4057,0.0,0.001,0.0838,0.2906,0.0081,0.005,0.0,0.0,0.0151,0.0081,0.0585
hat einen Meisterabschluss oder Technikerabschluss.,0.012,0.1338,0.3536,0.0,0.0022,0.0881,0.3166,0.0131,0.0044,0.0,0.0,0.0141,0.0087,0.0533
hat einen Universitätsabschluss.,0.0114,0.0739,0.4519,0.0003,0.0039,0.0916,0.2783,0.0082,0.0062,0.0,0.0,0.0108,0.0085,0.0549
hat keine berufliche Ausbildung abgeschlossen.,0.013,0.2477,0.2746,0.0019,0.0093,0.0686,0.2607,0.0056,0.0019,0.0,0.0,0.0353,0.0111,0.0705
Die Linke,0.0057,0.3042,0.2612,0.0006,0.0051,0.0563,0.2334,0.0095,0.0057,0.0,0.0,0.0183,0.024,0.0759
die AfD,0.0324,0.1338,0.248,0.0006,0.0012,0.066,0.212,0.0336,0.0159,0.0,0.0,0.102,0.0177,0.1368
die CDU/CSU,0.008,0.0753,0.4721,0.0007,0.0012,0.0573,0.3278,0.0045,0.0059,0.0,0.0,0.0063,0.0042,0.0368
die FDP,0.0123,0.1095,0.3685,0.0,0.0025,0.0735,0.348,0.0016,0.0098,0.0,0.0,0.0041,0.0106,0.0596
die Grünen,0.0067,0.1109,0.3499,0.0008,0.0054,0.2118,0.251,0.0054,0.0067,0.0,0.0,0.0146,0.0038,0.0329
die SPD,0.0048,0.1449,0.4202,0.0004,0.0056,0.0491,0.3244,0.006,0.0032,0.0,0.0,0.004,0.0084,0.0291
eine Kleinpartei,0.0202,0.1698,0.2817,0.0,0.0067,0.0876,0.2951,0.0054,0.0094,0.0,0.0,0.0189,0.0108,0.0943
keine Partei,0.0088,0.1365,0.3783,0.0005,0.0048,0.0692,0.316,0.0073,0.005,0.0,0.0,0.0119,0.0073,0.0543
männlich,0.0135,0.1253,0.3659,0.0003,0.0025,0.0789,0.3083,0.007,0.0088,0.0,0.0,0.016,0.0091,0.0644
weiblich,0.007,0.1427,0.3861,0.0008,0.0051,0.0852,0.2837,0.0097,0.0046,0.0,0.0,0.0206,0.0089,0.0457
hat das Abitur,0.0115,0.0951,0.4251,0.0007,0.0034,0.0881,0.284,0.0076,0.0083,0.0,0.0,0.0161,0.0078,0.0521
hat einen Fachhochschulreife,0.0101,0.1211,0.3831,0.0006,0.0045,0.0852,0.3023,0.0062,0.0056,0.0,0.0,0.0151,0.0084,0.0578
hat einen Hauptschulabschluss,0.0087,0.1601,0.3383,0.0003,0.0028,0.0783,0.3092,0.0084,0.0064,0.0,0.0,0.0229,0.0046,0.0602
hat einen Realschulabschluss,0.0098,0.1527,0.3556,0.0006,0.0044,0.0782,0.2982,0.0095,0.0059,0.0,0.0,0.018,0.013,0.0541
hat keinen Schulabschluss,0.04,0.37,0.15,0.0,0.01,0.05,0.28,0.0,0.0,0.0,0.0,0.03,0.0,0.07
ist noch Schüler/in,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0088,0.1933,0.3101,0.0049,0.0118,0.0864,0.2797,0.0088,0.0059,0.0,0.0,0.0216,0.0039,0.0648
30-44 YEARS,0.0145,0.1358,0.3608,0.0007,0.0052,0.0793,0.2941,0.0081,0.0057,0.0,0.0,0.0209,0.0109,0.0641
45-59 YEARS,0.0113,0.1213,0.3785,0.0002,0.0022,0.0817,0.3025,0.0083,0.008,0.0,0.0,0.0191,0.0083,0.0588
60 and more,0.007,0.1356,0.3927,0.0001,0.0031,0.0833,0.2942,0.0084,0.0063,0.0,0.0,0.0152,0.0093,0.0447
