,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.1466,0.1814,0.028,0.0038,0.0053,0.1167,0.1966,0.0159,0.014,0.0004,0.0015,0.0814,0.0269,0.0,0.0,0.1814
Westdeutschland,0.1608,0.1538,0.035,0.0034,0.005,0.1575,0.2031,0.0192,0.0219,0.0007,0.002,0.0876,0.0014,0.0,0.0,0.1485
befindet sich noch in beruflicher Ausbildung.,0.0926,0.213,0.0324,0.0,0.0,0.2454,0.1528,0.0185,0.0093,0.0,0.0093,0.0741,0.0,0.0,0.0,0.1528
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0741,0.1852,0.0,0.0,0.0,0.2222,0.2593,0.0,0.1111,0.0,0.0,0.037,0.0,0.0,0.0,0.1111
hat eine Lehre abgeschlossen.,0.1459,0.176,0.0286,0.0043,0.0072,0.1474,0.1946,0.0258,0.0157,0.0,0.0029,0.0944,0.0072,0.0,0.0,0.1502
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.1835,0.1734,0.0281,0.0043,0.005,0.1151,0.2252,0.0144,0.018,0.0,0.0007,0.0791,0.0115,0.0,0.0,0.1417
hat eine kaufmännische Lehre abgeschlossen.,0.1808,0.1636,0.0396,0.0021,0.0038,0.1151,0.2194,0.0196,0.0189,0.0,0.0017,0.0896,0.0038,0.0,0.0,0.1419
hat einen Berufsfachschulabschluss.,0.1381,0.167,0.0376,0.0061,0.0052,0.1442,0.1853,0.0201,0.021,0.0,0.0017,0.1014,0.0096,0.0,0.0,0.1626
hat einen Fachhochschulabschluss.,0.1604,0.1265,0.0339,0.001,0.009,0.1743,0.2022,0.0179,0.0289,0.002,0.001,0.0697,0.009,0.0,0.0,0.1643
hat einen Fachschulabschluss.,0.1266,0.1431,0.0296,0.0016,0.0115,0.1645,0.2056,0.0181,0.0181,0.0016,0.0016,0.0938,0.0132,0.0,0.0,0.1711
hat einen Meisterabschluss oder Technikerabschluss.,0.1498,0.1282,0.0235,0.0036,0.0072,0.1588,0.231,0.0217,0.0289,0.0018,0.0036,0.0686,0.009,0.0,0.0,0.1643
hat einen Universitätsabschluss.,0.1546,0.1251,0.0339,0.0027,0.0011,0.1962,0.182,0.0148,0.0213,0.0016,0.0022,0.0874,0.0055,0.0,0.0,0.1716
hat keine berufliche Ausbildung abgeschlossen.,0.1103,0.2593,0.0258,0.0115,0.0072,0.1332,0.1504,0.0201,0.01,0.0,0.0014,0.086,0.0115,0.0,0.0,0.1734
Die Linke,0.148,0.2833,0.0223,0.003,0.0037,0.0892,0.1532,0.0164,0.0149,0.0,0.003,0.052,0.0149,0.0,0.0,0.1963
die AfD,0.1514,0.1231,0.0194,0.0016,0.0032,0.0283,0.153,0.0364,0.0146,0.0,0.0016,0.268,0.0105,0.0,0.0,0.1887
die CDU/CSU,0.1854,0.1179,0.0441,0.0021,0.0026,0.1085,0.2461,0.0166,0.0389,0.0016,0.001,0.0841,0.0047,0.0,0.0,0.1464
die FDP,0.2115,0.1171,0.0402,0.0017,0.007,0.1049,0.2535,0.0122,0.0175,0.0,0.0017,0.0559,0.0087,0.0,0.0,0.1678
die Grünen,0.1071,0.1231,0.0191,0.0019,0.0057,0.396,0.1486,0.0108,0.0134,0.0019,0.0019,0.0504,0.0032,0.0,0.0,0.1167
die SPD,0.1759,0.1938,0.0441,0.0028,0.0062,0.1241,0.2117,0.0179,0.02,0.0007,0.0007,0.0538,0.0062,0.0,0.0,0.1421
eine Kleinpartei,0.1752,0.1869,0.0304,0.0047,0.007,0.1332,0.1846,0.0257,0.0234,0.0,0.0,0.0748,0.0093,0.0,0.0,0.1449
keine Partei,0.1495,0.155,0.0392,0.0075,0.0067,0.1389,0.235,0.0173,0.0153,0.0,0.0031,0.0667,0.0071,0.0,0.0,0.1589
männlich,0.1845,0.1312,0.0309,0.0018,0.0045,0.1261,0.2163,0.021,0.0244,0.0005,0.0011,0.0799,0.0074,0.0,0.0,0.1706
weiblich,0.1304,0.1896,0.0358,0.0052,0.0056,0.1694,0.1869,0.0159,0.0157,0.0007,0.0027,0.0925,0.0076,0.0,0.0,0.1421
