,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0149,0.1609,0.2176,0.001,0.0037,0.2089,0.2444,0.0045,0.0097,0.0,0.0,0.0182,0.0291,0.0,0.0,0.0873
Westdeutschland,0.0141,0.1443,0.2846,0.0005,0.0049,0.1731,0.2753,0.006,0.013,0.0001,0.0,0.017,0.0011,0.0,0.0,0.066
befindet sich noch in beruflicher Ausbildung.,0.0205,0.2047,0.2135,0.0029,0.0117,0.1725,0.2807,0.0117,0.0058,0.0,0.0,0.0175,0.0,0.0,0.0,0.0585
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0167,0.1167,0.2833,0.0,0.0,0.2,0.25,0.0167,0.0167,0.0,0.0,0.0167,0.0167,0.0,0.0,0.0667
hat eine Lehre abgeschlossen.,0.0178,0.1502,0.2685,0.0009,0.0056,0.1606,0.277,0.0066,0.0122,0.0009,0.0,0.0197,0.0047,0.0,0.0,0.0751
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.0121,0.1961,0.2278,0.0,0.004,0.1764,0.28,0.0027,0.0121,0.0,0.0,0.0174,0.0138,0.0,0.0,0.0576
hat eine kaufmännische Lehre abgeschlossen.,0.0116,0.1561,0.2648,0.0002,0.0051,0.18,0.2862,0.0056,0.008,0.0,0.0,0.0145,0.0036,0.0,0.0,0.0642
hat einen Berufsfachschulabschluss.,0.0154,0.1414,0.2803,0.0015,0.005,0.1587,0.2639,0.0084,0.0094,0.0,0.0,0.0184,0.0119,0.0,0.0,0.0858
hat einen Fachhochschulabschluss.,0.0143,0.0953,0.3087,0.0,0.0039,0.201,0.2672,0.0052,0.0136,0.0,0.0,0.0195,0.0058,0.0,0.0,0.0655
hat einen Fachschulabschluss.,0.0158,0.1404,0.2862,0.0,0.0053,0.1774,0.2534,0.0063,0.0137,0.0,0.0,0.0127,0.0116,0.0,0.0,0.0771
hat einen Meisterabschluss oder Technikerabschluss.,0.0244,0.1233,0.2291,0.0012,0.0,0.2395,0.257,0.0035,0.0267,0.0,0.0,0.0151,0.0105,0.0,0.0,0.0698
hat einen Universitätsabschluss.,0.0134,0.0928,0.319,0.0007,0.0034,0.2048,0.2486,0.0052,0.0176,0.0,0.0,0.0169,0.0062,0.0,0.0,0.0714
hat keine berufliche Ausbildung abgeschlossen.,0.0159,0.2603,0.1968,0.0019,0.0075,0.1269,0.2416,0.0065,0.0075,0.0,0.0,0.028,0.0075,0.0,0.0,0.0998
Die Linke,0.011,0.3179,0.181,0.0015,0.0081,0.1165,0.2242,0.0037,0.0103,0.0,0.0,0.0161,0.0139,0.0,0.0,0.096
die AfD,0.036,0.1293,0.2085,0.0,0.0013,0.1287,0.1943,0.0232,0.0232,0.0006,0.0,0.0927,0.018,0.0,0.0,0.1441
die CDU/CSU,0.0085,0.0839,0.3519,0.0,0.0021,0.1796,0.2823,0.0027,0.0143,0.0,0.0,0.0091,0.0049,0.0,0.0,0.0608
die FDP,0.0194,0.1302,0.2447,0.0009,0.0028,0.1653,0.3139,0.0028,0.024,0.0,0.0,0.0055,0.0055,0.0,0.0,0.0849
die Grünen,0.0071,0.1005,0.2329,0.0005,0.0057,0.3714,0.2162,0.0043,0.009,0.0,0.0,0.0148,0.001,0.0,0.0,0.0367
die SPD,0.0083,0.1933,0.298,0.0009,0.0062,0.126,0.2935,0.0024,0.0077,0.0,0.0,0.0074,0.0059,0.0,0.0,0.0504
eine Kleinpartei,0.0359,0.1888,0.1778,0.0,0.0031,0.1856,0.2543,0.0031,0.0109,0.0,0.0,0.0047,0.0109,0.0,0.0,0.1248
keine Partei,0.0158,0.1357,0.2709,0.001,0.0056,0.176,0.2955,0.0066,0.0095,0.0,0.0,0.0102,0.0083,0.0,0.0,0.0651
männlich,0.0169,0.1356,0.2619,0.0003,0.0031,0.1764,0.284,0.0049,0.0159,0.0,0.0,0.0153,0.0082,0.0,0.0,0.0774
weiblich,0.0117,0.1606,0.2766,0.0009,0.0062,0.1863,0.2523,0.0064,0.0085,0.0001,0.0,0.0192,0.0069,0.0,0.0,0.0643
hat das Abitur,0.0138,0.1072,0.3039,0.0011,0.0047,0.1982,0.2566,0.0049,0.0144,0.0,0.0,0.0165,0.0059,0.0,0.0,0.0728
hat einen Fachhochschulreife,0.0141,0.1263,0.2791,0.0,0.0018,0.1933,0.2714,0.0059,0.0182,0.0,0.0,0.0153,0.0076,0.0,0.0,0.067
hat einen Hauptschulabschluss,0.0133,0.1826,0.2506,0.0005,0.0064,0.1572,0.2811,0.005,0.0104,0.0,0.0,0.0188,0.005,0.0,0.0,0.069
hat einen Realschulabschluss,0.0156,0.1653,0.2495,0.0005,0.0044,0.1797,0.2709,0.0067,0.0099,0.0002,0.0,0.0169,0.0099,0.0,0.0,0.0707
hat keinen Schulabschluss,0.0,0.3824,0.1275,0.0,0.0,0.0686,0.2059,0.0,0.0098,0.0,0.0,0.0588,0.0392,0.0,0.0,0.1078
ist noch Schüler/in,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.0188,0.2268,0.2017,0.0021,0.0042,0.1672,0.2654,0.0073,0.0136,0.0,0.0,0.0167,0.0042,0.0,0.0,0.0721
30-44 YEARS,0.0175,0.1505,0.258,0.001,0.0041,0.1695,0.2721,0.008,0.0134,0.0002,0.0,0.0199,0.0078,0.0,0.0,0.0778
45-59 YEARS,0.0147,0.1386,0.2748,0.0005,0.0042,0.1763,0.2693,0.005,0.012,0.0,0.0,0.017,0.0076,0.0,0.0,0.08
60 and more,0.0111,0.1438,0.2813,0.0003,0.0054,0.1962,0.265,0.0045,0.0115,0.0,0.0,0.0159,0.0078,0.0,0.0,0.0572
