,Political System and Processes,Social Policy,Health Policy,Family and Gender Equality Policy,Education Policy,Environmental  Policy,Economic  Policy,Security,Foreign  Policy,Media and  Communication,Others,Migration and  Integration,East  Germany,"Values, political culture and general  social criticism"
Ostdeutschland,0.0426,0.1044,0.5228,0.0015,0.0152,0.0248,0.0628,0.0532,0.0046,0.0005,0.0238,0.1236,0.0005,0.0198
Westdeutschland,0.0274,0.0891,0.5715,0.0011,0.0113,0.036,0.0746,0.0392,0.0025,0.0006,0.0197,0.1137,0.0,0.0133
befindet sich noch in beruflicher Ausbildung.,0.0137,0.0822,0.637,0.0068,0.0205,0.0685,0.0685,0.0274,0.0,0.0,0.0068,0.0411,0.0,0.0274
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0526,0.1053,0.3684,0.0,0.0,0.0526,0.1053,0.0526,0.0,0.0,0.1579,0.1053,0.0,0.0
hat eine Lehre abgeschlossen.,0.0178,0.095,0.5822,0.0,0.0059,0.0317,0.0812,0.0376,0.0,0.002,0.0257,0.1149,0.0,0.0059
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.03,0.1075,0.5344,0.0029,0.0058,0.031,0.0552,0.0387,0.0029,0.0,0.0203,0.1559,0.0,0.0155
hat eine kaufmännische Lehre abgeschlossen.,0.0256,0.0884,0.5801,0.0,0.0112,0.0233,0.0695,0.0404,0.004,0.0,0.0202,0.1256,0.0,0.0117
hat einen Berufsfachschulabschluss.,0.0381,0.0846,0.5232,0.0,0.0048,0.0274,0.0822,0.0441,0.0024,0.0024,0.0226,0.1573,0.0,0.0107
hat einen Fachhochschulabschluss.,0.0412,0.085,0.5688,0.0025,0.0175,0.0325,0.0788,0.0438,0.005,0.0012,0.0188,0.08,0.0012,0.0238
hat einen Fachschulabschluss.,0.0424,0.0742,0.5593,0.0042,0.0191,0.0254,0.0593,0.0699,0.0,0.0,0.0085,0.1144,0.0,0.0233
hat einen Meisterabschluss oder Technikerabschluss.,0.0394,0.088,0.5231,0.0,0.0116,0.0231,0.081,0.0486,0.0069,0.0,0.0185,0.1528,0.0,0.0069
hat einen Universitätsabschluss.,0.0336,0.1008,0.5683,0.0014,0.0193,0.05,0.0729,0.0429,0.0029,0.0,0.0207,0.0686,0.0,0.0186
hat keine berufliche Ausbildung abgeschlossen.,0.0202,0.1071,0.5434,0.0,0.0121,0.0545,0.0788,0.0323,0.0,0.002,0.0303,0.1051,0.0,0.0141
Die Linke,0.0272,0.1995,0.5124,0.0035,0.0201,0.0378,0.0602,0.0366,0.0047,0.0,0.0153,0.0567,0.0,0.026
die AfD,0.0613,0.0708,0.3052,0.0,0.0014,0.0041,0.0463,0.0736,0.0014,0.0014,0.0245,0.3937,0.0,0.0163
die CDU/CSU,0.0162,0.0492,0.6709,0.001,0.0101,0.0188,0.0751,0.0345,0.0041,0.0,0.0172,0.0928,0.0005,0.0096
die FDP,0.0429,0.0491,0.5613,0.0031,0.0215,0.0061,0.1074,0.0491,0.0031,0.0,0.0276,0.1196,0.0,0.0092
die Grünen,0.0272,0.0922,0.6146,0.0009,0.0176,0.0992,0.072,0.0246,0.0009,0.0,0.014,0.0246,0.0,0.0123
die SPD,0.0186,0.1009,0.5938,0.0,0.0115,0.0274,0.0761,0.0478,0.0027,0.0009,0.0168,0.0903,0.0,0.0133
eine Kleinpartei,0.0557,0.1026,0.4604,0.0029,0.0205,0.0674,0.0762,0.0616,0.0,0.0029,0.0176,0.1056,0.0,0.0264
keine Partei,0.0394,0.1,0.5293,0.0011,0.009,0.0202,0.0739,0.0447,0.0037,0.0011,0.0309,0.1309,0.0,0.016
männlich,0.037,0.1033,0.5383,0.0012,0.0119,0.0358,0.0644,0.0428,0.0034,0.0007,0.0232,0.1205,0.0,0.0174
weiblich,0.025,0.0824,0.5812,0.0012,0.0125,0.0309,0.0791,0.0423,0.0026,0.0005,0.0182,0.1117,0.0002,0.0123
hat das Abitur,0.0338,0.0921,0.5843,0.0011,0.0185,0.0477,0.0757,0.0384,0.0032,0.0011,0.0178,0.0658,0.0004,0.0203
hat einen Fachhochschulreife,0.0323,0.1006,0.5425,0.0036,0.0168,0.0287,0.0659,0.0431,0.0036,0.0,0.0156,0.1269,0.0,0.0204
hat einen Hauptschulabschluss,0.0264,0.0919,0.545,0.0013,0.005,0.0271,0.0541,0.0428,0.0025,0.0006,0.0258,0.1687,0.0,0.0088
hat einen Realschulabschluss,0.03,0.0904,0.5517,0.0006,0.009,0.0245,0.0791,0.0462,0.0029,0.0003,0.021,0.1324,0.0,0.0116
hat keinen Schulabschluss,0.0588,0.2059,0.4706,0.0,0.0,0.0588,0.0588,0.0294,0.0,0.0,0.0588,0.0588,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0
18-29 YEARS,0.0172,0.0718,0.6006,0.0029,0.0201,0.0805,0.092,0.0259,0.0,0.0,0.0115,0.0546,0.0,0.023
30-44 YEARS,0.0268,0.0783,0.5823,0.0,0.0123,0.0316,0.0879,0.0381,0.0005,0.0005,0.0273,0.0992,0.0,0.015
45-59 YEARS,0.0298,0.0995,0.5714,0.0023,0.0096,0.0291,0.0688,0.0367,0.003,0.0013,0.0202,0.1157,0.0,0.0126
60 and more,0.0361,0.0971,0.5313,0.0006,0.0137,0.0332,0.0629,0.0527,0.0048,0.0,0.0182,0.1331,0.0003,0.016
