,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Ostdeutschland,0.0337,0.0818,0.5527,0.0018,0.0131,0.0144,0.1007,0.0271,0.0044,0.0004,0.0158,0.1081,0.0,0.0293,0.0057,0.0109
Westdeutschland,0.0255,0.0714,0.6065,0.0016,0.0093,0.0207,0.0937,0.0143,0.0026,0.0001,0.0207,0.0906,0.0001,0.0282,0.0073,0.0074
befindet sich noch in beruflicher Ausbildung.,0.0099,0.0542,0.5911,0.0,0.0148,0.0493,0.1084,0.0394,0.0,0.0049,0.0148,0.0493,0.0,0.0493,0.0,0.0148
hat ein Berufliches Praktikum oder Volontariat abgeschlossen.,0.0476,0.1429,0.4762,0.0,0.0,0.0952,0.0476,0.0,0.0,0.0,0.0476,0.0476,0.0,0.0952,0.0,0.0
hat eine Lehre abgeschlossen.,0.0287,0.0811,0.5963,0.0017,0.0135,0.022,0.0625,0.0152,0.0034,0.0,0.0203,0.1047,0.0,0.0405,0.0068,0.0034
hat eine gewerbliche oder landwirtschaftliche Lehre abgeschlossen.,0.029,0.0905,0.566,0.0,0.0083,0.0149,0.0905,0.0141,0.0017,0.0,0.0174,0.1145,0.0,0.0349,0.0066,0.0116
hat eine kaufmännische Lehre abgeschlossen.,0.0232,0.0688,0.6014,0.0024,0.0094,0.0122,0.103,0.0157,0.0016,0.0,0.0189,0.1014,0.0,0.0311,0.0079,0.0031
hat einen Berufsfachschulabschluss.,0.0202,0.0716,0.5595,0.0,0.005,0.0131,0.0968,0.0171,0.004,0.0,0.0212,0.1361,0.0,0.0433,0.0081,0.004
hat einen Fachhochschulabschluss.,0.0267,0.0689,0.6422,0.0011,0.0089,0.0167,0.0956,0.0211,0.0033,0.0,0.0178,0.0711,0.0011,0.0122,0.0033,0.01
hat einen Fachschulabschluss.,0.0361,0.0569,0.6053,0.0076,0.0133,0.019,0.0949,0.0152,0.0057,0.0,0.0171,0.0854,0.0,0.0247,0.0038,0.0152
