,12,13,14,15
Politische Strukturen und Prozesse,0.07185503299465801,0.027442484266996803,0.029691619855554283,0.05111153334600038
Sozialpolitik,0.23609510841101916,0.07386773960590116,0.0889602201077611,0.08543922984356198
Gesundheitspolitik,0.010265004713522572,0.5938305994016301,0.5373151438725209,0.5390461713851415
Familien- und Gleichstellungspolitik,0.0030376034356342308,0.0016506757453832663,0.0011463945890175398,0.003103426436126417
Bildungspolitik,0.022624908348172202,0.01021355617455896,0.011693224807978906,0.01456710367977706
Umweltpolitik,0.1393107782549492,0.01918910554008047,0.03198440903358936,0.04243460637152448
Wirtschaftspolitik,0.08568136587409657,0.09532652429588363,0.06889831479995415,0.08955602001393376
Sicherheits,0.07562585105268671,0.017332095326524296,0.04081164736902442,0.024700741022230667
Außenpolitik,0.012359903634649628,0.00299184978850717,0.0028659864725438496,0.0032934321362974224
Medien und Kommunikation,0.00031423483816905834,0.00020633446817290828,0.0005731972945087699,0.0008866932674646906
Sonstiges,0.028804860165497014,0.019498607242339833,0.01983262639000344,0.0309075938944835
Migration und Integration,0.22949617680946893,0.0947075208913649,0.11131491459360311,0.06409525619101906
Ostdeutschland,0.0020948989211270557,0.00010316723408645414,0.00011463945890175398,0.0003800114003420103
keine Angabe,0.0357180266052163,0.02847415660786134,0.03301616416370515,0.029704224460067135
weiß nich,0.010683984497747984,0.006912204683792427,0.007566204287515763,0.00715688137310786
"Werte, politische Kultur und Gesellschaftskritik",0.03603226144338536,0.008253378726916331,0.014215292903817494,0.013617075178922034
